      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 76-18 
                         
Sec Az  235 S 55 W  
Elev   4249 KB      
CoordsNorth  251406 East              2354292 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      24   24                        4249     0     0     0     0     0        0  251406  2354292 
  178  1.50      24   24   178     2      178   4071     2     1     2     1    -2       -2  251408  2354293 
  249  1.90      38   38    71     2      249   4000     2     1     4     2    -2       -4  251410  2354294 
  357  2.50      59   59   179     6      357   3892     5     4     7     5    -6       -8  251413  2354297 
  450  2.25      34   34    93     4      450   3799     3     3     9     8    -4      -12  251415  2354300 
  500  2.37      47   47    50     2      500   3749     2     1    11     9    -2      -14  251417  2354301 
  552  2.50      61   61   102     4      552   3697     3     3    12    11    -4      -16  251418  2354303 
  631  2.75      51   51    79     4      631   3618     2     3    14    14    -4      -20  251420  2354306 
  783  2.75      49   49   152     7      782   3467     5     6    19    20    -7      -27  251425  2354312 
  918  2.00      65   65   135     6      917   3332     3     5    22    24    -6      -33  251428  2354316 
 1000  1.82      68   68    82     3      999   3250     1     3    23    27    -3      -35  251429  2354319 
 1031  1.75      69   69   113     4     1030   3219     1     3    24    28    -4      -36  251430  2354320 
 1151  1.50      43   43   120     3     1150   3099     2     3    25    31    -3      -40  251431  2354323 
 1250  1.02      58  203    99     2     1249   3000    -1     2    24    32    -1      -40  251430  2354324 
 1306  0.75      66  294   155    -3     1305   2944     3    -1    28    30    -1      -41  251434  2354322 
 1492  1.25      86  266   186     3     1491   2758     1    -3    29    27     2      -38  251435  2354319 
 1500  1.28      83  263     8     0     1499   2750     0     0    29    27     0      -38  251435  2354319 
 1613  1.75      46  226   121     3     1612   2637    -1    -3    28    24     3      -35  251434  2354316 
 1796  2.25      46  226   183     6     1795   2454    -4    -5    23    19     6      -29  251429  2354311 
 1977  2.50      66  246   181     8     1976   2273    -4    -6    19    13     7      -22  251425  2354305 
 2000  2.75      69  249    23     1     1999   2250     0    -1    19    12     1      -21  251425  2354304 
 2090  3.75      83  263   113     6     2089   2160    -2    -6    17     7     6      -16  251423  2354299 
 2183  4.00      77  257    93     6     2181   2068    -1    -6    16     1     6      -10  251422  2354293 
 2246  4.00      80  260    63     4     2244   2005    -1    -4    15    -3     4       -6  251421  2354289 
 2251  4.00      80  260     5     0     2249   2000     0     0    15    -4     0       -6  251421  2354288 
 2309  4.00      78  258    63     4     2307   1942    -1    -4    15    -8     4       -2  251421  2354284 
 2445  4.75      56  236   136    10     2443   1806    -4   -10    11   -17    10        8  251417  2354275 
 2500  4.88      55  235    55     5     2498   1751    -3    -4     8   -21     5       13  251414  2354271 
 2553  5.00      54  234   108     9     2550   1699    -5    -8     5   -25     9       17  251411  2354267 
 2614  5.00      53  233    61     5     2611   1638    -3    -4     2   -29     5       23  251408  2354263 
 2667  6.75      54  234    53     5     2664   1585    -3    -4    -1   -33     5       28  251405  2354259 
 2739  9.00      57  237    71    10     2735   1514    -6    -8    -7   -42    10       38  251399  2354250 
