Point,Northing,Easting,Elev_ft,Temp,Type
1,254786,2355069,4296,0,Production
2,254784,2355070,4096,0,Production
3,254783,2355071,4000,0,Production
4,254782,2355072,3905,0,Production
5,254781,2355072,3874,0,Production
6,254778,2355072,3711,0,Production
7,254772,2355072,3586,0,Production
8,254767,2355072,3462,0,Production
9,254761,2355071,3326,0,Production
10,254757,2355070,3215,0,Production
11,254756,2355070,3148,0,Production
12,254754,2355069,3087,0,Production
13,254751,2355068,3025,0,Production
14,254749,2355066,3000,0,Production
15,254747,2355064,2962,0,Production
16,254740,2355051,2828,0,Production
17,254738,2355047,2792,0,Production
18,254731,2355029,2658,0,Production
19,254724,2355007,2536,0,Production
20,254716,2354987,2446,0,Production
21,254707,2354964,2356,0,Production
22,254705,2354959,2338,0,Production
23,254696,2354938,2268,0,Production
24,254685,2354915,2200,0,Production
25,254672,2354886,2122,0,Production
26,254646,2354842,2009,0,Production
27,254644,2354838,2000,475,Production
28,254628,2354810,1935,0,Production
29,254615,2354785,1879,0,Production
30,254609,2354774,1853,0,Production
31,254590,2354737,1771,0,Production
32,254569,2354699,1685,0,Production
33,254558,2354678,1638,0,Production
34,254545,2354652,1580,0,Production
35,254511,2354585,1433,0,Production
36,254483,2354531,1312,0,Production
37,254478,2354520,1289,0,Production
38,254467,2354500,1245,0,Production
