Well	BLM 46-19RD									
Elev	4180	KB	north 246039  east 2352568							
MD	Drift	Drift D.Azim		TVD	SSD	N-S	E-W	Sec	N-LAM	E-LAM
0	0.00	28	208		4180	0	0	0	246039	2352568
180	0.21	28	208	180	4000	0	0	0	246039	2352568
218	0.25	28	208	218	3962	0	0	0	246039	2352568
370	0.50	28	208	370	3810	-1	-1	-1	246038	2352567
462	0.50	28	208	462	3718	-2	-1	-2	246037	2352567
500	0.82	28	208	500	3680	-2	-1	-2	246037	2352567
604	1.69	28	208	604	3576	-4	-2	-3	246035	2352566
611	1.75	28	208	611	3569	-5	-2	-3	246034	2352566
641	1.50	20	200	641	3539	-5	-3	-4	246034	2352565
704	0.75	13	167	704	3476	-7	-3	-4	246032	2352565
735	0.75	75	105	735	3445	-7	-3	-4	246032	2352565
766	1.25	80	100	766	3414	-7	-2	-4	246032	2352566
797	1.50	81	99	797	3383	-7	-1	-3	246032	2352567
842	1.74	76	90	842	3338	-7	0	-2	246032	2352568
983	2.50	62	62	983	3197	-6	5	3	246033	2352573
1000	2.58	62	62	1000	3180	-6	6	4	246033	2352574
1134	3.25	63	63	1134	3046	-2	12	11	246037	2352580
1180	3.44	68	68	1180	3000	-1	14	13	246038	2352582
1314	4.00	81	81	1313	2867	1	23	22	246040	2352591
1470	3.75	85	85	1469	2711	2	33	33	246041	2352601
1500	3.80	82	82	1499	2681	3	35	35	246042	2352603
1625	4.00	72	72	1624	2556	4	43	43	246043	2352611
1774	3.50	82	82	1772	2408	7	53	53	246046	2352621
1799	3.75	75	75	1797	2383	7	54	54	246046	2352622
1830	4.00	76	76	2828	2352	7	56	56	246046	2352624
1860	4.00	85	85	1858	2322	8	58	59	246047	2352626
1891	4.50	89	91	1889	2291	8	61	61	246047	2352629
1923	5.00	86	94	1921	2259	8	63	63	246047	2352631
1983	6.50	88	88	1981	2199	8	69	69	246047	2352637
2000	6.64	88	89	1997	2183	8	71	71	246047	2352639
2045	7.00	88	92	2042	2138	8	77	76	246047	2352645
2107	7.25	89	89	2104	2076	8	84	84	246047	2352652
2169	7.25	90	90	2165	2015	8	92	91	246047	2352660
2184	7.30	90	90	2180	2000	8	94	93	246047	2352662
2246	7.50	88	92	2241	1939	7	102	101	246046	2352670
2308	7.75	89	91	2303	1877	7	110	109	246046	2352678
2368	9.50	87	93	2362	1818	7	119	117	246046	2352687
2425	10.25	88	92	2418	1762	7	129	127	246046	2352697
2500	10.43	89	91	2492	1688	6	142	140	246045	2352710
2528	10.50	90	90	2520	1660	6	148	145	246045	2352716
2609	11.50	89	89	2599	1581	6	163	160	246045	2352731
2714	12.00	89	89	2702	1478	7	184	181	246046	2352752
2776	12.00	88	92	2763	1417	7	197	193	246046	2352765
2837	13.50	89	91	2822	1358	6	211	206	246045	2352779
2899	14.25	89	89	2882	1298	6	226	220	246045	2352794
2993	15.75	86	86	2973	1207	7	250	244	246046	2352818
3000	15.84	86	86	2980	1200	7	252	246	246046	2352820
3086	17.00	87	87	3062	1118	9	276	270	246048	2352844
3210	19.48	84	84	3180	1000	12	315	308	246051	2352883
3211	19.50	84	84	3181	999	12	315	309	246051	2352883
3268	20.00	83	83	3235	945	14	334	328	246053	2352902
3363	20.00	83	83	3324	856	18	367	360	246057	2352935
3486	20.75	82	82	3439	741	24	409	403	246063	2352977
3500	20.79	82	82	3452	728	24	414	407	246063	2352982
3578	21.00	82	82	3525	655	28	441	435	246067	2353009
3668	21.25	82	82	3609	571	33	474	467	246072	2353042
3754	21.25	70	70	3689	491	40	504	499	246079	2353072
3847	22.00	63	63	3776	404	54	535	532	246093	2353103
3943	21.00	56	56	3865	315	72	566	566	246111	2553134
4028	23.00	51	51	3944	236	91	591	596	246130	2353159
4134	24.25	46	46	4041	139	119	623	633	246158	2353191
4196	26.50	43	43	4097	83	138	642	656	246177	2353210
4261	26.50	42	42	4155	25	159	661	680	246198	2353229
4289	26.72	40	40	4180	0	169	669	690	246208	2353237
4324	27.00	38	38	4212	-32	181	679	703	246220	2353247
4428	26.75	37	37	4304	-124	218	708	740	246257	2353276
4524	27.75	35	35	4390	-210	254	734	773	246293	2353302
4590	26.50	34	34	4448	-268	279	751	796	246318	2353319
4648	26.25	36	36	4500	-320	300	766	815	246339	2353334
4712	25.25	34	34	4558	-378	323	782	836	246362	2353350
4805	25.25	37	37	4642	-462	355	805	867	246394	2353373
4901	24.50	36	36	4729	-549	387	829	898	246426	2353397
4994	24.50	36	36	4814	-634	418	851	927	246457	2353419
5085	24.50	33	33	4897	-717	450	873	956	246489	2353441
5212	23.25	31	31	5013	-833	493	900	993	246532	2353468
5339	23.25	34	34	5129	-949	535	927	1029	246574	2353495
5394	22.61	33	33	5180	-1000	553	939	1045	246592	2353507
5467	21.75	31	31	5248	-1068	577	953	1064	246616	2353521
5577	22.75	32	32	5350	-1170	612	975	1094	246651	2353543
5701	23.00	31	31	5464	-1284	653	1000	1129	246692	2353568
5828	23.00	29	29	5581	-1401	696	1025	1163	246735	2353593
5917	21.75	28	28	5663	-1483	726	1041	1186	246765	2353609
6052	22.25	29	29	5788	-1608	771	1065	1220	246810	2353633
6179	22.50	28	28	5906	-1726	813	1088	1253	246852	2353656
6306	23.25	27	27	6023	-1843	857	1111	1285	246896	2353679
6418	23.25	27	27	6126	-1946	896	1131	1314	246935	2353699
6477	23.13	27	27	6180	-2000	917	1142	1330	246956	2353710
6545	23.00	26	26	6242	-2062	941	1153	1347	246980	2353721
6674	23.25	24	24	6361	-2181	987	1175	1379	247026	2353743
6801	24.50	24	24	6477	-2297	1034	1196	1410	247073	2353764
6928	23.75	24	24	6593	-2413	1081	1217	1442	247120	2353785
7057	23.75	24	24	6711	-2531	1129	1238	1474	247168	2353806
7184	23.25	26	26	6828	-2648	1175	1259	1506	247214	2353827
7317	24.50	26	26	6949	-2769	1223	1283	1541	247262	2353851
7443	24.25	27	27	7064	-2884	1269	1306	1575	247308	2353874
7497	24.75	25	25	7113	-2933	1290	1316	1589	247329	2353884
7559	24.75	25	25	7169	-2989	1313	1327	1605	247352	2353895
