Point,Northing,Easting,Elevation,Temp,Type
1,247430,2354422,4250,0,Production
2,247431,2354423,4110,0,Production
3,247430,2354424,4000,0,Production
4,247430,2354425,3970,0,Production
5,247427,2354426,3790,0,Production
6,247427,2354427,3643,0,Production
7,247428,2354429,3514,0,Production
8,247427,2354430,3432,0,Production
9,247424,2354431,3324,0,Production
10,247422,2354433,3250,0,Production
11,247418,2354435,3133,0,Production
12,247416,2354437,3039,0,Production
13,247415,2354438,3000,0,Production
14,247413,2354440,2943,0,Production
15,247411,2354442,2847,0,Production
16,247409,2354444,2754,0,Production
17,247406,2354447,2665,0,Production
18,247405,2354449,2567,0,Production
19,247403,2354452,2480,0,Production
20,247400,2354455,2385,0,Production
21,247398,2354456,2289,0,Production
22,247397,2354457,2251,0,Production
23,247393,2354462,2071,0,Production
24,247392,2354463,2039,0,Production
25,247392,2354464,2000,353,Production
26,247390,2354467,1917,0,Production
27,247387,2354471,1821,0,Production
28,247385,2354473,1751,0,Production
29,247383,2354475,1692,0,Production
30,247381,2354477,1623,0,Production
31,247379,2354480,1528,0,Production
32,247375,2354482,1434,0,Production
33,247372,2354484,1340,0,Production
34,247368,2354487,1252,0,Production
35,247366,2354489,1180,0,Production
36,247362,2354492,1095,0,Production
37,247360,2354494,1023,0,Production
38,247359,2354495,1000,460,Production
39,247357,2354497,927,0,Production
40,247353,2354500,831,0,Production
41,247350,2354502,752,0,Production
42,247346,2354504,644,0,Production
43,247343,2354507,550,0,Production
44,247341,2354510,455,0,Production
45,247339,2354512,361,0,Production
46,247337,2354515,266,0,Production
47,247336,2354515,253,0,Production
48,247334,2354517,168,0,Production
49,247332,2354519,73,0,Production
50,247330,2354520,0,500,Production
51,247329,2354521,-23,0,Production
52,247325,2354523,-149,0,Production
53,247322,2354525,-244,0,Production
54,247317,2354526,-373,0,Production
55,247314,2354526,-468,0,Production
56,247312,2354526,-585,0,Production
57,247311,2354526,-594,0,Production
58,247310,2354525,-681,0,Production
59,247309,2354524,-747,0,Production
60,247308,2354524,-774,0,Production
61,247308,2354523,-802,0,Production
62,247307,2354523,-876,0,Production
63,247306,2354523,-879,0,Production
64,247305,2354519,-1000,542,Production
65,247305,2354514,-1101,0,Production
66,247305,2354507,-1195,0,Production
67,247306,2354503,-1246,0,Production
68,247306,2354499,-1290,0,Production
69,247306,2354495,-1338,0,Production
70,247307,2354486,-1453,0,Production
