      WELL DATA SUMMARY                                                                                      
            
Well  BLM 74A-19    
                         
Sec Az  110 S 70 E  
Elev   4151 KB      
CoordsNorth  247393 East              2354577 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0    0     0     0        0   4151     0     0     0     0     0        0  247393  2354577 
  151  0.73      21   21   151     1      151   4000     1     0     1     0     0        0  247394  2354577 
  156  0.75      22   22   156     1      156   3995     1     0     1     0     0        0  247394  2354577 
  284  1.00      37   37   128     2      284   3867     2     1     3     1     0        0  247396  2354578 
  435  1.25      59   59   151     3      435   3716     2     2     5     3     1        2  247398  2354580 
  500  1.42      62   62    65     2      500   3651     1     1     5     5     1        3  247398  2354582 
  628  1.75      68   68   193     5      628   3523     2     5     7     8     3        5  247400  2354585 
  759  1.75      69   69   131     4      759   3392     1     4     8    12     3        8  247401  2354589 
  880  2.50      87   87   121     4      880   3271     1     4     9    16     4       12  247402  2354593 
 1000  3.19      81   98   120     6     1000   3151     0     6     9    22     6       18  247402  2354599 
 1010  3.25      81   99   130     7     1010   3141     0     7     9    23     6       18  247402  2354600 
 1152  3.02      85   95   142     8     1151   3000    -1     8     8    30     8       26  247401  2354607 
 1164  3.00      85   95   154     8     1163   2988    -1     8     8    31     8       26  247401  2354608 
 1296  3.50      86   94   132     7     1295   2856    -1     7     7    38     7       33  247400  2354615 
 1418  3.75      85   95   122     8     1417   2734    -1     8     7    46     7       41  247400  2354623 
 1500  3.75      87   93    82     5     1499   2652     0     5     6    51     5       46  247399  2354628 
 1544  3.75      88   92   126     8     1543   2608    -1     8     6    54     8       49  247399  2354631 
 1676  3.75      88   88   132     9     1674   2477     0     9     6    63     8       57  247399  2354640 
 1796  3.75      86   94   120     8     1794   2357     0     8     6    71     7       64  247399  2354648 
 1924  4.00      89   91   128     9     1922   2229     0     9     6    79     8       73  247399  2354656 
 2000  3.85      87   87    76     5     1998   2153     0     5     6    85     5       77  247399  2354662 
 2051  3.75      85   85   127     9     2049   2102     0     9     6    88     8       81  247399  2354665 
 2154  3.36      83   83   103     6     2151   2000     1     6     7    94     6       86  247400  2354671 
 2183  3.25      82   82   132     8     2180   1971     1     8     7    96     7       88  247400  2354673 
 2306  2.75      78  102   123     6     2303   1848     0     6     7   102     6       94  247400  2354679 
 2428  3.25      90   90   122     6     2425   1726    -1     6     6   109     6      100  247399  2354686 
 2500  4.26      88   92    72     5     2497   1654     0     5     6   113     4      105  247399  2354690 
 2517  4.50      88   92    89     6     2514   1637     0     6     6   115     6      106  247399  2354692 
 2613  5.25      86   94    96     8     2609   1542     0     8     6   123     8      114  247399  2354700 
 2714  6.50      90   90   100    10     2710   1441     0    10     5   133    10      123  247398  2354710 
 2775  8.50      86   94    60     8     2770   1381     0     8     5   141     8      131  247398  2354718 
 2845  8.50      85   95    69    10     2840   1311    -1    10     4   151    10      141  247397  2354728 
 2877  8.50      80  100    32     5     2871   1280    -1     5     3   156     5      146  247396  2354733 
 2908  8.50      70  110    31     5     2902   1249    -1     4     2   161     5      150  247395  2354738 
