      WELL DATA SUMMARY                                                                                      
            
Well  BLM 81A-19    
                         
Sec Az  225         
Elev   4205 KB      
CoordsNorth  249077 East              2355443 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0    1     0     0        0   4205     0     0     0     0     0        0  249077  2355443 
  173  0.50       1    1   173     1      173   4032     1     0     1     0    -1       -1  249078  2355443 
  205  0.84       2   52    32     0      205   4000     0     0     1     0     0       -1  249078  2355443 
  290  1.75       6  186   117    -2      290   3915     0    -2     1    -2     2        1  249078  2355441 
  326  1.87       9  180    36     1      326   3879    -1     0     0    -2     1        2  249077  2355441 
  437  2.25      19  161   147     5      437   3768    -5     1    -4    -2     3        4  249073  2355441 
  555  2.25       7  187   118     5      555   3650    -5     0    -9    -1     3        7  249068  2355442 
  717  2.75       2  178   162     7      717   3488    -7     0   -16    -2     5       12  249061  2355441 
  880  3.75       8  172   163     9      879   3326    -9     1   -25    -1     6       18  249052  2355442 
 1015  3.75      23  157   135     9     1014   3191    -9     2   -34     2     4       23  249043  2355445 
 1129  3.25      12  168   114     7     1128   3077    -7     2   -40     4     3       26  249037  2355447 
 1206  3.83       7  173    77     5     1205   3000    -5     1   -45     5     3       29  249032  2355448 
 1261  4.25       3  177   132     9     1260   2945    -9     1   -49     5     5       31  249028  2355448 
 1328  4.52       2  178    67     5     1326   2879    -5     0   -54     5     3       35  249023  2355448 
 1383  4.75       2  178   122    10     1381   2824   -10     0   -58     5     6       38  249019  2355448 
 1508  5.25       9  189   125    11     1506   2699   -11    -1   -69     5     8       46  249008  2355448 
 1557  5.75      14  194    49     5     1555   2650    -5    -1   -74     4     4       50  249003  2355447 
 1588  5.25      12  192    31     3     1585   2620    -3    -1   -77     3     3       52  249000  2355446 
 1619  5.25      16  196    31     3     1616   2589    -3    -1   -79     2     2       55  248998  2355445 
 1650  5.75      20  200    31     3     1647   2558    -3    -1   -82     1     3       57  248995  2355444 
 1683  5.50      20  200    33     3     1680   2525    -3    -1   -85     0     3       60  248992  2355443 
 1714  5.00      19  199    31     3     1711   2494    -3    -1   -88    -1     3       63  248989  2355442 
 1745  5.00      23  203    31     3     1742   2463    -3    -1   -91    -2     2       65  248986  2355441 
 1775  5.00      23  203    30     3     1772   2433    -2    -1   -93    -3     2       68  248984  2355440 
 1806  5.00      21  201    31     3     1802   2403    -3    -1   -95    -4     2       70  248982  2355439 
 1837  5.00      20  200    31     3     1833   2372    -3    -1   -98    -5     2       73  248979  2355438 
 1868  4.75      20  200    31     3     1864   2341    -2    -1  -100    -5     2       75  248977  2355438 
 1900  4.50      22  202    32     3     1896   2309    -2    -1  -103    -6     2       77  248974  2355437 
 1970  3.25      22  202    70     5     1966   2239    -4    -2  -107    -8     4       82  248970  2355435 
 2099  3.00      25  205   129     7     2095   2110    -6    -3  -114   -11     7       88  248963  2355432 
 2209  3.71      30  210   110     6     2205   2000    -6    -3  -119   -14     6       94  248958  2355429 
 2216  3.75      30  210   117     7     2212   1993    -6    -3  -120   -14     7       95  248957  2355429 
