		WELL DATA SUMMARY														
		 														
	Well	BLMN 33-7														
	 	 	 	 												
	Sec Azim	335.0	 													
	Elev	4215.0	KB													
 	Coords:	North	258644.0	EAST			2351584									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 				 												
 	0	0.0	0.0	0	0	0	0	4215	0.0	0.0	0.0	0.0	0.0	0.0	258644	2351584
	100	0.2	0.0	46	100	0	100	4115	0.1	0.1	0.1	0.1	0.1	0.1	258644	2351584
	200	0.3	0.0	92	100	0	200	4015	0.2	0.4	0.3	0.5	0.0	0.1	258644	2351584
	215	0.4	0.0	99	215	1	215	4000	0.4	0.5	0.4	0.5	0.2	0.2	258644	2351584
 	294	0.5	0.0	135	294	1	294	3921	0.5	1.2	0.5	1.2	-0.1	-0.1	258644	2351585
	300	0.5	0.0	134	6	0	300	3915	0.0	0.0	0.5	1.2	0.0	-0.1	258644	2351585
	400	0.5	0.0	119	100	1	400	3815	-0.5	0.7	-0.1	1.9	-0.8	-0.9	258644	2351586
	500	0.5	0.0	104	100	1	500	3715	-0.3	0.8	-0.4	2.7	-0.6	-1.5	258644	2351587
	600	0.5	0.0	88	100	1	600	3615	-0.1	0.9	-0.5	3.6	-0.4	-1.9	258644	2351587
 	667	0.5	0.0	78	373	3	667	3548	-0.9	3.1	-0.4	4.3	-2.2	-2.2	258644	2351588
	700	0.6	0.0	88	33	0	700	3515	0.0	0.3	-0.4	4.6	-0.1	-2.3	258644	2351588
	800	0.8	0.0	118	100	1	800	3415	-0.3	1.2	-0.7	5.8	-0.7	-3.1	258643	2351590
 	878	1.0	0.0	141	211	3	878	3337	-0.9	2.6	-1.4	6.9	-1.9	-4.1	258643	2351591
	900	1.0	0.0	145	22	0	900	3315	-0.3	0.2	-1.7	7.1	-0.4	-4.5	258642	2351591
	1000	0.8	0.0	165	100	2	1000	3215	-1.4	0.6	-3.1	7.8	-1.5	-6.1	258641	2351592
	1100	0.6	0.0	185	100	1	1100	3115	-1.3	0.1	-4.3	7.9	-1.2	-7.3	258640	2351592
 	1192	0.5	0.0	203	314	4	1192	3023	-4.1	0.6	-5.4	7.5	-3.9	-8.1	258639	2351591
	1200	0.5	0.0	201	8	0	1200	3015	-0.1	0.0	-5.5	7.5	0.0	-8.1	258639	2351591
	1215	0.5	0.0	197	23	0	1215	3000	-0.2	-0.1	-5.6	7.4	-0.1	-8.2	258638	2351591
	1300	0.4	0.0	175	85	1	1300	2915	-0.6	-0.1	-6.2	7.3	-0.5	-8.7	258638	2351591
 	1384	0.3	0.0	154	192	1	1384	2831	-1.3	0.0	-6.7	7.5	-1.2	-9.2	258637	2351591
	1400	0.3	0.0	151	16	0	1400	2815	-0.1	0.0	-6.7	7.5	-0.1	-9.3	258637	2351591
	1500	0.5	0.0	130	100	1	1500	2715	-0.6	0.5	-7.3	8.0	-0.7	-10.0	258637	2351592
	1600	0.8	0.0	110	100	1	1600	2615	-0.6	1.0	-7.9	9.0	-0.9	-10.9	258636	2351593
 	1690	1.0	0.0	91	306	3	1690	2525	-1.8	2.8	-8.5	10.3	-2.8	-12.0	258636	2351594
	1700	1.0	0.0	90	10	0	1700	2515	0.0	0.2	-8.5	10.5	-0.1	-12.1	258636	2351594
	1800	1.3	0.0	83	100	2	1800	2415	0.1	2.0	-8.4	12.5	-0.7	-12.9	258636	2351596
	1900	1.6	0.0	75	100	2	1900	2315	0.5	2.4	-7.9	15.0	-0.6	-13.5	258636	2351599
 	1969	1.8	0.0	70	279	7	1969	2246	1.1	6.6	-7.4	16.9	-1.8	-13.8	258637	2351601
LC	1982	1.8	0.0	68	13	0	1982	2233	0.1	0.4	-7.2	17.3	0.0	-13.9	258637	2351601
	2000	1.8	0.0	66	18	1	2000	2215	0.2	0.5	-7.0	17.8	0.0	-13.9	258637	2351602
	2100	1.8	0.0	54	100	3	2100	2115	1.5	2.7	-5.5	20.5	0.3	-13.6	258638	2351604
	2200	1.8	0.0	42	100	3	2200	2015	2.0	2.3	-3.5	22.7	0.9	-12.8	258641	2351607
	2215	1.8	0.0	40	246	8	2215	2000	4.3	6.2	-3.1	23.1	1.3	-12.6	258641	2351607
 	2219	1.8	0.0	40	250	8	2219	1996	4.4	6.3	-3.0	23.2	1.3	-12.5	258641	2351607
	2300	1.9	0.0	44	81	3	2300	1915	1.9	1.7	-1.1	24.9	1.0	-11.5	258643	2351609
	2400	2.1	0.0	49	100	3	2400	1815	2.4	2.5	1.3	27.4	1.1	-10.4	258645	2351611
	2500	2.2	0.0	54	100	4	2500	1715	2.3	2.9	3.7	30.4	0.9	-9.5	258648	2351614
 	2502	2.3	0.0	54	283	10	2502	1713	6.7	7.2	3.7	30.4	3.1	-9.5	258648	2351614
	2600	2.2	0.0	54	98	4	2599	1616	2.2	3.1	6.0	33.5	0.7	-8.7	258650	2351617
	2700	2.1	0.0	55	100	4	2699	1516	2.2	3.0	8.1	36.5	0.7	-8.1	258652	2351620
	2800	2.0	0.0	55	100	4	2799	1416	2.1	2.9	10.2	39.4	0.6	-7.4	258654	2351623
 	2809	2.0	0.0	55	307	11	2808	1407	6.6	9.3	10.4	39.7	2.1	-7.4	258654	2351623
	2900	2.0	0.0	58	91	3	2899	1316	1.8	2.6	12.1	42.3	0.5	-6.9	258656	2351626
 	2965	2.0	0.0	60	156	5	2964	1251	2.9	4.6	13.3	44.3	0.7	-6.7	258657	2351628
	3000	1.9	0.0	46	35	1	2999	1216	0.7	1.0	14.0	45.2	0.2	-6.4	258658	2351629
 	3054	1.8	0.0	25	89	3	3053	1162	2.1	2.0	15.4	46.2	1.1	-5.6	258659	2351630
	3100	1.4	0.0	18	46	1	3099	1116	1.2	0.5	16.6	46.7	0.9	-4.7	258661	2351630
LC on conx	3125	1.2	0.0	14	71	2	3124	1091	1.7	0.6	17.1	46.8	1.3	-4.3	258661	2351631
 	3149	1.0	0.0	10	95	2	3148	1067	2.2	0.7	17.6	46.9	1.7	-3.9	258662	2351631
	3200	0.7	0.0	17	51	1	3199	1016	0.7	0.2	18.4	47.1	0.6	-3.3	258662	2351631
	3216	0.7	0.0	20	67	1	3215	1000	0.9	0.2	18.5	47.2	0.7	-3.1	258663	2351631
 	3245	0.5	0.0	24	96	1	3244	971	1.2	0.4	18.8	47.3	0.9	-2.9	258663	2351631
	3300	0.5	12.6	204	55	0	3299	916	-0.2	0.5	18.6	47.7	-0.4	-3.3	258663	2351632
 	3341	0.6	22.0	338	96	-1	3340	875	0.9	0.0	19.7	47.3	0.8	-2.2	258664	2351631
	3400	1.1	40.2	320	59	1	3399	816	0.7	-0.5	20.4	46.9	0.9	-1.3	258664	2351631
 	3435	1.5	51.0	309	94	2	3434	781	1.4	-1.0	21.0	46.3	1.6	-0.5	258665	2351630
	3500	1.7	39.4	321	65	2	3499	716	1.3	-1.3	22.3	45.0	1.7	1.2	258666	2351629
 	3530	1.8	34.0	326	95	3	3529	686	2.0	-1.8	23.0	44.5	2.6	2.1	258667	2351628
	3600	1.9	13.8	346	70	2	3599	616	2.1	-0.9	25.1	43.6	2.2	4.3	258669	2351627
 	3627	2.0	6.0	354	97	3	3626	589	3.0	-1.1	26.0	43.4	3.2	5.2	258670	2351627
	3700	1.4	2.2	358	73	2	3699	516	2.1	-0.2	28.1	43.2	2.0	7.2	258672	2351627
 	3741	1.0	0.0	360	114	3	3740	475	3.0	-0.2	29.0	43.2	2.8	8.0	258673	2351627
	3800	2.2	21.1	297	59	2	3799	416	1.4	-0.9	30.4	42.4	1.6	9.6	258674	2351626
 	3867	3.5	45.0	225	126	5	3866	349	1.9	-4.6	30.9	38.7	3.6	11.6	258675	2351622
	3900	3.5	44.1	224	33	2	3899	316	-1.4	-1.4	29.4	37.3	-0.7	10.9	258673	2351621
	4000	3.5	41.4	221	100	6	3999	216	-4.5	-4.1	25.0	33.1	-2.3	8.6	258669	2351617
	4100	3.5	38.6	219	100	6	4098	117	-4.7	-3.9	20.3	29.2	-2.6	6.0	258664	2351613
	4200	3.5	35.9	216	100	6	4198	17	-4.9	-3.7	15.4	25.5	-2.8	3.2	258659	2351609
	4217	3.5	35.4	215	349	21	4215	0	-16.3	-13.8	14.6	24.9	-9.0	2.7	258659	2351609
 	4270	3.5	34.0	214	402	25	4268	-53	-19.0	-15.6	11.9	23.0	-10.6	1.0	258656	2351607
	4300	3.6	34.2	217	30	2	4298	-83	-1.5	-1.1	10.4	21.9	-0.9	0.1	258654	2351606
	4400	3.9	34.7	228	100	7	4398	-183	-4.8	-4.4	5.6	17.5	-2.5	-2.3	258650	2351601
 	4445	4.0	35.0	233	175	11	4443	-228	-8.3	-7.9	3.6	15.1	-4.2	-3.1	258648	2351599
	4500	4.2	37.6	229	55	4	4498	-283	-2.5	-3.0	1.1	12.1	-1.0	-4.1	258645	2351596
 	4595	4.5	42.0	222	150	11	4592	-377	-7.5	-8.2	-3.9	6.9	-3.3	-6.5	258640	2351591
	4600	4.5	40.6	222	5	0	4597	-382	-0.3	-0.3	-4.2	6.7	-0.2	-6.6	258640	2351590
	4700	4.5	13.4	224	100	8	4697	-482	-5.7	-5.4	-9.9	1.3	-2.9	-9.6	258634	2351585
 	4749	4.5	0.0	225	154	12	4746	-531	-8.8	-8.3	-12.7	-1.4	-4.4	-10.9	258631	2351582
	4800	5.6	0.0	233	51	4	4797	-582	-2.9	-3.4	-15.6	-4.7	-1.2	-12.2	258628	2351579
 	4845	6.5	0.0	240	96	9	4841	-626	-5.6	-7.3	-18.3	-8.7	-2.0	-12.9	258626	2351575
	4900	8.4	0.0	247	55	7	4896	-681	-3.2	-6.4	-21.5	-15.0	-0.2	-13.1	258623	2351569
 	4940	9.8	0.0	252	94	13	4936	-721	-5.5	-12.3	-23.7	-20.9	0.2	-12.7	258620	2351563
	5000	11.0	37.6	250	59	11	4995	-780	-3.5	-10.2	-27.2	-31.2	1.2	-11.5	258617	2351553
LC	5026	11.5	53.9	250	85	16	5020	-805	-5.2	-15.0	-29.0	-35.9	1.6	-11.1	258615	2351548
