      WELL DATA SUMMARY                                                                                                                                                                                                        
                                                                                                                                                                         
Well  NAVY I 52-7                                                                                                                                                        
                                                                                                                                                                         
Sec Az28.38                                                                                                                                                              
Elev   4180 KB                                                                                                                                                           
CoordsNorth  259399 East              2353153                                                                                                                            
                         Course                                                                                                                                          
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM                                                                   
__________________________________________________________________________________________________________                                                               
                                                                                                                                                                         
    0  0.00      90   90                        4180     0     0     0     0     0     0  259399  2353153                                                                
  224  0.45      90   90   224     1      224   3956     0     1     0     1     0     0  259399  2353154                                                                                                          
  370  0.25      90   90   146     1      370   3810     0     1     0     2     0     1  259399  2353155                                                                                                          
  462  0.25      90   90    92     0      462   3718     0     0     0     2     0     1  259399  2353155                                                                                                          
  500  0.25      90   90    38     0      500   3680     0     0     0     2     0     1  259399  2353155                                                                
  609  0.25      90   90   109     0      609   3571     0     0     0     3     0     1  259399  2353156                                                                                                          
  640  0.75      85   85    31     0      640   3540     0     0     0     3     0     1  259399  2353156                                                                                                          
  672  1.25      80   80    32     1      672   3508     0     1     0     4     0     2  259399  2353157                                                                                                          
  702  1.75      72   72    30     1      702   3478     0     1     0     4     1     2  259399  2353157                                                                                                          
  732  2.50      65   65    30     1      732   3448     0     1     1     5     1     3  259400  2353158                                                                                                          
  762  3.00      53   53    30     1      762   3418     1     1     1     7     1     4  259400  2353160                                                                                                          
  793  3.50      47   47    31     2      793   3387     1     1     3     8     2     6  259402  2353161                                                                                                          
  824  4.00      47   47    31     2      824   3356     1     1     4     9     2     8  259403  2353162                                                                                                          
  856  4.75      43   43    32     2      856   3324     2     2     6    11     2    10  259405  2353164                                                                                                          
  887  5.00      35   35    31     3      887   3293     2     2     8    13     3    13  259407  2353166                                                                                                          
  918  5.50      32   32    31     3      917   3263     2     2    10    14     3    16  259409  2353167                                                                                                          
  949  6.00      34   34    31     3      948   3232     3     2    13    16     3    19  259412  2353169                                                                                                          
  979  6.25      43   43    30     3      978   3202     3     2    15    18     3    22  259414  2353171                                                                                                          
 1000  6.42      46   46    21     2      999   3181     2     2    17    20     2    24  259416  2353173                                                                
 1010  6.50      48   48    10     1     1009   3171     1     1    18    21     1    25  259417  2353174                                                                                                          
 1040  7.25      50   50    30     4     1039   3141     2     3    20    23     3    29  259419  2353176                                                                                                          
 1071  8.00      49   49    31     4     1069   3111     3     3    23    26     4    32  259422  2353179                                                                                                          
 1183  9.75      42   42   111    17     1180   3000    12    12    35    39    17    49  259434  2353192                                                                                                          
 1103  8.50      47   47    32     5     1101   3079     3     3    26    30     4    37  259425  2353183                                                                                                          
 1197 10.00      42   42    93    15     1194   2986    11    11    36    40    15    51  259435  2353193                                                                                                          
 1259 11.25      40   40    61    11     1255   2925     9     7    45    48    11    62  259444  2353201                                                                                                          
 1353 12.75      39   39    92    20     1347   2833    15    12    60    60    19    82  259459  2353213                                                                                                          
 1496 14.75      39   39   139    34     1486   2694    26    21    87    82    33   115  259486  2353235                                                                                                          
 1500 14.84      39   39     4     1     1490   2690     1     1    87    82     1   116  259486  2353235                                                                
