      WELL DATA SUMMARY                                                                                                                                                                                                                    /ca11..aj12~a112~ 
                                                                                                                                                                                                                                           /rva59..aj59~a59..aj59~ 
Well  NAVY I 54-7   SIDE             TRACK    #2                                                                                                                                                                                           /ma59..ak200~a63~ 
                                                                                                                                                                                                                                           /ca11..aj12~a60~  
Sec Az  125 S 55 E                                                                                                                                                                                                                         /ppr~gp{esc}{esc}{esc}  
Elev   4206 KB      
CoordsNorth  258026 East              2353378 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM   E-LAM  
_____________________________________________________________________________________________________________
                                                                                                                                                                                                             
    0  0.00      88   88                        4206     0     0     0     0     0        0  258026  2353378                                                                                                 
  100  0.25      88   88   100     0      100   4106     0     0     0     0     0        0  258026  2353378                                                                                                 
  200  0.25      88   88   100     0      200   4006     0     0     0     1     0        1  258026  2353379                   
  206  0.25      87   91     6     0      206   4000     0     0     0     1     0        1  258026  2353379 
  300  0.25      57  123   100     0      300   3906     0     0     0     1     0        1  258026  2353379                   
  400  0.25      35  145   100     0      400   3806     0     0     0     1     0        1  258026  2353379                   
  500  0.25      41  139   100     0      500   3706     0     0    -1     2     0        2  258025  2353380                   
  600  0.50      39  141   100     1      600   3606    -1     0    -1     2     1        2  258025  2353380                   
  700  2.75      36  144   100     3      700   3506    -2     2    -3     4     3        5  258023  2353382                   
  800  4.25      46  134   100     6      800   3406    -5     4    -8     8     6       11  258018  2353386                   
  900  7.00      46  134   100    10      899   3307    -7     7   -15    15    10       21  258011  2353393                   
 1000  9.50      47  133    99    14      998   3208   -10    10   -25    25    14       35  258001  2353403                   
 1100 11.00      47  133    98    18     1097   3109   -12    13   -37    38    18       53  257989  2353416                   
 1200 12.25      49  131    98    20     1195   3011   -13    15   -50    53    20       73  257976  2353431                   
 1212 12.52      49  131    12     3     1206   3000    -2     2   -52    55     3       75  257974  2353433 
 1300 14.50      50  130    97    23     1292   2914   -15    18   -65    71    23       96  257961  2353449                   
 1400 15.75      48  132    97    26     1388   2818   -17    20   -83    91    26      122  257943  2353469                   
 1500 15.75      48  132    96    27     1485   2721   -18    20  -101   111    27      148  257925  2353489                   
 1600 15.75      48  132    96    27     1581   2625   -18    20  -119   131    27      175  257907  2353509                   
 1700 15.50      47  133    96    27     1677   2529   -18    20  -137   151    27      202  257889  2353529                   
 1800 16.00      49  131    96    27     1773   2433   -18    20  -155   171    27      229  257871  2353549                   
 1893 13.91      48  132    90    24     1863   2343   -16    18  -171   189    24      253  257855  2353567 
 1900 13.75      48  132    97    26     1870   2336   -17    19  -172   190    26      255  257854  2353568 
 2000 13.50      44  136    97    24     1967   2239   -16    17  -189   207    23      278  257837  2353585 
 2100 14.00      44  136    97    24     2064   2142   -17    17  -206   224    23      301  257820  2353602 
 2200 15.75      44  136    97    26     2161   2045   -18    18  -224   241    25      326  257802  2353619 
 2247 16.81      43  137    45    13     2206   2000   -10     9  -234   251    13      339  257792  2353629 
 2300 18.00      42  138    96    29     2257   1949   -21    20  -245   261    28      355  257781  2353639 
 2400 18.75      39  141    95    32     2352   1854   -24    20  -269   282    31      385  257757  2353660 
