		WELL DATA SUMMARY									

	Well Navy I 61B-7ST										
	Sec Az 245 		S 65W								
	Elev 4145 KB										
	Coords North 259542  East 2353976										

	MD	Drift	Drift D.	Azim	TVD	SSD	N-S	E-W	Sec	N-LAM	E-LAM
	0	0.00	0	111	0	4145	0	0	0	259542	2353976
	145	0.46	64	111	145	4000	0	1	0	259542	2353977
	157	0.50	69	111	157	3988	0	1	0	259542	2353977
	300	0.50	55	235	300	3845	-1	1	0	259541	2353977
	450	0.25	10	170	450	3695	-2	0	1	259540	2353976
	623	0.50	74	254	623	3522	-3	0	2	259539	2353976
	800	1.25	58	238	800	3345	-4	-3	4	259538	2353973
	933	1.50	88	268	933	3212	-5	-6	7	259537	2353970
	1090	1.75	89	269	1090	3055	-6	-10	12	259536	2353966
	1145	1.90	89	269	1145	3000	-6	-12	13	259536	2353964
	1274	2.25	88	268	1274	2871	-6	-17	17	259536	2353959
	1432	2.00	84	276	1432	2713	-5	-22	23	259537	2353954
	1557	2.25	88	268	1557	2588	-5	-27	27	259537	2353949
	1741	1.50	40	220	1740	2405	-8	-32	33	259534	2353944
-25 BPH CMT	1866	1.61	50	230	1865	2280	-10	-35	36	259532	2353941
	2018	1.75	63	243	2017	2128	-13	-39	40	259529	2353937
LC	2048	1.70	58	238	2047	2098	-13	-39	41	259529	2353937
	2146	1.55	42	222	2145	2000	-15	-42	44	259527	2353934
	2180	1.50	37	217	2179	1966	-16	-42	45	259526	2353934
-45 BBLS	2295	1.89	52	232	2294	1851	-18	-45	48	259524	2353931
DURING TRIP	2327	2.00	56	236	2326	1819	-19	-45	49	259523	2353931
	2376	2.00	56	236	2375	1770	-20	-47	51	259522	2353929
	2482	3.00	69	249	2481	1664	-22	-51	55	259520	2353925
	2610	3.00	79	259	2609	1536	-24	-57	62	259518	2353919
	2765	3.50	89	271	2764	1381	-25	-66	70	259517	2353910
LC	2817	3.58	89	271	2816	1329	-25	-69	73	259517	2353907
	2932	3.75	88	272	2930	1215	-24	-77	80	259518	2353899
LC	3065	3.75	86	274	3063	1082	-24	-85	87	259518	2353891
	3084	3.75	86	274	3082	1063	-24	-87	89	259518	2353889
	3147	3.75	82	278	3145	1000	-23	-91	92	259519	2353885
	3241	3.75	77	283	3239	906	-22	-97	97	259520	2353879
	3398	3.25	79	281	3395	750	-20	-106	105	259522	2353870
	3480	3.25	79	281	3477	668	-19	-111	109	259523	2353865
13 3/8 CASING	3525	3.62	76	284	3522	623	-19	-113	111	259523	2353863
	3572	4.00	72	288	3569	576	-18	-116	113	259524	2353860
	3623	5.25	77	283	3620	525	-17	-120	116	259525	2353856
	3653	5.75	80	280	3650	495	-16	-123	118	259526	2353853
LC	3664	5.94	82	278	3661	484	-16	-124	119	259526	2353852
	3682	6.25	86	274	3679	466	-16	-126	121	259526	2353850
	3713	6.50	86	266	3709	436	-16	-130	124	259526	2353846
	3775	7.00	72	252	3771	374	-17	-137	131	259525	2353839
	3804	7.75	70	250	3800	345	-18	-140	135	259524	2353836
	3836	8.25	68	248	3831	314	-20	-144	139	259522	2353832
	3934	8.50	62	242	3928	217	-26	-157	154	259516	2353819
	4029	10.45	62	242	4022	123	-33	-171	169	259509	2353805
	4082	11.25	62	242	4074	71	-38	-180	179	259504	2353796
	4154	11.25	63	243	4145	0	-45	-192	193	259497	2353784
	4177	11.25	63	243	4167	-22	-47	-196	198	259495	2353780
	4300	12.25	65	245	4288	-143	-58	-219	223	259484	2353757
	4393	12.00	64	244	4379	-234	-66	-237	242	259476	2353739
	4515	11.50	65	245	4498	-353	-77	-259	267	259465	2353717
	4606	10.75	64	244	4587	-442	-84	-275	285	259458	2353701
	4699	11.00	65	245	4679	-534	-92	-291	302	259450	2353685
	4791	10.75	61	241	4769	-624	-100	-306	320	259442	2353670
-140 BPH	4861	10.75	62	242	4838	-693	-106	-318	333	259436	2353658
	4885	10.75	62	242	4861	-716	-108	-321	337	259434	2353655
	4979	10.75	60	240	4954	-809	-117	-337	355	259425	2353639
	5073	10.75	59	239	5046	-901	-126	-352	372	259416	2353624
-50-100 BPH	5100	10.80	59	239	5073	-928	-128	-356	377	259414	2353620
	5174	10.96	61	241	5145	-1000	-135	-368	391	259407	2353608
	5196	11.00	61	241	5167	-1022	-137	-372	395	259405	2353604
