      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 63B-7  
                         
Sec Az  121         
Elev   4189 KB      
CoordsNorth  258315 East              2354007 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM   E-LAM  
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      13  347                        4189     0     0     0     0     0        0  258315  2354007 
  189  0.70      13  347   189     1      189   4000     1     0     1     0    -1       -1  258316  2354007 
  203  0.75      13  347   203     1      203   3986     1     0     1     0    -1       -1  258316  2354007 
  465  1.00      13  347   262     4      465   3724     4    -1     5    -1    -3       -4  258320  2354006 
  500  1.42      13  347    35     1      500   3689     1     0     6    -1    -1       -4  258321  2354006 
  568  2.25      13  347    68     2      568   3621     2     0     8    -2    -2       -6  258323  2354005 
  604  2.50      24  336    36     1      604   3585     1     0     9    -2    -1       -7  258324  2354005 
  635  2.50      13  347    31     1      635   3554     1     0    11    -3    -1       -8  258326  2354004 
  666  1.75      16  344    31     1      666   3523     1     0    12    -3    -1       -9  258327  2354004 
  697  1.75      14   14    31    -1      697   3492     1     0    13    -3    -1       -9  258328  2354004 
  728  2.00      32   32    31     1      728   3461     1     0    14    -3     0       -9  258329  2354004 
  758  1.75      48   48    30     1      758   3431     1     1    14    -2     0       -9  258329  2354005 
  790  1.50      79   79    32     1      790   3399     0     1    15    -1     0       -9  258330  2354006 
  822  1.75      81   99    32     1      822   3367     0     1    15     0     1       -8  258330  2354007 
  853  1.75      71  109    31     1      853   3336     0     1    15     1     1       -7  258330  2354008 
  883  2.25      71  109    30     1      883   3306     0     1    14     2     1       -6  258329  2354009 
  982  4.00      57  123    99     5      982   3207    -2     5    12     6     5       -1  258327  2354013 
 1000  4.32      57  123    18     1     1000   3189    -1     1    11     8     1        1  258326  2354015 
 1024  4.75      57  123    24     2     1023   3166    -1     2    10     9     2        3  258325  2354016 
 1056  5.50      54  126    32     3     1055   3134    -2     2     9    11     3        5  258324  2354018 
 1087  6.25      55  125    31     3     1086   3103    -2     3     7    14     3        9  258322  2354021 
 1119  7.00      58  122    32     4     1118   3071    -2     3     5    17     4       12  258320  2354024 
 1151  8.00      60  120    32     4     1150   3039    -2     4     3    21     4       16  258318  2354028 
 1182  8.75      62  118    31     5     1180   3009    -2     4     0    25     5       21  258315  2354032 
 1191  8.98      61  119     9     1     1189   3000    -1     1     0    26     1       22  258315  2354033 
 1270 11.00      51  129    87    15     1267   2922    -8    13    -8    37    15       36  258307  2354044 
 1300 12.00      51  129    29     6     1296   2893    -4     5   -12    42     6       42  258303  2354049 
 1331 13.00      51  129    30     7     1327   2862    -4     5   -16    47     7       49  258299  2354054 
 1362 13.75      51  129    30     7     1357   2832    -5     6   -20    53     7       56  258295  2354060 
 1393 15.00      52  128    30     8     1387   2802    -5     6   -25    59     8       63  258290  2354066 
 1424 15.75      52  128    30     8     1417   2772    -5     6   -30    65     8       71  258285  2354072 
 1454 17.00      52  128    29     8     1446   2743    -5     7   -36    72     8       80  258279  2354079 
 1486 18.25      52  128    30    10     1476   2713    -6     8   -41    79    10       90  258274  2354086 
