      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 15A-8  
                         
Sec Az  235 S 55 W  
Elev   4389 KB      
CoordsNorth  256797 East              2355439 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      29  331                        4389     0     0     0     0     0        0  256797  2355439 
  194  0.75      29  331   194     1      194   4195     1    -1     1    -1     0        0  256798  2355438 
  250  0.75      77  257    56     1      250   4139     0    -1     1    -1     0        0  256798  2355438 
  339  1.00      64  296    89     1      339   4050     0    -1     2    -3     1        1  256799  2355436 
  389  1.14      70  273    50     1      389   4000     0    -1     2    -4     1        2  256799  2355435 
  427  1.25      75  255    88     2      427   3962     0    -2     2    -4     1        3  256799  2355435 
  500  1.25      39  219    73     2      500   3889    -1    -1     1    -6     2        4  256798  2355433 
  511  1.25      34  214    11     0      511   3878     0     0     1    -6     0        4  256798  2355433 
  601  1.75      73  253    90     2      601   3788    -1    -2    -1    -8     2        7  256796  2355431 
  663  2.75      70  250    62     2      663   3726    -1    -2    -2   -10     2        9  256795  2355429 
  726  3.75      54  234    63     4      726   3663    -2    -3    -3   -13     4       13  256794  2355426 
  788  5.00      45  225    62     5      788   3601    -3    -4    -6   -17     5       17  256791  2355422 
  851  6.75      45  225    63     6      850   3539    -5    -5   -11   -21     6       24  256786  2355418 
  882  7.75      40  220    31     4      881   3508    -3    -3   -14   -24     4       28  256783  2355415 
  913  8.75      44  224    31     4      912   3477    -3    -3   -17   -27     4       32  256780  2355412 
  945  9.25      48  228    32     5      943   3446    -3    -4   -20   -31     5       37  256777  2355408 
  976 10.00      50  230    31     5      974   3415    -3    -4   -24   -34     5       42  256773  2355405 
 1000 10.37      51  231    24     4      997   3392    -3    -3   -27   -38     4       46  256770  2355401 
 1041 11.00      54  234    40     8     1038   3351    -5    -6   -31   -44     8       54  256766  2355395 
 1070 11.94      61  241    28     6     1066   3323    -3    -5   -34   -49     6       60  256763  2355390 
 1072 12.00      61  241     2     0     1068   3321     0     0   -34   -49     0       60  256763  2355390 
 1103 14.00      65  245    30     7     1098   3291    -3    -6   -38   -55     7       67  256759  2355384 
 1135 16.00      62  242    31     8     1129   3260    -4    -7   -41   -63     8       75  256756  2355376 
 1177 17.25      53  233    40    12     1170   3219    -6   -10   -48   -73    12       87  256749  2355366 
 1271 17.50      51  231    90    28     1259   3130   -17   -22   -65   -95    28      115  256732  2355344 
 1396 19.00      52  232   119    39     1378   3011   -24   -31   -89  -126    39      154  256708  2355313 
 1408 19.17      52  232    11     4     1389   3000    -2    -3   -92  -129     4      158  256705  2355310 
 1425 19.41      53  233    27    10     1405   2984    -6    -8   -95  -133    10      164  256702  2355306 
 1500 20.46      54  234    71    26     1476   2913   -15   -20  -111  -154    26      189  256686  2355285 
 1503 20.50      54  234     3     1     1479   2910    -1    -1  -111  -154     1      190  256686  2355285 
 1595 21.00      57  237    86    33     1565   2824   -18   -27  -130  -181    33      223  256667  2355258 
 1845 28.50      56  236   227   105     1792   2597   -58   -87  -187  -269   105      328  256610  2355170 
