Point,Northing,Easting,Elev_ft
1,259589,2356040,4078
2,259589,2356040,4000
3,259590,2356038,3829
4,259591,2356037,3727
5,259592,2356034,3578
6,259598,2356024,3183
7,259601,2356020,3078
8,259603,2356017,3000
9,259604,2356015,2954
10,259613,2355999,2714
11,259620,2355986,2580
12,259626,2355977,2496
13,259641,2355950,2311
14,259646,2355942,2266
15,259653,2355933,2208
16,259662,2355924,2120
17,259675,2355914,2000
18,259710,2355885,1678
19,259727,2355871,1532
20,259745,2355855,1379
21,259763,2355839,1225
22,259782,2355823,1073
23,259790,2355816,1000
24,259800,2355807,919
25,259819,2355789,766
26,259836,2355771,614
27,259854,2355753,461
28,259873,2355736,306
29,259890,2355719,152
30,259907,2355701,0
31,259923,2355682,-157
32,259932,2355671,-249
