Northing	Easting	Elevation
257861 	2362018 	3955 
257861 	2362018 	3781 
257861 	2362018 	3750 
257861 	2362017 	3644 
257862 	2362016 	3522 
257862 	2362016 	3500 
257862 	2362015 	3455 
257863 	2362014 	3385 
257864 	2362011 	3250 
257864 	2362011 	3230 
257866 	2362009 	3073 
257866 	2362008 	3000 
257867 	2362008 	2955 
257867 	2362008 	2916 
257868 	2362007 	2760 
257868 	2362007 	2750 
257868 	2362006 	2666 
257868 	2362005 	2602 
257867 	2362004 	2500 
257867 	2362004 	2478 
257866 	2362004 	2455 
257866 	2362004 	2446 
257866 	2362005 	2415 
257865 	2362007 	2384 
257863 	2362016 	2252 
257863 	2362019 	2227 
257862 	2362027 	2136 
257862 	2362034 	2072 
257863 	2362041 	2000 
257863 	2362044 	1974 
257863 	2362045 	1965 
257865 	2362054 	1885 
257867 	2362066 	1790 
257870 	2362078 	1698 
257875 	2362089 	1605 
257884 	2362098 	1512 
257890 	2362102 	1461 
257896 	2362105 	1418 
257916 	2362111 	1292 
257930 	2362114 	1203 
257945 	2362116 	1111 
257927 	2362122 	1000 
257965 	2362114 	992 
257973 	2362112 	941 
257975 	2362112 	929 
257992 	2362106 	836 
258008 	2362097 	748 
258026 	2362086 	653 
258042 	2362074 	563 
258054 	2362060 	466 
258081 	2362020 	227 
258099 	2361995 	77 
258108 	2361983 	0 
258131 	2361951 	-199 
258135 	2361946 	-230 
258138 	2361941 	-261 
258142 	2361936 	-294 
258143 	2361933 	-308 
258145 	2361931 	-325 
258146 	2361928 	-340 
258148 	2361925 	-356 
258149 	2361923 	-371 
258151 	2361920 	-388 
258153 	2361917 	-403 
258154 	2361914 	-419 
258156 	2361912 	-434 
258157 	2361909 	-451 
258159 	2361907 	-465 
258160 	2361904 	-478 
258161 	2361903 	-488 
258162 	2361901 	-498 
258163 	2361899 	-510 
258164 	2361897 	-519 
258165 	2361896 	-529 
258168 	2361892 	-555 
258170 	2361889 	-571 
258174 	2361885 	-603 
258175 	2361882 	-618 
258178 	2361880 	-634 
258180 	2361877 	-649 
258186 	2361871 	-687 
258193 	2361862 	-745 
258206 	2361844 	-850 
258224 	2361817 	-1000 
258232 	2361805 	-1066 
258246 	2361783 	-1176 
258260 	2361762 	-1273 
258270 	2361746 	-1342 
258285 	2361720 	-1453 
258300 	2361692 	-1575 
258312 	2361671 	-1671 
258316 	2361663 	-1711 
258338 	2361610 	-2000 
258339 	2361605 	-2032 
258340 	2361593 	-2109 
258341 	2361580 	-2200 
258341 	2361566 	-2293 
258342 	2361551 	-2386 
258343 	2361541 	-2446 
258344 	2361525 	-2540 
258346 	2361512 	-2632 
258347 	2361498 	-2725 
258350 	2361478 	-2861 
258354 	2361461 	-2977 
258355 	2361457 	-3000 
258358 	2361441 	-3101 
258363 	2361421 	-3227 
258369 	2361395 	-3380 
258376 	2361371 	-3535 
258383 	2361340 	-3744 
258385 	2361335 	-3782 
258387 	2361328 	-3829 
258387 	2361326 	-3841 
258395 	2361304 	-4000 
258397 	2361297 	-4049 
258402 	2361283 	-4148 
258397 	2361203 	-4524 
258393 	2361192 	-4570 
258392 	2361187 	-4587 
258381 	2361159 	-4699 
