Name	Northing	Easting	Elevation	Temp
1	256045	2362157	3856	0
2	256046	2362158	3713	0
3	256048	2362160	3508	0
4	256047	2362162	3314	0
5	256045	2362166	3096	0
6	256043	2362168	3000	0
7	256041	2362170	2910	0
8	256035	2362174	2659	0
9	256031	2362179	2456	0
10	256025	2362182	2236	0
11	256019	2362183	2019	0
12	256019	2362183	2000	0
13	256018	2362183	1965	0
14	256016	2362184	1805	0
15	256016	2362184	1775	0
16	256015	2362184	1752	0
17	256012	2362184	1623	0
18	256008	2362183	1462	0
19	256006	2362181	1392	0
20	255997	2362175	1145	0
21	255993	2362170	1001	0
22	255989	2362161	800	0
23	255986	2362155	639	0
24	255981	2362151	464	0
25	255978	2362149	367	0
26	255970	2362144	0	395
27	255972	2362143	-18	0
28	255968	2362140	-205	0
29	255960	2362137	-459	0
30	255947	2362133	-743	0
31	255933	2362129	-1000	420
32	255928	2362128	-1100	0
33	255909	2362126	-1436	0
34	255900	2362127	-1595	0
35	255896	2362127	-1670	0
36	255894	2362127	-1702	0
37	255892	2362125	-1734	0
38	255890	2362121	-1798	0
39	255889	2362119	-1830	0
40	255889	2362113	-1894	0
41	255890	2362104	-1982	0
42	255890	2362102	-2000	445
43	255891	2362097	-2046	0
44	255892	2362091	-2109	0
45	255892	2362084	-2167	0
46	255894	2362077	-2234	0
47	255895	2362070	-2296	0
48	255897	2362066	-2330	0
49	255898	2362061	-2365	0
50	255899	2362057	-2393	0
51	255899	2362052	-2425	0
52	255900	2362042	-2485	0
53	255899	2362026	-2577	0
54	255898	2362014	-2639	0
55	255896	2362001	-2701	0
56	255895	2361987	-2766	0
57	255893	2361972	-2828	0
58	255892	2361957	-2889	0
59	255890	2361943	-2949	0
60	255889	2361931	-3000	0
61	255889	2361930	-3003	0
62	255887	2361915	-3062	0
63	255886	2361900	-3121	0
64	255885	2361885	-3180	0
65	255884	2361860	-3271	0
66	255883	2361843	-3332	0
67	255883	2361801	-3483	0
68	255883	2361791	-3520	0
69	255883	2361760	-3631	0
70	255882	2361720	-3787	0
71	255880	2361666	-3998	0
72	255880	2361666	-4000	0
73	255890	2361596	-4292	0
74	255897	2361569	-4409	0
75	255897	2361526	-4596	0
76	255898	2361500	-4714	0
77	255898	2361499	-4719	0
78	255896	2361438	-5000	560
79	255896	2361435	-5012	0
80	255893	2361424	-5066	0
