Point,Longitude,Latitude,TVD,Depth_msl
1,-117.7762591,36.03069377,0.0,1175.3
2,-117.7762558,36.03068824,66.1,1109.2
3,-117.7762525,36.03068271,124.1,1051.3
4,-117.776246,36.0306689,183.2,992.1
5,-117.7762394,36.0306551,219.5,955.9
6,-117.7762329,36.03064404,248.4,926.9
7,-117.7762329,36.03063855,260.9,914.4
8,-117.7762263,36.03062749,297.2,878.1
9,-117.7762198,36.03061094,345.3,830.0
10,-117.7762168,36.03058619,413.3,762.0
11,-117.7762276,36.03054784,485.9,689.5
12,-117.7762416,36.03051502,548.9,626.4
13,-117.7762451,36.03050681,565.7,609.6
14,-117.7762522,36.0304904,598.0,577.3
15,-117.7762556,36.03048494,607.8,567.5
16,-117.7762592,36.03047124,630.6,544.7
17,-117.7762663,36.03045483,659.9,515.4
18,-117.7762697,36.03044937,669.3,506.0
19,-117.7762733,36.03043842,688.2,487.1
20,-117.7762767,36.03043296,697.4,477.9
21,-117.7762904,36.03042486,726.6,448.7
22,-117.7762938,36.03042215,735.8,439.5
23,-117.7762973,36.03041944,745.8,429.5
24,-117.776304,36.03041951,759.0,416.4
25,-117.7763107,36.03042507,775.1,400.2
26,-117.7763107,36.03042507,776.0,399.3
27,-117.7763106,36.03043331,794.3,381.0
28,-117.7763071,36.03043877,813.2,362.1
29,-117.7763036,36.03044423,823.0,352.3
30,-117.7762968,36.03044691,833.0,342.3
31,-117.7762934,36.03045237,842.8,332.5
32,-117.7762831,36.0304605,857.1,318.2
33,-117.7762761,36.03047142,870.5,304.8
34,-117.7762692,36.03048508,885.7,289.6
35,-117.7762657,36.03049329,895.5,279.8
36,-117.7762552,36.03051241,915.0,260.3
37,-117.7762413,36.03053699,944.3,231.0
38,-117.7762241,36.03055604,969.0,206.3
39,-117.7762068,36.03057784,996.4,178.9
40,-117.7761859,36.03061883,1033.9,141.4
41,-117.7761786,36.03065172,1062.5,112.8
42,-117.7761815,36.03068197,1091.5,83.8
43,-117.7761846,36.03070124,1109.8,65.5
44,-117.7761977,36.03072884,1141.8,33.5
45,-117.7762042,36.03074265,1155.8,19.5
46,-117.7762075,36.03074818,1161.9,13.4
47,-117.7762141,36.03076198,1175.3,0.0
48,-117.776224,36.03077582,1189.0,-13.7
49,-117.776234,36.03078691,1197.9,-22.6
50,-117.776254,36.03080635,1218.9,-43.6
51,-117.7762906,36.03084519,1257.6,-82.3
52,-117.7763338,36.03088959,1300.3,-125.0
53,-117.7763439,36.03089793,1309.7,-134.4
54,-117.7763773,36.03092026,1339.0,-163.7
55,-117.776421,36.03093719,1367.3,-192.0
56,-117.7764784,36.03094603,1396.0,-220.7
57,-117.7765358,36.03095486,1424.0,-248.7
58,-117.7765999,36.03096377,1452.1,-276.8
59,-117.7766708,36.03097275,1480.1,-304.8
60,-117.7767585,36.03098739,1513.6,-338.3
61,-117.7768158,36.03099897,1534.1,-358.7
62,-117.7768394,36.03100196,1541.7,-366.4
63,-117.7769439,36.03102502,1578.6,-403.3
64,-117.7770518,36.03104537,1615.7,-440.4
65,-117.7771968,36.03107159,1662.1,-486.8
66,-117.777315,36.03108655,1699.6,-524.3
67,-117.7774365,36.03110154,1736.8,-561.4
68,-117.7775209,36.0311134,1764.5,-589.2
69,-117.7775816,36.03112502,1784.9,-609.6
70,-117.7775984,36.03112794,1791.6,-616.3
71,-117.7777265,36.03115399,1838.2,-662.9
72,-117.7778479,36.03117722,1883.7,-708.4
73,-117.7780232,36.03121475,1949.2,-773.9
74,-117.7781782,36.03125206,2004.7,-829.4
75,-117.7782018,36.0312578,2012.6,-837.3
76,-117.7783264,36.03128931,2056.8,-881.5
77,-117.7783332,36.03129213,2059.5,-884.2
78,-117.7784039,36.03130934,2083.9,-908.6
79,-117.7784208,36.03131226,2089.7,-914.4
80,-117.7784545,36.03132085,2102.2,-926.9
81,-117.778596,36.03135528,2151.6,-976.3
82,-117.7787779,36.03140112,2216.2,-1040.9
83,-117.7789532,36.03144139,2279.0,-1103.7
84,-117.7791047,36.03148141,2338.7,-1163.4
85,-117.779125,36.03148437,2345.7,-1170.4
86,-117.7792159,36.03150729,2382.9,-1207.6
87,-117.7792429,36.03151306,2394.5,-1219.2
88,-117.779344,36.03153333,2431.1,-1255.8
89,-117.7794889,36.03157054,2487.2,-1311.9
90,-117.7795764,36.03159617,2522.2,-1346.9
91,-117.7797381,36.03164179,2586.5,-1411.2
92,-117.7797448,36.03164461,2589.9,-1414.6
93,-117.7798761,36.03168443,2645.1,-1469.7
94,-117.7799971,36.03172963,2699.3,-1524.0
95,-117.7800173,36.03173533,2709.4,-1534.1
96,-117.7800913,36.03176357,2745.0,-1569.7
97,-117.7803569,36.03186246,2877.6,-1702.3
