Well,X,Y,Z,TD
22-16,2362430,254168,-2345,6450
24-8,2355998,257910,2671,1650
34A-20,2357577,247315,-2,4100
37B-17,2356842,250854,173,3800
47-8,2357356,255941,2316,2030
47A-8RD,2357342,256131,2300,2050
52-7,2353458,259867,1362,2900
61-7,2354483,259310,2019,2160
61A-7,2354370,259696,1996,2220
63-7,2354136,258431,2036,2160
63A-7,2354126,257929,1748,2500
63B-7,2354549,257994,1472,2840
66-7,2353287,255995,1981,2450
66A-7,2353150,256868,1310,3200
72B-18,2354546,254068,1608,2600
72C-18,2354810,253975,1899,2350
73-7,2354541,258334,2207,2000
73-19,2354234,247959,-440,4600
73A-18,2354431,253112,1702,2400
74-19,2354524,247309,-747,5000
76A-7,2354186,256635,1866,2480
76B-7,2354406,256937,2588,1800
78-7,2354399,254961,1984,2500
81-18,2355072,254560,2198,2150
81A-18RD,2355319,254673,1659,2700
87-7,2355104,255742,2257,2170
87A-7,2354018,255551,671,3900
