      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  BLM 16-20     
                         
Sec Az   45         
Elev   4416 KB      
CoordsNorth  246365 East              2355717 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0    5     0     0        0   4416     0     0     0     0     0      0  246365  2355717                                                                                                                   
  218  0.75       5    5   218     1      218   4198     1     0     1     0     1      1  246366  2355717                                                                                                                   
  416  0.55      12   12   198     2      416   4000     2     0     4     0     2      3  246369  2355717 
  470  0.50      14   14   252     3      470   3946     3     0     4     1     2      3  246369  2355718                                                                                                                   
  783  0.25      19   19   313     2      783   3633     2     1     6     1     2      5  246371  2355718                                                                                                                   
 1017  0.75      21  339   234    -2     1017   3399     2     0     8     1     1      7  246373  2355718                                                                                                                   
 1251  1.25      56  304   234     4     1251   3165     3    -3    11    -1     0      7  246376  2355716                                                                                                                   
 1416  1.08      39  321   165     3     1416   3000     2    -2    14    -4     0      7  246379  2355713 
 1500  1.00      30  330   249     5     1500   2916     4    -3    15    -5     0      7  246380  2355712                                                                                                                   
 1625  1.25      11  349   125     2     1625   2791     2    -1    17    -6     1      8  246382  2355711                                                                                                                   
 1750  1.25      10  350   125     3     1750   2666     3     0    20    -6     2     10  246385  2355711                                                                                                                   
 2000  1.25      28  332   250     5     2000   2416     5    -2    25    -8     2     12  246390  2355709 
 2001  1.25      28  332   251     5     2001   2415     5    -2    25    -8     2     12  246390  2355709                                                                                                                   
 2094  1.50      30  330    93     2     2094   2322     2    -1    27    -9     1     13  246392  2355708                                                                                                                   
 2186  1.00      16  344    92     2     2186   2230     2    -1    29   -10     1     14  246394  2355707                                                                                                                   
 2261  1.25      23  337    75     1     2261   2155     1     0    30   -10     1     14  246395  2355707                                                                                                                   
 2392  1.25      22  338   131     3     2392   2024     3    -1    33   -11     1     15  246398  2355706                                                                                                                   
 2416  1.25      16  222    24     1     2416   2000     0    -1    33   -12     0     15  246398  2355705 
 2461  1.25       4    4    69    -2     2461   1955     1     0    34   -12     1     16  246399  2355705                                                                                                                   
 2578  1.25       2  358   117    -3     2578   1838     3     0    37   -12     2     18  246402  2355705                                                                                                                   
 2683  1.50       3  357   105     3     2683   1733     3     0    39   -12     2     20  246404  2355705                                                        1733        2578  2578    37   -12    18  0.00 
 2780  1.25       9    9    97    -2     2780   1636     2     0    42   -12     2     21  246407  2355705                                                                                                                   
 2888  1.00      12   12   108     2     2888   1528     2     0    44   -11     2     23  246409  2355706                                                                                                                   
 2966  0.75      53   53    78     1     2966   1450     1     1    45   -10     1     24  246410  2355707                                                                                                                   
 3000  0.67      51   51    34     0     3000   1416     0     0    45   -10     0     25  246410  2355707 
 3075  0.50      48   48   109     1     3075   1341     1     1    46   -10     1     25  246411  2355707                                                                                                                   
 3183  0.50       8    8   108     1     3183   1233     1     0    46    -9     1     26  246411  2355708                                                                                                                   
 3323  0.50      41   41   140     1     3323   1093     1     1    48    -9     1     28  246413  2355708                                                                                                                   
