name,northing,easting,elevation,temp
1,247923,2350998,4136,
2,247922,2350998,4012,
3,247922,2350999,4000,
4,247920,2351000,3870,
5,247917,2351004,3666,
6,247917,2351005,3636,
7,247917,2351008,3545,
8,247916,2351011,3471,
9,247916,2351013,3408,
10,247915,2351014,3377,
11,247915,2351018,3252,
12,247914,2351020,3168,
13,247914,2351021,3136,
14,247914,2351022,3093,
15,247913,2351024,3000,
16,247913,2351024,2969,
17,247913,2351027,2846,
18,247913,2351028,2757,
19,247914,2351030,2662,
20,247914,2351030,2636,
21,247915,2351031,2558,
22,247916,2351032,2464,
23,247917,2351034,2370,
24,247917,2351036,2275,
25,247917,2351038,2188,
26,247917,2351040,2137,
27,247918,2351041,2090,
28,247918,2351043,2000,250
29,247919,2351044,1919,
30,247920,2351046,1866,
31,247920,2351046,1834,
32,247920,2351047,1803,
33,247920,2351047,1801,
34,247921,2351048,1711,
35,247923,2351047,1650,
36,247924,2351046,1619,
37,247924,2351045,1587,
38,247926,2351041,1524,
39,247928,2351033,1400,
40,247930,2351026,1307,
41,247938,2351007,1000,292
42,247941,2351002,907,
43,247944,2350996,815,
44,247948,2350990,690,
45,247952,2350983,565,
46,247956,2350978,446,
47,247959,2350975,380,
48,247965,2350967,214,
49,247969,2350961,105,
50,247974,2350957,0,
51,247976,2350955,-50,
52,247978,2350953,-108,
53,247980,2350952,-138,
54,247982,2350951,-169,
55,247984,2350950,-201,
56,247985,2350950,-232,
57,247987,2350950,-263,
58,247989,2350951,-294,
59,247991,2350952,-323,
60,247992,2350953,-354,
61,247994,2350955,-385,
62,247996,2350956,-415,
63,247998,2350958,-446,
64,248001,2350961,-477,
65,248007,2350968,-564,
66,248016,2350978,-658,
67,248026,2350989,-747,
68,248038,2351002,-832,
69,248053,2351016,-924,
70,248066,2351028,-1000,
71,248069,2351031,-1016,
72,248086,2351046,-1108,
73,248105,2351064,-1197,
74,248125,2351084,-1288,
75,248131,2351089,-1312,
76,248138,2351095,-1342,
77,248145,2351102,-1371,
78,248151,2351109,-1401,
79,248158,2351117,-1431,
80,248164,2351125,-1461,
81,248179,2351147,-1539,
82,248197,2351175,-1636,
83,248214,2351200,-1722,
84,248231,2351224,-1810,
85,248247,2351247,-1893,
86,248265,2351270,-1981,
87,248269,2351275,-2000,520
88,248277,2351286,-2041,
89,248348,2351378,-2399,
90,248365,2351401,-2488,
91,248383,2351425,-2577,
92,248387,2351431,-2597,
93,248397,2351443,-2643,
94,248401,2351449,-2666,
95,248414,2351465,-2725,
96,248426,2351480,-2784,
97,248446,2351504,-2873,
98,248474,2351538,-2995,
99,248475,2351539,-2999,
100,248502,2351571,-3113,
101,248524,2351598,-3212,
102,248529,2351603,-3232,
103,248556,2351632,-3351,
104,248577,2351653,-3444,
105,248599,2351673,-3532,
106,248615,2351687,-3601,
107,248643,2351710,-3712,
108,248669,2351729,-3810,
109,248673,2351732,-3827,
110,248703,2351753,-3945,
111,248716,2351761,-4000,650
112,248732,2351770,-4066,
113,248762,2351784,-4187,
114,248787,2351795,-4279,
115,248857,2351826,-4516,
116,248900,2351846,-4659,
117,248996,2351890,-5000,661
118,249044,2351913,-5204,
119,249092,2351935,-5424,
120,249125,2351948,-5584,
121,249134,2351952,-5627,
