      WELL DATA SUMMARY                                                                                   
            
Well  BLM 24-20     
                         
Sec Az  222         
Elev   4049 KB      
CoordsNorth  247564 East 2E+06        2356534 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00       0    0                        4049     0     0     0     0     0     0  247564  2356534 
   49  0.00       0    0    49     0       49   4000     0     0     0     0     0     0  247564  2356534 
  460  0.00       0    0   460     0      460   3589     0     0     0     0     0     0  247564  2356534 
  460  0.00      55  125     0     0      460   3589     0     0     0     0     0     0  247564  2356534 
  500  1.06      55  125    40     0      500   3549     0     0     0     0     0     0  247564  2356534 
  545  2.25      55  125    45     1      545   3504    -1     1    -1     1     0     0  247563  2356535 
  638  2.25      57  123    93     4      638   3411    -2     3    -3     4    -1    -1  247561  2356538 
  731  2.00      51  129    93     3      731   3318    -2     3    -5     7     0    -1  247559  2356541 
  824  2.25      52  128    93     3      824   3225    -2     3    -7    10     0    -1  247557  2356544 
  917  2.75      56  124    93     4      917   3132    -2     3   -10    13     0    -2  247554  2356547 
 1000  2.98      57  123    83     4     1000   3049    -2     3   -12    17    -1    -2  247552  2356551 
 1009  3.00      57  123     9     0     1009   3040     0     0   -12    17     0    -2  247552  2356551 
 1049  3.32      61  119    40     2     1049   3000    -1     2   -13    19     0    -3  247551  2356553 
 1102  3.75      66  114    93     5     1101   2948    -3     5   -15    22    -1    -4  247549  2356556 
 1195  3.50      62  118    93     6     1194   2855    -3     5   -17    27    -2    -5  247547  2356561 
 1288  3.75      59  121    93     6     1287   2762    -3     5   -20    32    -1    -7  247544  2356566 
 1381  4.25      56  124    93     6     1380   2669    -3     5   -24    38    -1    -8  247540  2356572 
 1473  4.00      60  120    92     7     1472   2577    -4     6   -27    43    -1    -9  247537  2356577 
 1500  4.00      59  121    27     2     1499   2550    -1     2   -28    45     0    -9  247536  2356579 
 1566  4.00      56  124    66     5     1564   2485    -2     4   -31    49    -1   -10  247533  2356583 
 1659  4.00      55  125    93     6     1657   2392    -4     5   -34    54    -1   -11  247530  2356588 
 1752  4.00      53  127    93     6     1750   2299    -4     5   -38    59    -1   -11  247526  2356593 
 1845  3.75      46  134    93     6     1843   2206    -4     5   -42    64     0   -12  247522  2356598 
 1938  4.50      42  138    93     7     1935   2114    -5     5   -47    69     0   -11  247517  2356603 
 1969  4.00      43  137    31     2     1966   2083    -2     2   -49    70     0   -11  247515  2356604 
 1987  4.00      37  143    18     1     1984   2065    -1     1   -50    71     0   -11  247514  2356605 
 2000  3.94      35  145    13     1     1997   2052    -1     1   -50    72     0   -11  247514  2356606 
 2052  3.68      25  155    52     3     2049   2000    -3     2   -53    73     1    -9  247511  2356607 
 2087  3.50      18  162    87     6     2084   1965    -5     2   -55    74     2    -8  247509  2356608 
 2207  3.25      16  164   120     7     2204   1845    -7     2   -62    76     4    -5  247502  2356610 
 2331  3.00       6  174   124     7     2328   1721    -7     1   -69    78     4    -1  247495  2356612 
 2456  3.00       3  183   125     7     2453   1596    -7     0   -75    78     5     4  247489  2356612 
