      WELL DATA SUMMARY                                                                                          
            
Well  BLM 24C-20RD  
                         
Sec Az  315 N 45 W  
Elev   4049 KB      
CoordsNorth  247569 East              2356487 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW    N-S     E-W   DSec    Sec     N-LAM   E-LAM  
________________________________________________________________________________________________________________ 
                                                                                                                 
    0  0.00      65  115     0     0        0   4049     0     0       0       0     0        0  247569  2356487 
   49  0.07      65  115    49     0       49   4000     0     0       0       0     0        0  247569  2356487 
  184  0.25      65  115   184     0      184   3865     0     0       0       0     0        0  247569  2356487 
  307  0.25      65  115   123     1      307   3742     0     0       0       1    -1       -1  247569  2356488 
  483  0.50      65  115   176     1      483   3566     0     1      -1       2    -1       -2  247568  2356489 
  500  0.55      65  115    17     0      500   3549     0     0      -1       2     0       -2  247568  2356489 
  570  0.75      65  115    70     1      570   3479     0     1      -1       3    -1       -3  247568  2356490 
  693  0.75      65  115   123     2      693   3356    -1     1      -2       4    -2       -4  247567  2356491 
  837  0.75      81  279   144     2      837   3212    -2    -1      -4       4    -1       -5  247565  2356491 
 1000  0.75      28   28   163    -2     1000   3049     2    -1      -2       3     2       -3  247567  2356490 
 1049  0.83      30   30    49     1     1049   3000     1     0      -1       3     0       -3  247568  2356490 
 1154  1.00      33   33   154     2     1154   2895     2     1       0       4     1       -3  247569  2356491 
 1280  1.25      36   36   126     2     1280   2769     2     1       2       5     0       -2  247571  2356492 
 1435  1.00       4    4   155     3     1435   2614     3     1       5       6     1       -1  247574  2356493 
 1500  1.00      10   10    65     1     1500   2549     1     0       6       6     1        0  247575  2356493 
 1530  1.00      13   13    30     1     1530   2519     1     0       7       7     0        0  247576  2356494 
 1581  1.50       9  351    51    -1     1581   2468     1     0       8       7     1        1  247577  2356494 
 1613  1.00      14  346    32     1     1613   2436     1     0       9       6     1        1  247578  2356493 
 1646  1.25      10  350    33     1     1646   2403     1     0       9       6     1        2  247578  2356493 
 1677  1.00      56  304    31     1     1677   2372     1     0      10       6     1        3  247579  2356493 
 1709  1.00      88  268    32     1     1709   2340     0    -1      10       5     0        3  247579  2356492 
 1741  1.00      64  244    32     1     1741   2308     0    -1      10       5     0        3  247579  2356492 
 1773  1.50      62  242    32     1     1773   2276     0    -1       9       4     0        4  247578  2356491 
 1804  2.00      56  236    31     1     1804   2245     0    -1       9       4     0        4  247578  2356491 
 1836  2.50      56  236    32     1     1836   2213    -1    -1       8       2     0        4  247577  2356489 
 1877  3.00      49  229    41     2     1877   2172    -1    -2       7       1     0        4  247576  2356488 
 1908  3.75      52  232    31     2     1908   2141    -1    -1       6       0     0        4  247575  2356487 
 1940  4.50      51  231    32     2     1940   2109    -1    -2       4      -2     0        5  247573  2356485 
 1971  5.00      51  231    31     3     1970   2079    -2    -2       3      -4     0        5  247572  2356483 
 2000  5.68      49  229    29     3     1999   2050    -2    -2       1      -6     0        5  247570  2356481 
 2003  5.75      49  229     3     0     2002   2047     0     0       1      -7     0        5  247570  2356480 
 2050  6.39      47  227    47     5     2049   2000    -3    -4      -2     -10     0        6  247567  2356477 
 2150  7.75      44  224   146    17     2148   1901   -12   -13     -11     -19     0        6  247558  2356468 
