Point,Northing,Easting,Elev_ft
1,247827,2351874,4140
2,247829,2351874,3738
3,247829,2351876,3631
4,247830,2351878,3553
5,247832,2351880,3432
6,247834,2351881,3340
7,247835,2351881,3312
8,247837,2351882,3186
9,247840,2351883,3007
10,247842,2351885,2875
11,247842,2351886,2840
12,247843,2351888,2749
13,247844,2351891,2627
14,247846,2351894,2501
15,247846,2351896,2440
16,247847,2351898,2376
17,247848,2351902,2252
18,247849,2351904,2190
19,247852,2351908,2065
20,247854,2351912,2000
21,247855,2351915,1940
22,247859,2351921,1816
23,247862,2351925,1725
24,247866,2351930,1619
25,247869,2351932,1556
26,247873,2351932,1496
27,247871,2351935,1452
28,247878,2351933,1435
29,247886,2351932,1355
30,247892,2351931,1293
31,247898,2351930,1243
32,247900,2351930,1230
33,247906,2351929,1168
34,247912,2351928,1121
35,247919,2351926,1058
36,247927,2351925,1000
37,247935,2351924,934
38,247939,2351923,904
39,247952,2351919,816
40,247965,2351915,738
41,247972,2351913,697
42,247991,2351907,606
43,248013,2351901,514
44,248037,2351893,424
45,248072,2351883,319
46,248093,2351879,258
47,248104,2351877,228
48,248114,2351876,199
49,248139,2351873,129
50,248160,2351871,73
51,248182,2351868,16
52,248188,2351868,0
53,248206,2351866,-44
54,248241,2351862,-130
55,248278,2351858,-216
56,248291,2351857,-246
57,248298,2351857,-262
58,248333,2351856,-350
59,248354,2351857,-404
60,248389,2351860,-495
61,248422,2351862,-582
62,248456,2351865,-669
63,248468,2351866,-702
64,248489,2351869,-757
65,248522,2351873,-842
66,248556,2351877,-931
67,248565,2351878,-954
68,248583,2351881,-1000
69,248593,2351883,-1027
70,248623,2351888,-1105
71,248643,2351891,-1158
72,248656,2351894,-1193
73,248690,2351900,-1283
74,248724,2351906,-1372
75,248739,2351908,-1411
76,248746,2351909,-1430
77,248758,2351911,-1460
78,248792,2351917,-1549
79,248826,2351923,-1639
80,248838,2351925,-1672
81,248860,2351929,-1729
82,248880,2351933,-1783
83,248917,2351940,-1881
84,248933,2351943,-1924
85,248937,2351943,-1935
86,248950,2351946,-1969
87,248961,2351948,-2000
88,248981,2351952,-2057
89,249004,2351957,-2122
90,249023,2351961,-2178
91,249114,2351984,-2450
92,249115,2351984,-2452
93,249127,2351987,-2490
94,249143,2351991,-2538
95,249150,2351993,-2561
96,249185,2352003,-2673
97,249187,2352004,-2680
98,249211,2352010,-2756
99,249214,2352011,-2766
100,249226,2352015,-2806
101,249248,2352020,-2882
102,249263,2352024,-2934
103,249280,2352028,-2996
104,249281,2352028,-3000
105,249290,2352031,-3035
106,249303,2352035,-3089
107,249323,2352043,-3181
108,249343,2352051,-3280
109,249355,2352056,-3343
110,249372,2352061,-3434
111,249377,2352062,-3465
112,249379,2352065,-3484
113,249387,2352062,-3523
114,249394,2352062,-3560
115,249399,2352062,-3589
116,249409,2352062,-3652
117,249418,2352061,-3715
118,249426,2352060,-3779
119,249437,2352056,-3874
120,249440,2352055,-3900
121,249447,2352052,-3969
122,249450,2352050,-4000
123,249457,2352046,-4064
124,249468,2352041,-4188
125,249473,2352039,-4238
126,249479,2352036,-4316
127,249486,2352032,-4418
128,249487,2352031,-4437
129,249487,2352030,-4443
