Name,Northing,Easting,Elevation,Temp
1,246427,2357490,4048,0
2,246428,2357489,3777,0
3,246430,2357487,3607,0
4,246430,2357486,3548,0
5,246431,2357485,3506,0
6,246432,2357484,3462,0
7,246433,2357482,3416,0
8,246434,2357479,3324,0
9,246437,2357475,3168,0
10,246440,2357472,3048,0
11,246441,2357471,3017,0
12,246441,2357470,3000,0
13,246445,2357465,2861,0
14,246450,2357459,2705,0
15,246456,2357453,2549,0
16,246457,2357450,2506,0
17,246458,2357449,2474,0
18,246459,2357448,2443,0
19,246460,2357447,2413,0
20,246461,2357447,2381,0
21,246461,2357446,2349,0
22,246462,2357447,2231,0
23,246462,2357448,2181,0
24,246462,2357449,2150,0
25,246463,2357449,2105,0
26,246463,2357450,2074,0
27,246463,2357451,2044,0
28,246464,2357452,2012,0
29,246464,2357458,1900,0
30,246466,2357472,1706,0
31,246467,2357480,1560,0
32,246468,2357482,1527,0
33,246468,2357484,1502,0
34,246469,2357487,1470,0
35,246470,2357490,1441,0
36,246471,2357493,1409,0
37,246472,2357498,1372,0
38,246473,2357510,1291,0
39,246474,2357525,1203,0
40,246474,2357536,1141,0
41,246475,2357552,1064,0
42,246475,2357564,1003,0
43,246475,2357565,1000,0
44,246476,2357577,941,0
45,246476,2357589,882,0
46,246477,2357601,821,0
47,246478,2357614,760,0
48,246480,2357626,700,0
49,246481,2357633,664,0
50,246481,2357637,639,0
51,246482,2357649,578,0
52,246483,2357666,487,0
53,246483,2357671,458,0
54,246484,2357679,412,0
55,246485,2357685,381,0
56,246485,2357690,350,0
57,246486,2357696,321,0
58,246488,2357705,274,0
59,246489,2357714,228,0
60,246489,2357714,228,0
61,246489,2357721,192,0
62,246491,2357738,105,0
63,246492,2357757,12,0
64,246492,2357759,0,0
65,246493,2357774,-77,0
66,246493,2357784,-127,0
67,246494,2357792,-165,0
68,246496,2357835,-387,0
69,246498,2357881,-632,0
70,246489,2357932,-936,0
71,246486,2357941,-1000,0
72,246485,2357943,-1013,0
73,246478,2357959,-1140,0
74,246454,2358002,-1492,0
75,246448,2358011,-1557,0
76,246438,2358026,-1652,0
77,246409,2358067,-1897,0
