Name,Northing,Easting,Elevation,Temp
1,246039,2352568,4180,0
2,246039,2352568,4000,0
3,246039,2352568,3962,0
4,246038,2352567,3810,0
5,246037,2352567,3718,0
6,246037,2352567,3680,0
7,246035,2352566,3576,0
8,246034,2352566,3569,0
9,246034,2352565,3539,0
10,246032,2352565,3476,0
11,246032,2352565,3445,0
12,246032,2352566,3414,0
13,246032,2352567,3383,0
14,246032,2352568,3338,0
15,246033,2352573,3197,0
16,246033,2352574,3180,0
17,246037,2352580,3046,0
18,246038,2352582,3000,142
19,246040,2352591,2867,143
20,246041,2352601,2711,143
21,246042,2352603,2681,143
22,246043,2352611,2556,143
23,246046,2352621,2408,143
24,246046,2352622,2383,143
25,246046,2352624,2352,143
26,246047,2352626,2322,143
27,246047,2352629,2291,143
28,246047,2352631,2259,143
29,246047,2352637,2199,143
30,246047,2352639,2183,143
31,246047,2352645,2138,143
32,246047,2352652,2076,143
33,246047,2352660,2015,143
34,246047,2352662,2000,212
35,246046,2352670,1939,213
36,246046,2352678,1877,213
37,246046,2352687,1818,213
38,246046,2352697,1762,213
39,246045,2352710,1688,213
40,246045,2352716,1660,213
41,246045,2352731,1581,213
42,246046,2352752,1478,213
43,246046,2352765,1417,213
44,246045,2352779,1358,213
45,246045,2352794,1298,213
46,246046,2352818,1207,213
47,246046,2352820,1200,213
48,246048,2352844,1118,213
49,246051,2352883,1000,273
50,246051,2352883,999,274
51,246053,2352902,945,274
52,246057,2352935,856,274
53,246063,2352977,741,274
54,246063,2352982,728,274
55,246067,2353009,655,274
56,246072,2353042,571,274
57,246078,2353087,454,274
58,246085,2353132,338,274
59,246089,2353155,280,274
60,246090,2353162,262,274
61,246092,2353171,240,274
62,246098,2353212,141,274
63,246102,2353238,79,274
64,246105,2353253,43,274
65,246106,2353259,28,274
66,246108,2353271,0,337
67,246110,2353283,-28,338
68,246114,2353307,-85,338
69,246118,2353329,-142,338
70,246123,2353352,-199,338
71,246128,2353375,-257,338
72,246133,2353397,-316,338
73,246139,2353418,-375,338
74,246145,2353438,-432,338
75,246151,2353458,-491,338
76,246157,2353477,-549,338
77,246164,2353497,-608,338
78,246170,2353516,-667,338
79,246170,2353516,-669,338
80,246176,2353534,-725,338
81,246181,2353548,-771,338
82,246187,2353567,-828,338
83,246198,2353597,-916,338
84,246202,2353607,-945,338
85,246209,2353627,-1000,338
86,246212,2353633,-1019,338
87,246221,2353653,-1077,338
88,246230,2353673,-1136,338
89,246231,2353675,-1139,338
90,246235,2353683,-1164,338
91,246243,2353702,-1222,338
92,246252,2353721,-1282,338
93,246260,2353740,-1340,338
94,246273,2353770,-1430,338
95,246285,2353799,-1516,338
96,246298,2353829,-1602,338
97,246299,2353831,-1609,338
98,246315,2353870,-1719,338
99,246329,2353902,-1806,338
100,246343,2353935,-1893,338
101,246361,2353977,-2000,338
102,246362,2353979,-2006,338
103,246374,2354006,-2072,338
104,246421,2354116,-2348,338
