      WELL DATA SUMMARY                                                                                      
            
Well  BLM 46A-19    
                         
Sec Az  200 S 20 W  
Elev   4180 KB      
CoordsNorth  246284 East              2352618 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      43  223     0     0        0   4180     0     0     0     0     0        0  246284  2352618 
  180  0.66      43  223   180     1      180   4000    -1    -1    -1    -1     1        1  246283  2352617 
  205  0.75      43  223   205     1      205   3975    -1    -1    -1    -1     1        1  246283  2352617 
  328  0.75      81  279   123     2      328   3852    -1    -2    -2    -2     1        2  246282  2352616 
  451  0.75      74  286   123     2      451   3729     0    -2    -1    -4     0        2  246283  2352614 
  500  0.86      64  262    49     1      500   3680     0    -1    -1    -5     0        3  246283  2352613 
  561  1.00      51  231   110     2      561   3619     0    -2    -1    -6     1        3  246283  2352612 
  663  0.50      78  258   102     1      663   3517    -1    -1    -2    -7     1        4  246282  2352611 
  786  2.00      78  258   123     3      786   3394    -1    -3    -3    -9     1        6  246281  2352609 
  879  2.25      79  259    93     3      879   3301    -1    -3    -3   -13     2        8  246281  2352605 
 1000  1.51      66  294   121     4     1000   3180     0    -4    -3   -17     1        8  246281  2352601 
 1001  1.50      66  294   122     4     1001   3179     0    -4    -3   -17     1        8  246281  2352601 
 1124  0.75      90  270   123     2     1124   3056     1    -2    -2   -19     0        9  246282  2352599 
 1180  0.75      85  275    56     1     1180   3000     0    -1    -2   -20     0        9  246282  2352598 
 1249  0.75      78  282   125     2     1249   2931     0    -2    -2   -21     0        9  246282  2352597 
 1373  1.00       3  177   124     2     1373   2807    -1    -1    -3   -22     2       11  246281  2352596 
 1500  0.51      18   20   127     2     1500   2680     0     2    -4   -21     0       10  246280  2352597 
 1502  0.50      18   18   129     2     1502   2678     0     2    -4   -21     0       10  246280  2352597 
 1623  0.50      54   54   121     1     1623   2557     1     1    -3   -20    -1        9  246281  2352598 
 1760  1.00      56  124   137     2     1760   2420     0     2    -3   -18    -1        9  246281  2352600 
 1885  0.25      80  260   125     1     1885   2295    -1     0    -4   -18     1       10  246280  2352600 
 2000  0.48      72  252   115     1     2000   2180     0    -1    -4   -19     0       11  246280  2352599 
 2010  0.50      71  251   125     1     2010   2170     0    -1    -4   -19     0       11  246280  2352599 
 2135  0.75      53  307   125     1     2135   2045     0    -1    -4   -21     0       11  246280  2352597 
 2180  0.85      48  312    45     1     2180   2000     0     0    -4   -21     0       11  246280  2352597 
 2246  1.00      40  320   111     2     2246   1934     1    -1    -3   -22    -1       10  246281  2352596 
 2370  0.75      19   19   124    -2     2370   1810     2     0    -1   -22    -2        9  246283  2352596 
 2464  0.25       4  184    94     1     2464   1716     0     1    -1   -21     0        8  246283  2352597 
 2480  0.46      22  239    16     0     2480   1700     0     0    -1   -21     0        9  246283  2352597 
 2502  0.75      46  314    38     0     2502   1678     0     0    -1   -22     0        9  246283  2352596 
 2534  1.25       8  352    32     1     2534   1646     0     0    -1   -22     0        8  246283  2352596 
 2565  2.00      18   18    31    -1     2565   1615     1     0     0   -22    -1        7  246284  2352596 
