      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  BLM 47B-20    
                         
Sec Az  135 S45E    
Elev   4102 KB      
CoordsNorth  245476 EAST              2357661 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00      54   54     0     0        0   4102     0     0     0     0     0      0  245476  2357661 
  102  0.35      54   54   102     0      102   4000     0     0     0     0     0      0  245476  2357661 
  145  0.50      54   54   145     1      145   3957     0     1     0     1     0      0  245476  2357662 
  256  1.00       1    1   111     1      256   3846     1     1     2     1     0      0  245478  2357662 
  460  0.75      10   10   204     3      460   3642     3     0     5     1    -2     -2  245481  2357662 
  608  1.00      28  332   148    -2      608   3494     2     0     7     1    -2     -4  245483  2357662 
  739  0.25      45  315   131     1      739   3363     1    -1     8     0    -1     -6  245484  2357661 
  865  0.50      72  252   126     1      865   3237     0    -1     8    -1    -1     -6  245484  2357660 
  984  0.75      86  266   245     2      984   3118     1    -2     9    -2    -2     -8  245485  2357659 
 1102  1.46      76  283   118     2     1102   3000     0    -2     9    -4    -2     -9  245485  2357657 
 1108  1.50      76  284   124     2     1108   2994     0    -2     9    -4    -2     -9  245485  2357657 
 1230  2.00      68  292   122     4     1230   2872     1    -4    10    -8    -3    -13  245486  2357653 
 1322  2.00      76  284    92     3     1322   2780     1    -3    11   -11    -3    -16  245487  2357650 
 1445  1.75      86  266   123     4     1445   2657     0    -4    12   -15    -3    -19  245488  2357646 
 1568  2.25      86  274   123     4     1568   2534     0    -4    12   -19    -3    -22  245488  2357642 
 1692  2.50      88  272   124     5     1692   2410     0    -5    12   -24    -4    -25  245488  2357637 
 1789  3.00      79  281    97     5     1788   2314     1    -5    12   -29    -4    -29  245488  2357632 
 1882  2.75      82  262    93     5     1881   2221     0    -5    13   -33    -3    -33  245489  2357628 
 1974  2.25      86  266    92     4     1973   2129     0    -4    12   -37    -3    -35  245488  2357624 
 2068  2.00      90  270    94     3     2067   2035     0    -3    12   -41    -2    -37  245488  2357620 
 2103  2.10      88  272    35     1     2102   2000     0    -1    12   -42    -1    -38  245488  2357619 
 2160  2.25      86  274    92     3     2159   1943     0    -3    12   -44    -2    -40  245488  2357617 
 2251  2.25      81  261    91     4     2250   1852     0    -4    12   -48    -2    -42  245488  2357613 
 2343  2.50      86  266    92     4     2342   1760     0    -4    12   -52    -2    -45  245488  2357609 
 2404  2.75      69  249    61     3     2403   1699    -1    -3    11   -54    -2    -46  245487  2357607 
 2496  2.75      65  245    92     4     2495   1607    -2    -4     9   -58    -2    -48  245485  2357603 
 2622  2.50      64  244   126     6     2621   1481    -2    -5     7   -64    -2    -50  245483  2357597 
 2686  3.75      74  254    64     3     2685   1417    -1    -3     5   -67    -1    -51  245481  2357594 
 2718  3.50      68  248    32     2     2716   1386    -1    -2     5   -69    -1    -52  245481  2357592 
 2749  3.00      53  233    31     2     2747   1355    -1    -2     4   -70     0    -53  245480  2357591 
 2780  2.50      36  216    31     1     2778   1324    -1    -1     3   -71     0    -53  245479  2357590 
