Name,Northing,Easting,Elevation,Temp
1,245476,2357661,4102,0
2,245476,2357662,3957,0
3,245478,2357662,3846,0
4,245481,2357662,3642,0
5,245483,2357662,3494,0
6,245484,2357661,3363,0
7,245484,2357660,3237,0
8,245485,2357659,3118,0
9,245485,2357657,3000,0
10,245486,2357653,2872,0
11,245487,2357650,2780,0
12,245488,2357646,2657,0
13,245488,2357642,2534,0
14,245488,2357637,2410,0
15,245488,2357632,2314,0
16,245489,2357628,2221,0
17,245488,2357624,2129,0
18,245488,2357620,2035,0
19,245488,2357619,2000,0
20,245488,2357617,1943,0
21,245488,2357613,1852,0
22,245488,2357609,1760,0
23,245487,2357607,1699,0
24,245485,2357603,1607,0
25,245483,2357597,1481,0
26,245481,2357594,1417,0
27,245481,2357592,1386,0
28,245480,2357591,1355,0
29,245479,2357590,1324,0
30,245471,2357589,1192,0
31,245467,2357591,1139,0
32,245464,2357593,1109,0
33,245461,2357595,1079,0
34,245458,2357597,1049,0
35,245455,2357599,1018,0
36,245453,2357601,1000,0
37,245451,2357602,987,0
38,245449,2357605,956,0
39,245446,2357608,925,0
40,245443,2357612,894,0
41,245440,2357615,862,0
42,245438,2357619,832,0
43,245432,2357627,769,0
44,245423,2357641,677,0
45,245413,2357657,583,0
46,245403,2357677,492,0
47,245391,2357700,402,0
48,245379,2357725,314,0
49,245375,2357732,289,0
50,245367,2357748,236,0
51,245358,2357768,171,0
52,245357,2357769,168,0
53,245345,2357793,94,0
54,245340,2357803,62,0
55,245331,2357821,8,0
56,245330,2357823,0,0
57,245326,2357830,-21,0
58,245311,2357859,-110,0
59,245296,2357888,-199,0
60,245282,2357915,-284,0
61,245262,2357952,-399,0
62,245247,2357979,-488,0
63,245245,2357981,-494,0
64,245231,2358006,-576,0
65,245215,2358033,-666,0
66,245191,2358070,-793,0
67,245174,2358094,-881,0
68,245163,2358111,-941,0
69,245152,2358127,-1000,0
70,245148,2358132,-1021,0
71,245138,2358147,-1076,0
72,245129,2358159,-1123,0
73,245102,2358193,-1253,0
74,245086,2358212,-1326,0
75,245066,2358235,-1414,0
76,245039,2358266,-1532,0
77,245012,2358296,-1649,0
78,244985,2358326,-1767,0
79,244973,2358340,-1823,0
80,244958,2358356,-1887,0
81,244932,2358384,-2000,0
82,244930,2358385,-2005,0
83,244923,2358392,-2034,0
84,244896,2358418,-2141,0
85,244886,2358428,-2182,0
86,244885,2358429,-2186,0
87,244808,2358501,-2488,0
88,244772,2358536,-2626,0
89,244735,2358574,-2773,0
90,244682,2358634,-3000,0
91,244674,2358644,-3037,0
92,244628,2358698,-3244,0
93,244575,2358757,-3480,0
94,244485,2358852,-3830,0
95,244438,2358903,-4000,0
96,244418,2358925,-4070,0
97,244403,2358942,-4125,0
