      WELL DATA SUMMARY                                                                                   
            
Well  BLM 68A-20    
                         
Sec Az   41 N 45 E  
Elev   4076 KB      
CoordsNorth  245212 East              2358822 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM   E-LAM  
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      60   60                        4076     0     0     0     0     0     0  245212  2358822 
   76  0.27      60   60    76     0       76   4000     0     0     0     0     0     0  245212  2358822 
  141  0.50      60   60   141     1      141   3935     0     1     0     1     1     1  245212  2358823 
  272  0.50      60   60   131     1      272   3804     1     1     1     2     1     2  245213  2358824 
  455  0.75      60   60   183     2      455   3621     1     2     2     3     2     4  245214  2358825 
  500  0.67      60   60    45     1      500   3576     0     0     2     4     1     4  245214  2358826 
  588  0.50      60   60    88     1      588   3488     0     1     3     5     1     5  245215  2358827 
  746  0.75      25   25   158     2      746   3330     1     1     4     6     2     7  245216  2358828 
  896  0.50      23   23   150     2      896   3180     1     1     5     6     2     8  245217  2358828 
 1000  0.29      56   56   104     1     1000   3076     1     0     6     7     1     9  245218  2358829 
 1018  0.25      62   62    18     0     1018   3058     0     0     6     7     0     9  245218  2358829 
 1076  0.41      56   56    58     0     1076   3000     0     0     6     7     0     9  245218  2358829 
 1110  0.50      52   52    92     1     1110   2966     0     1     6     7     1    10  245218  2358829 
 1270  0.25      40  220   160     1     1270   2806    -1     1     6     8     0     9  245218  2358830 
 1358  0.75      28  152    88     1     1358   2718    -1     0     5     8    -1     9  245217  2358830 
 1500  0.75      14  189   142     2     1500   2576    -2     0     3     8    -1     8  245215  2358830 
 1514  0.75      13  193    14     0     1514   2562     0     0     3     8     0     8  245215  2358830 
 1637  0.75       4  176   123     2     1637   2439    -2     0     1     8    -1     6  245213  2358830 
 1761  1.00      36  154   124     2     1761   2315    -2     0    -1     9    -1     5  245211  2358831 
 1857  0.50      11  191    96     1     1857   2219    -1     0    -2     9    -1     4  245210  2358831 
 1969  1.75      22  202   112     2     1969   2107    -2    -1    -4     8    -2     2  245208  2358830 
 2000  1.25      20  200    31     1     2000   2076    -1     0    -5     8    -1     2  245207  2358830 
 2030  0.75      14  194    30     1     2030   2046    -1     0    -5     8     0     1  245207  2358830 
 2061  0.25      55  235    31     0     2061   2015     0     0    -6     8     0     1  245206  2358830 
 2076  0.38      62  152    15     0     2076   2000     0     0    -6     8     0     1  245206  2358830 
 2091  0.50      68   68    30     0     2091   1985     0     0    -6     8     0     1  245206  2358830 
 2123  1.00      68   68    32     0     2123   1953     0     0    -6     8     0     1  245206  2358830 
 2216  2.00      52   52    93     2     2216   1860     1     2    -4    10     2     3  245208  2358832 
 2248  2.25      50   50    32     1     2248   1828     1     1    -4    11     1     5  245208  2358833 
 2279  2.75      47   47    31     1     2279   1797     1     1    -3    12     1     6  245209  2358834 
 2307  3.25      47   47    28     1     2307   1769     1     1    -2    13     1     7  245210  2358835 
 2338  3.75      43   43    31     2     2338   1738     1     1     0    15     2     9  245212  2358837 
 2370  4.50      40   40    32     2     2370   1706     2     2     1    16     2    12  245213  2358838 
