Name,Northing,Easting,Elevation,Temp
1,248938,2354363,4172,0
2,248938,2354362,4000,0
3,248935,2354354,3672,0
4,248929,2354338,3348,0
5,248927,2354333,3281,0
6,248927,2354331,3249,0
7,248927,2354328,3217,0
8,248927,2354324,3187,0
9,248927,2354322,3173,0
10,248928,2354320,3155,0
11,248929,2354315,3125,0
12,248933,2354298,3043,0
13,248937,2354287,3000,0
14,248941,2354275,2953,0
15,248950,2354250,2863,0
16,248956,2354232,2806,0
17,248966,2354198,2707,0
18,248967,2354193,2693,0
19,248974,2354167,2620,0
20,248990,2354112,2476,0
21,249005,2354055,2334,0
22,249016,2354010,2230,0
23,249020,2353993,2192,0
24,249037,2353929,2050,0
25,249043,2353907,2000,0
26,249055,2353865,1911,0
27,249069,2353811,1800,0
28,249072,2353801,1780,0
29,249079,2353770,1717,0
30,249092,2353715,1607,0
31,249097,2353686,1551,0
32,249106,2353648,1474,0
33,249115,2353607,1387,0
34,249121,2353583,1332,0
35,249129,2353550,1252,0
36,249134,2353527,1195,0
37,249139,2353507,1139,0
38,249143,2353486,1079,0
39,249148,2353465,1015,0
40,249149,2353461,1000,0
41,249153,2353447,956,0
42,249159,2353419,862,0
43,249165,2353398,787,0
44,249172,2353372,697,0
45,249186,2353320,519,0
46,249195,2353278,384,0
47,249196,2353274,372,0
48,249200,2353226,225,0
49,249202,2353178,77,0
50,249202,2353154,0,0
51,249201,2353132,-70,0
52,249201,2353125,-92,0
53,249198,2353086,-219,0
54,249192,2353041,-366,0
55,249181,2352990,-544,0
56,249179,2352982,-571,0
57,249168,2352939,-730,0
58,249162,2352916,-812,0
59,249149,2352871,-992,0
60,249149,2352869,-1000,0
61,249144,2352856,-1053,0
62,249144,2352855,-1060,0
63,249136,2352837,-1138,0
64,249122,2352806,-1290,0
65,249104,2352775,-1454,0
66,249094,2352760,-1541,0
67,249077,2352737,-1673,0
68,249066,2352722,-1763,0
69,249063,2352718,-1787,0
70,249061,2352716,-1803,0
71,249060,2352715,-1805,0
72,249055,2352708,-1845,0
73,249041,2352688,-1968,0
74,249039,2352686,-1982,0
75,249037,2352683,-1998,0
76,249037,2352682,-2000,608
77,249034,2352677,-2031,0
78,249027,2352666,-2098,0
79,249026,2352665,-2106,0
80,249023,2352660,-2139,0
81,249011,2352636,-2286,0
82,248996,2352606,-2524,0
83,248987,2352587,-2905,0
84,248988,2352587,-3000,622
85,248989,2352587,-3024,0
86,248991,2352587,-3079,0
87,248995,2352586,-3187,0
88,249008,2352584,-3481,0
