Point,NORTHING,EASTING,Elev_ft,Elev_m
1,247402,2354499,4150,1265
2,247402,2354499,4010,1222
3,247403,2354499,4000,1219
4,247403,2354499,3997,1218
5,247403,2354498,3960,1207
6,247404,2354497,3814,1163
7,247406,2354496,3650,1113
8,247407,2354495,3577,1090
9,247408,2354494,3503,1068
10,247408,2354494,3441,1049
11,247409,2354493,3378,1030
12,247409,2354493,3316,1011
13,247410,2354493,3254,992
14,247410,2354493,3190,972
15,247411,2354492,3158,963
16,247411,2354492,3150,960
17,247411,2354492,3127,953
18,247412,2354491,3095,943
19,247413,2354490,3064,934
20,247413,2354488,3033,924
21,247415,2354487,3002,915
22,247415,2354487,3000,914
23,247419,2354481,2913,888
24,247422,2354476,2851,869
25,247426,2354472,2788,850
26,247434,2354464,2665,812
27,247434,2354463,2652,808
28,247441,2354456,2540,774
29,247447,2354449,2419,737
30,247452,2354444,2325,709
31,247453,2354443,2294,699
32,247456,2354439,2231,680
33,247459,2354436,2167,661
34,247460,2354435,2153,656
35,247461,2354435,2135,651
36,247464,2354431,2068,630
37,247468,2354425,1978,603
38,247467,2354427,2000,610
39,247471,2354417,1884,574
40,247475,2354406,1759,536
41,247478,2354397,1655,504
42,247480,2354393,1615,492
43,247481,2354391,1584,483
44,247485,2354387,1520,463
45,247494,2354383,1410,430
46,247501,2354383,1334,407
47,247507,2354384,1273,388
48,247512,2354387,1211,369
49,247516,2354390,1157,353
50,247517,2354391,1148,350
51,247523,2354398,1070,326
52,247529,2354405,1000,305
53,247529,2354406,997,304
54,247533,2354410,962,293
55,247535,2354413,935,285
56,247540,2354421,879,268
57,247546,2354438,773,236
58,247550,2354449,713,217
59,247553,2354459,664,202
60,247553,2354462,652,199
61,247556,2354472,600,183
62,247562,2354492,508,155
63,247568,2354513,417,127
64,247574,2354533,326,99
65,247580,2354554,235,72
66,247584,2354568,177,54
67,247589,2354582,113,34
68,247595,2354605,22,7
69,247597,2354610,0,0
70,247603,2354628,-71,-22
71,247608,2354645,-138,-42
72,247610,2354650,-161,-49
73,247611,2354653,-172,-52
74,247617,2354672,-252,-77
75,247622,2354686,-308,-94
76,247624,2354696,-349,-106
77,247631,2354717,-439,-134
78,247637,2354740,-530,-162
79,247643,2354762,-621,-189
80,247650,2354784,-711,-217
81,247657,2354805,-792,-241
82,247658,2354807,-803,-245
83,247667,2354830,-896,-273
84,247677,2354852,-986,-301
85,247678,2354855,-1000,-305
86,247687,2354874,-1075,-328
87,247699,2354903,-1195,-364
88,247707,2354922,-1276,-389
89,247714,2354939,-1347,-411
90,247728,2354974,-1498,-457
91,247743,2355004,-1645,-501
92,247754,2355025,-1762,-537
93,247758,2355033,-1802,-549
94,247772,2355054,-1923,-586
95,247775,2355060,-1954,-596
96,247781,2355068,-2000,-610
97,247804,2355103,-2198,-670
98,247810,2355112,-2252,-686
99,247815,2355119,-2292,-699
100,247829,2355145,-2447,-746
101,247832,2355152,-2493,-760
102,247847,2355188,-2744,-836
103,247852,2355216,-2974,-906
104,247853,2355219,-3000,-914
105,247865,2355246,-3180,-969
