Point,NORTHING,EASTING,Elev_ft,Elev_m
1,249077,2355443,4205,1282
2,249078,2355443,4032,1229
3,249078,2355443,4000,1219
4,249078,2355441,3915,1193
5,249077,2355441,3879,1182
6,249073,2355441,3768,1148
7,249068,2355442,3650,1113
8,249061,2355441,3488,1063
9,249052,2355442,3326,1014
10,249043,2355445,3191,973
11,249037,2355447,3077,938
12,249032,2355448,3000,914
13,249028,2355448,2945,898
14,249023,2355448,2879,878
15,249019,2355448,2824,861
16,249008,2355448,2699,823
17,249003,2355447,2650,808
18,249000,2355446,2620,799
19,248998,2355445,2589,789
20,248995,2355444,2558,780
21,248992,2355443,2525,770
22,248989,2355442,2494,760
23,248986,2355441,2463,751
24,248984,2355440,2433,742
25,248982,2355439,2403,732
26,248979,2355438,2372,723
27,248977,2355438,2341,714
28,248974,2355437,2309,704
29,248970,2355435,2239,682
30,248963,2355432,2110,643
31,248958,2355429,2000,610
32,248957,2355429,1993,607
33,248951,2355425,1879,573
34,248950,2355424,1863,568
35,248943,2355419,1738,530
36,248945,2355420,1770,539
37,248936,2355414,1616,493
38,248929,2355409,1494,455
39,248922,2355404,1370,418
40,248915,2355399,1258,383
41,248912,2355396,1221,372
42,248908,2355392,1168,356
43,248899,2355385,1078,329
44,248890,2355377,1000,305
45,248888,2355376,986,301
46,248879,2355369,924,282
47,248875,2355366,895,273
48,248873,2355364,879,268
49,248871,2355362,865,264
50,248866,2355358,834,254
51,248855,2355346,743,226
52,248832,2355317,542,165
53,248818,2355298,422,129
54,248804,2355278,301,92
55,248789,2355259,178,54
56,248771,2355237,42,13
57,248765,2355230,0,0
58,248755,2355217,-76,-23
59,248749,2355210,-121,-37
60,248739,2355197,-197,-60
61,248722,2355174,-319,-97
62,248718,2355169,-349,-106
63,248709,2355157,-412,-126
64,248702,2355147,-466,-142
65,248692,2355134,-540,-165
66,248687,2355125,-584,-178
67,248675,2355108,-678,-207
68,248657,2355081,-829,-253
69,248637,2355054,-982,-299
70,248635,2355051,-1000,-305
71,248618,2355029,-1121,-342
72,248607,2355014,-1195,-364
73,248586,2354986,-1332,-406
74,248555,2354946,-1518,-463
75,248529,2354909,-1676,-511
76,248511,2354883,-1782,-543
77,248484,2354846,-1942,-592
78,248476,2354836,-1989,-606
79,248474,2354834,-2000,-610
80,248455,2354812,-2105,-642
81,248452,2354809,-2121,-646
82,248411,2354762,-2351,-717
83,248373,2354711,-2592,-790
84,248341,2354668,-2805,-855
85,248311,2354627,-3000,-914
86,248290,2354595,-3141,-957
87,248273,2354568,-3256,-992
