Point,Northing,Easting,Elev_ft,Elev_m
1,249077,2355443,4205,1282
2,249078,2355443,4032,1229
3,249078,2355443,4000,1219
4,249079,2355441,3915,1193
5,249078,2355441,3879,1182
6,249074,2355442,3768,1148
7,249069,2355443,3650,1113
8,249062,2355442,3488,1063
9,249053,2355443,3326,1014
10,249045,2355445,3191,973
11,249038,2355448,3077,938
12,249033,2355448,3000,914
13,249029,2355449,2945,898
14,249024,2355449,2879,878
15,249020,2355449,2824,861
16,249009,2355448,2699,823
17,249004,2355447,2650,808
18,249001,2355447,2620,799
19,248999,2355446,2589,789
20,248996,2355445,2558,780
21,248993,2355444,2525,770
22,248990,2355443,2494,760
23,248988,2355442,2463,751
24,248985,2355441,2433,742
25,248983,2355440,2403,732
26,248980,2355439,2372,723
27,248978,2355438,2341,714
28,248975,2355437,2309,704
29,248971,2355436,2239,682
30,248964,2355433,2110,643
31,248959,2355430,2000,610
32,248958,2355430,1993,607
33,248952,2355425,1879,573
34,248951,2355425,1863,568
35,248950,2355423,1825,556
36,248949,2355423,1794,547
37,248948,2355423,1764,538
38,248948,2355424,1733,528
39,248947,2355425,1670,509
40,248948,2355426,1640,500
41,248948,2355428,1608,490
42,248948,2355429,1579,481
43,248950,2355433,1516,462
44,248953,2355439,1454,443
45,248956,2355446,1394,425
46,248960,2355455,1332,406
47,248962,2355461,1300,396
48,248964,2355466,1270,387
49,248970,2355478,1205,367
50,248970,2355479,1202,366
51,248978,2355499,1111,339
52,248988,2355522,1021,311
53,248990,2355528,1000,305
54,248995,2355538,966,294
55,249007,2355563,877,267
56,249015,2355578,824,251
57,249023,2355596,761,232
58,249026,2355605,730,223
59,249035,2355631,641,195
60,249040,2355648,583,178
61,249048,2355675,493,150
62,249058,2355708,376,115
63,249061,2355717,346,105
64,249069,2355742,255,78
65,249077,2355767,165,50
66,249084,2355789,85,26
67,249089,2355806,25,8
68,249091,2355814,0,0
69,249099,2355842,-93,-28
70,249110,2355880,-210,-64
71,249125,2355931,-355,-108
72,249129,2355944,-394,-120
73,249131,2355953,-417,-127
74,249142,2355994,-535,-163
75,249156,2356047,-683,-208
76,249168,2356087,-800,-244
77,249181,2356124,-912,-278
78,249191,2356153,-1000,-305
79,249194,2356162,-1028,-313
80,249208,2356201,-1147,-350
81,249213,2356213,-1185,-361
82,249222,2356237,-1260,-384
83,249318,2356501,-2115,-645
84,249323,2356515,-2164,-660
85,249354,2356602,-2556,-779
86,249358,2356612,-2609,-795
