Point,NORTHING,EASTING,Elev_ft,Elev_m
1,249112,2355544,4205,1282
2,249111,2355544,4047,1234
3,249111,2355544,4000,1219
4,249108,2355543,3889,1185
5,249106,2355538,3741,1140
6,249106,2355535,3646,1111
7,249107,2355532,3553,1083
8,249107,2355529,3459,1054
9,249107,2355527,3363,1025
10,249105,2355524,3269,996
11,249104,2355522,3179,969
12,249102,2355518,3089,942
13,249102,2355516,3029,923
14,249102,2355515,3000,914
15,249101,2355512,2935,895
16,249100,2355510,2843,867
17,249097,2355507,2750,838
18,249095,2355503,2657,810
20,249092,2355496,2472,753
21,249091,2355492,2381,726
22,249090,2355488,2318,707
23,249090,2355484,2258,688
24,249088,2355478,2166,660
25,249088,2355475,2121,646
26,249087,2355474,2104,641
27,249086,2355471,2064,629
28,249085,2355468,2015,614
29,249085,2355466,2000,610
30,249085,2355465,1984,605
31,249085,2355462,1923,586
32,249085,2355460,1891,576
33,249085,2355459,1860,567
34,249086,2355457,1828,557
35,249086,2355456,1798,548
36,249086,2355455,1766,538
37,249087,2355454,1730,527
38,249088,2355453,1696,517
39,249089,2355452,1666,508
40,249091,2355450,1604,489
42,249095,2355445,1449,442
43,249096,2355442,1386,422
44,249099,2355439,1298,396
45,249101,2355434,1200,366
46,249103,2355431,1108,338
47,249105,2355426,1012,308
48,249106,2355426,1000,305
49,249107,2355423,951,290
50,249109,2355417,819,250
51,249111,2355413,731,223
52,249112,2355409,638,194
53,249114,2355404,544,166
54,249115,2355399,453,138
55,249116,2355396,419,128
56,249117,2355394,387,118
57,249118,2355393,357,109
58,249119,2355391,325,99
59,249121,2355389,293,89
60,249122,2355388,262,80
61,249123,2355388,230,70
62,249124,2355387,199,61
63,249126,2355388,143,44
64,249128,2355388,81,25
65,249130,2355388,18,5
66,249130,2355388,0,0
67,249132,2355388,-45,-14
68,249135,2355388,-106,-32
69,249137,2355388,-168,-51
70,249140,2355386,-266,-81
71,249143,2355385,-359,-109
72,249146,2355383,-452,-138
73,249150,2355380,-548,-167
74,249153,2355376,-643,-196
75,249157,2355371,-734,-224
76,249160,2355365,-832,-254
77,249163,2355360,-914,-279
78,249167,2355356,-1000,-305
79,249167,2355355,-1012,-308
80,249170,2355351,-1103,-336
81,249174,2355347,-1200,-366
82,249176,2355344,-1259,-384
83,249177,2355343,-1291,-393
84,249180,2355339,-1385,-422
85,249183,2355334,-1477,-450
86,249184,2355332,-1522,-464
87,249185,2355330,-1571,-479
88,249187,2355325,-1665,-507
89,249189,2355320,-1758,-536
90,249190,2355315,-1852,-564
91,249190,2355310,-1943,-592
92,249191,2355306,-2000,-610
93,249191,2355304,-2037,-621
94,249191,2355299,-2130,-649
95,249192,2355293,-2225,-678
96,249192,2355288,-2292,-699
97,249192,2355286,-2318,-707
98,249193,2355279,-2413,-735
99,249193,2355271,-2508,-764
100,249193,2355263,-2601,-793
101,249193,2355259,-2650,-808
102,249192,2355254,-2740,-835
103,249191,2355246,-2937,-895
104,249190,2355243,-2992,-912
105,249190,2355242,-3000,-914
106,249188,2355232,-3125,-952
107,249184,2355227,-3224,-983
108,249181,2355224,-3318,-1011
109,249175,2355218,-3474,-1059
110,249158,2355202,-3779,-1152
111,249146,2355183,-4000,-1219
112,249141,2355163,-4182,-1275
113,249147,2355140,-4380,-1335
114,249153,2355120,-4556,-1389
115,249151,2355094,-4743,-1446
116,249149,2355050,-5000,-1524
117,249148,2355024,-5131,-1564
118,249146,2355002,-5234,-1595
119,249139,2354865,-5878,-1792
120,249139,2354855,-5925,-1806
