      WELL DATA SUMMARY                                                                                                                                                                                                        
            
Well  BLM 84-30     
                         
Sec Az   90         
Elev   4382 KB      
CoordsNorth  242206 East              2355318 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                                                                                                                                               
    0  0.00      17   17     0     0        0   4382     0     0     0     0     0        0  242206  2355318                                                                                                                   
   89  0.25      17   17    89     0       89   4293     0     0     0     0     0        0  242206  2355318                                                                                                                   
  163  1.75      82   82    74     1      163   4219     1     1     1     1     1        1  242207  2355319                                                                                                                   
  225  1.50      90   90    62     2      225   4157     0     2     1     3     2        3  242207  2355321                                                                                                                   
  660  1.50      40   40   435    11      660   3722     5    10     6    13    10       13  242212  2355331                                                                                                                   
  815  2.25      89   89   155     5      815   3567     2     5     8    18     5       18  242214  2355336                                                                                                                   
  976  2.25      70  110   161     6      976   3406    -1     6     7    24     6       24  242213  2355342                                                                                                                   
 1099  2.25      60  120   123     5     1099   3283    -2     4     5    28     4       28  242211  2355346                                                                                                                   
 1223  2.00      44  136   124     5     1222   3160    -3     4     2    32     4       32  242208  2355350                                                                                                                   
 1346  1.75      57  123   123     4     1345   3037    -3     3     0    35     3       35  242206  2355353                                                                                                                   
 1407  1.75      56  124    61     2     1406   2976    -1     2    -1    37     2       37  242205  2355355                                                                                                       
 1470  1.75      54  126   124     4     1469   2913    -2     3    -2    38     3       38  242204  2355356                                                                                                                   
 1625  1.50      49  131   155     4     1624   2758    -3     3    -5    42     3       42  242201  2355360                                                                                                                   
 1779  1.50      57  123   154     4     1778   2604    -2     3    -8    45     3       45  242198  2355363                                                                                                                   
 1934  2.00      52  128   155     5     1933   2449    -3     4   -10    49     4       49  242196  2355367                                                                                                                   
 2087  1.50      33  177   153     5     2086   2296    -4     2   -15    51     2       51  242191  2355369                                                                                                                   
 2242  2.00      14  166   155     5     2241   2141    -5     1   -19    52     1       52  242187  2355370                                                                                                                   
 2330  2.75      13  167    88     4     2329   2053    -4     1   -23    52     1       52  242183  2355370                                                                                                                   
 2407  2.98      11  169    77     4     2406   1976    -4     1   -27    53     1       53  242179  2355371                                                                                                       
 2495  3.25       8  172   165     9     2494   1888    -8     2   -31    54     2       54  242175  2355372                                                                                                                   
 2528  3.25      13  167    33     2     2527   1855    -2     0   -33    54     0       54  242173  2355372                                                                                                                   
 2559  3.00      22  158    31     2     2558   1824    -2     1   -35    55     1       55  242171  2355373                                                                                                                   
 2590  3.00      36  144    31     2     2589   1793    -1     1   -36    56     1       56  242170  2355374                                                                                                                   
 2621  3.25      50  130    31     2     2619   1763    -1     1   -37    57     1       57  242169  2355375                                                                                                                   
 2652  3.25      60  120    31     2     2650   1732    -1     1   -38    58     1       58  242168  2355376                                                                                                                   
 2683  3.75      76  104    31     2     2681   1701    -1     2   -39    60     2       60  242167  2355378                                                                                                                   
 2713  3.75      86   94    30     2     2711   1671     0     2   -39    62     2       62  242167  2355380                                                                                                                   
 2744  4.50      89   91    31     2     2742   1640     0     2   -39    64     2       64  242167  2355382                                                                                                                   
