Point,NORTHING,EASTING,Elev_ft,Elev_m
1,256652,2355430,4389,1338
2,256652,2355430,4245,1294
3,256651,2355430,4098,1249
4,256650,2355429,4000,1219
5,256650,2355429,3946,1203
6,256649,2355429,3889,1185
7,256648,2355429,3859,1176
8,256648,2355429,3824,1166
9,256647,2355428,3775,1151
10,256646,2355428,3745,1141
11,256645,2355428,3715,1132
12,256644,2355429,3683,1123
13,256642,2355429,3652,1113
14,256641,2355430,3622,1104
15,256640,2355432,3589,1094
16,256639,2355433,3557,1084
17,256637,2355435,3525,1074
18,256635,2355436,3494,1065
19,256632,2355439,3455,1053
20,256630,2355441,3434,1047
21,256627,2355443,3402,1037
22,256626,2355444,3390,1033
23,256625,2355446,3370,1027
24,256622,2355450,3341,1018
25,256619,2355453,3310,1009
26,256616,2355457,3278,999
27,256608,2355468,3198,975
28,256605,2355472,3168,966
29,256590,2355490,3044,928
30,256585,2355497,3000,914
31,256576,2355507,2922,891
32,256573,2355511,2897,883
33,256563,2355524,2800,853
34,256548,2355544,2648,807
35,256533,2355564,2494,760
36,256522,2355574,2404,733
37,256516,2355579,2360,719
38,256514,2355581,2340,713
39,256492,2355595,2188,667
40,256469,2355606,2035,620
41,256463,2355609,2000,610
42,256448,2355615,1912,583
43,256448,2355615,1911,582
44,256445,2355616,1891,576
45,256443,2355617,1882,574
46,256417,2355626,1733,528
47,256416,2355627,1726,526
48,256414,2355627,1715,523
49,256406,2355630,1670,509
50,256387,2355635,1562,476
51,256384,2355636,1549,472
52,256378,2355637,1518,463
53,256359,2355641,1420,433
54,256347,2355643,1366,416
55,256334,2355645,1307,398
56,256318,2355648,1231,375
57,256287,2355652,1093,333
58,256284,2355652,1082,330
59,256263,2355650,1000,305
60,256248,2355648,942,287
61,256246,2355647,934,285
62,256199,2355636,763,233
63,256177,2355629,687,209
