      WELL DATA SUMMARY                                                                                        
            
Well  NAVY I 24B-8  
                         
Sec Az  235 S 55 W  
Elev   4294 KB      
CoordsNorth  257963 East       2356263  2356263 
                         Course                 
  MD  Drift Drift D. AzimLength   DH      TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_______________________________________________________________________________________________________________
                                                                                                               
    0  0.00      89  280     0       0        0   4294     0     0     0     0     0        0  257963  2356263 
  130  0.25      80  280   130       0      130   4164     0     0     0     0     0        0  257963  2356263 
  205  0.50      49   49    75       0      205   4089     0     0     1     0     0        0  257964  2356263 
  294  1.21      58   58    89       1      294   4000     1     1     1     1    -1       -1  257964  2356264 
  330  1.50      62   62   125       2      330   3964     1     2     2     1    -2       -2  257965  2356264 
  387  1.00      10  350    57      -1      387   3907     1     1     3     2    -1       -3  257966  2356265 
  453  0.75      28   28    66      -1      453   3841     1     0     4     2    -1       -4  257967  2356265 
  500  1.38      26   26    47       1      500   3794     1     0     5     2    -1       -5  257968  2356265 
  546  2.00      25   25    46       1      546   3748     1     1     6     3    -1       -6  257969  2356266 
  583  1.00       2    2    37       1      583   3711     1     0     7     3    -1       -7  257970  2356266 
  613  0.25      41  319    30       0      613   3681     0     0     7     3     0       -7  257970  2356266 
  644  0.50      70  250    31       0      644   3650     0     0     7     3     0       -7  257970  2356266 
  675  1.50      77  257    31       1      675   3619     0    -1     7     2     1       -6  257970  2356265 
  707  2.50      64  244    32       1      707   3587     0    -1     7     1     1       -5  257970  2356264 
  737  3.25      53  233    30       2      737   3557    -1    -1     6     0     2       -3  257969  2356263 
  768  3.75      44  224    31       2      768   3526    -1    -1     5    -1     2       -2  257968  2356262 
  831  6.00      54  234    63       5      831   3463    -4    -4     1    -5     5        4  257964  2356258 
  923  8.75      54  234    91      12      922   3372    -7   -10    -6   -15    12       16  257957  2356248 
  984  9.25      65  245    60      10      982   3312    -5    -8   -11   -23    10       25  257952  2356240 
 1000  9.63      65  245    16       3      998   3296    -1    -2   -12   -25     3       28  257951  2356238 
 1016 10.00      64  244    16       3     1014   3280    -1    -2   -13   -28     3       30  257950  2356235 
 1048 11.25      64  244    31       6     1045   3249    -3    -5   -16   -33     6       36  257947  2356230 
 1110 13.00      63  243    61      13     1106   3188    -6   -12   -21   -45    13       49  257942  2356218 
 1172 13.75      54  234    60      14     1166   3128    -7   -12   -29   -57    14       63  257934  2356206 
 1203 14.75      52  232    30       8     1196   3098    -5    -6   -33   -63     8       71  257930  2356200 
 1235 15.25      49  229    31       8     1227   3067    -5    -6   -39   -70     8       79  257924  2356193 
 1266 16.25      50  230    30       8     1257   3037    -5    -6   -44   -76     8       88  257919  2356187 
 1305 17.33      53  233    37      11     1294   3000    -7    -9   -51   -85    11       99  257912  2356178 
 1329 18.00      55  235    60      19     1317   2977   -11   -15   -56   -91    19      106  257907  2356172 
 1360 18.50      53  233    29      10     1346   2948    -6    -8   -61   -99    10      116  257902  2356164 
 1457 20.00      48  228    92      32     1438   2856   -20   -25   -82  -123    32      148  257881  2356140 
 1500 21.21      44  224    40      15     1478   2816   -11   -11   -92  -134    15      163  257871  2356129 
