Point,NORTHING,EASTING,Elev_ft,Elev_m
1,259589,2356040,4078,1243
2,259589,2356040,4000,1219
3,259591,2356041,3829,1167
4,259592,2356042,3727,1136
5,259595,2356044,3578,1091
6,259595,2356044,3572,1089
7,259604,2356051,3183,970
8,259608,2356054,3078,938
9,259611,2356056,3000,914
10,259613,2356057,2954,900
11,259627,2356068,2714,827
12,259639,2356076,2580,786
13,259648,2356083,2496,761
14,259668,2356097,2353,717
15,259682,2356095,2284,696
16,259690,2356083,2226,678
17,259694,2356074,2189,667
18,259702,2356054,2110,643
19,259704,2356049,2091,637
20,259705,2356046,2081,634
21,259710,2356025,2000,610
22,259711,2356021,1987,606
23,259712,2356012,1954,596
24,259712,2356012,1954,596
25,259714,2355998,1902,580
26,259716,2355984,1852,564
27,259716,2355971,1802,549
28,259717,2355954,1738,530
29,259718,2355945,1705,520
30,259719,2355938,1677,511
31,259722,2355931,1645,501
32,259726,2355923,1608,490
33,259728,2355918,1584,483
34,259731,2355913,1559,475
35,259731,2355912,1554,474
36,259736,2355901,1501,458
37,259739,2355891,1456,444
38,259742,2355883,1419,433
39,259744,2355876,1383,422
40,259746,2355866,1334,407
41,259746,2355861,1311,400
42,259746,2355851,1262,385
43,259747,2355843,1221,372
44,259749,2355834,1174,358
45,259750,2355825,1121,342
46,259750,2355824,1119,341
47,259751,2355816,1071,326
48,259752,2355808,1026,313
49,259753,2355803,1000,305
50,259753,2355799,979,298
51,259754,2355790,934,285
52,259754,2355785,906,276
53,259755,2355778,873,266
54,259755,2355770,834,254
55,259756,2355763,794,242
56,259759,2355753,741,226
57,259760,2355750,726,221
58,259761,2355745,696,212
59,259762,2355741,677,206
60,259764,2355733,635,194
61,259765,2355732,628,191
62,259768,2355719,565,172
63,259771,2355691,430,131
64,259772,2355683,391,119
65,259775,2355673,338,103
66,259777,2355670,322,98
67,259780,2355658,261,80
68,259778,2355650,218,66
69,259773,2355642,171,52
70,259769,2355636,138,42
71,259766,2355631,106,32
72,259764,2355628,89,27
73,259760,2355619,40,12
74,259756,2355613,0,0
75,259721,2355553,-353,-108
76,259674,2355471,-844,-257
77,259659,2355444,-1000,-305
78,259626,2355388,-1335,-407
79,259607,2355355,-1531,-467
80,259578,2355305,-1826,-557
81,259561,2355276,-2000,-610
82,259561,2355275,-2006,-611
