Name,Northing,Easting,Elevation,Temp
1,257861,2362018,3925,0
2,257861,2362018,3751,0
3,257861,2362018,3720,0
4,257861,2362017,3614,0
5,257862,2362016,3492,0
6,257862,2362016,3470,0
7,257862,2362015,3425,0
8,257863,2362014,3355,0
9,257864,2362011,3220,0
10,257864,2362011,3200,0
11,257866,2362009,3043,0
12,257866,2362008,2970,0
13,257867,2362008,2925,0
14,257867,2362008,2886,0
15,257868,2362007,2730,0
16,257868,2362007,2720,0
17,257868,2362006,2636,0
18,257868,2362005,2572,0
19,257867,2362004,2470,0
20,257867,2362004,2448,0
21,257866,2362004,2425,0
22,257866,2362004,2416,0
23,257866,2362005,2385,0
24,257865,2362007,2354,0
25,257863,2362016,2222,0
26,257863,2362019,2197,0
27,257862,2362027,2106,0
28,257862,2362034,2042,0
29,257863,2362041,1970,0
30,257863,2362044,1944,0
31,257863,2362045,1935,0
32,257865,2362054,1855,125
33,257867,2362066,1760,119
34,257870,2362078,1668,138
35,257875,2362089,1575,150
36,257884,2362098,1482,119
37,257890,2362102,1431,0
38,257896,2362105,1388,150
39,257916,2362111,1262,0
40,257930,2362114,1173,178
41,257945,2362116,1081,175
42,257965,2362114,962,0
43,257973,2362112,911,0
44,257975,2362112,899,0
45,257992,2362106,806,160
46,258008,2362097,718,170
47,258026,2362086,623,188
48,258042,2362074,533,186
49,258054,2362060,436,190
50,258081,2362020,197,0
51,258099,2361995,47,168
52,258108,2361983,-30,0
53,258131,2361951,-229,182
54,258156,2361918,-440,0
55,258168,2361904,-534,178
56,258190,2361872,-751,175
57,258208,2361839,-961,144
58,258214,2361829,-1030,0
59,258223,2361812,-1138,179
60,258238,2361784,-1324,224
61,258247,2361770,-1420,0
62,258258,2361750,-1550,205
63,258284,2361705,-1836,210
64,258297,2361680,-2002,248
65,258299,2361676,-2030,0
66,258322,2361623,-2394,0
67,258340,2361585,-2624,0
68,258356,2361555,-2795,218
69,258360,2361546,-2840,0
70,258364,2361539,-2883,332
71,258374,2361523,-2975,372
72,258380,2361513,-3030,0
73,258400,2361483,-3189,364
74,258449,2361421,-3533,238
75,258457,2361413,-3582,0
