      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 41C-8  
                         
Sec Az   90 East    
Elev   3989 KB      
CoordsNorth  259485 East              2357761 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                             259485  2357761 
    0  0.00      59   59     0     0        0   3989     0     0     0     0     0        0  259485  2357761 
  125  0.75      59   59   125     1      125   3864     0     1     0     1     1        1  259485  2357762 
  269  0.75      79  281   144    -2      269   3720     2     0     2     0     0        0  259487  2357761 
  464  0.50      20  200   195     2      464   3525    -1    -2     1    -1    -2       -1  259486  2357760 
  500  0.50      15  248    36     0      500   3489     0     0     1    -2     0       -2  259486  2357759 
  580  0.50       5  355   116     1      580   3409     0    -1     1    -2    -1       -2  259486  2357759 
  672  1.50      51  309    92     2      672   3317     1    -1     3    -3    -1       -3  259488  2357758 
  798  1.50      41  319   126     3      798   3191     2    -2     5    -6    -2       -6  259490  2357755 
  891  1.75      55  305    93     3      891   3098     2    -2     7    -8    -2       -8  259492  2357753 
  955  1.75      65  295    64     2      955   3034     1    -2     8    -9    -2       -9  259493  2357752 
  989  1.47      61  299    34     1      989   3000     0    -1     8   -10    -1      -10  259493  2357751 
 1000  1.38      60  300    45     1     1000   2989     1    -1     8   -10    -1      -10  259493  2357751 
 1047  1.00      55  305    92     2     1047   2942     1    -2     9   -11    -2      -11  259494  2357750 
 1145  0.75      46  314    98     1     1145   2844     1    -1    10   -12    -1      -12  259495  2357749 
 1200  0.75      15  345    55     1     1200   2789     1     0    10   -13     0      -13  259495  2357748 
 1211  0.70      15  325    11     0     1211   2778     0     0    11   -13     0      -13  259496  2357748 
 1223  0.64      15  304    12     0     1223   2766     0     0    11   -13     0      -13  259496  2357748 
 1238  0.56      15  277    15     0     1238   2751     0     0    11   -13     0      -13  259496  2357748 
 1300  0.25      14  166    62     0     1300   2689     0     0    10   -13     0      -13  259495  2357748 
 1384  0.75      35  145    84     1     1384   2605    -1     0    10   -13     0      -13  259495  2357748 
 1486  1.00      31  149   102     2     1486   2503    -1     1     8   -12     1      -12  259493  2357749 
 1500  1.11      27  153    14     0     1500   2489     0     0     8   -12     0      -12  259493  2357749 
 1558  1.59      12  168    72     2     1558   2431    -2     1     7   -12     1      -12  259492  2357749 
 1578  1.75       7  173    20     1     1578   2411    -1     0     6   -11     0      -11  259491  2357750 
 1958  2.25      49  229   380    13     1958   2031   -12    -5    -6   -16    -5      -16  259479  2357745 
 1978  2.25      58  238    20     1     1978   2011     0    -1    -6   -17    -1      -17  259479  2357744 
 1989  2.22      59  225    11     0     1989   2000     0     0    -7   -17     0      -17  259478  2357744 
 2000  2.20      60  212    22     1     1999   1990    -1    -1    -7   -17    -1      -17  259478  2357744 
 2086  2.00      68  112   108     4     2085   1904    -4     0   -10   -16     0      -16  259475  2357745 
 2117  3.25      78  102    31     1     2116   1873     0     1   -11   -15     1      -15  259474  2357746 
 2210  5.00      86   86    93     7     2209   1780     0     7   -11    -8     7       -8  259474  2357753 
 2271  5.75      83   83    61     6     2270   1719     1     6   -11    -3     6       -3  259474  2357758 
 2328  6.00      81   81    57     6     2327   1662     1     6   -10     3     6        3  259475  2357764 
 2399  6.00      76   76    71     7     2397   1592     1     7    -8    10     7       10  259477  2357771 
 2430  6.50      79   79    31     3     2428   1561     1     3    -8    14     3       14  259477  2357775 
 2460  6.75      81   81    30     3     2458   1531     1     3    -7    17     3       17  259478  2357778 
 2500  7.05      86   86    40     5     2498   1491     1     5    -7    22     5       22  259478  2357783 
 2526  7.25      89   89    66     8     2523   1466     1     8    -6    25     8       25  259479  2357786 
