Well 43-7
Elev  4187 KB Coords:  North  258211  EAST  2352266

MD	TVD	E-W	N-S	N-LAM	E-LAM	
0	0	0	0	258211	2352266	
187	187	0	0	258211	2352266
235	235	0	0	258211	2352266	
421	421	0	0	258211	2352266	
619	619	1	1	258212	2352267	
800	800	1	1	258212	2352267	
940	940	2	1	258212	2352268	
1035	1035	3	2	258213	2352269	
1187	1187	4	4	258215	2352270
1193	1193	4	4	258215	2352270	
1351	1351	5	5	258216	2352271	
1509	1509	6	4	258215	2352272	
1700	1700	8	4	258215	2352274	
1857	1857	9	5	258216	2352275	
2001	2001	10	7	258218	2352276	100#,50F
2018	2018	11	7	258218	2352277	80#,7F
2147	2147	14	9	258220	2352280	
2187	2187	16	10	258221	2352282
2234	2234	18	11	258222	2352284	12#,7F
2250	2250	18	11	258222	2352284	15#,4F
2274	2274	19	11	258222	2352285	
2409	2409	25	14	258225	2352291	
2561	2561	29	17	258228	2352295	
2742	2741	34	19	258230	2352300	Tie-In
2765	2764	34	19	258230	2352300	115#,23F
2935	2934	39	17	258228	2352305	20#,7F
3006	3005	41	16	258227	2352307	392F
3108	3107	45	11	258222	2352311	110F
3188	3187	49	4	258215	2352315	
3201	3200	49	3	258214	2352315	124F
3280	3278	50	-6	258205	2352316	#Drillbreak
3298	3296	50	-8	258203	2352316	123F
3392	3389	47	-20	258191	2352313	156F
3487	3483	44	-32	258179	2352310	106F
3582	3577	36	-44	258167	2352302	136F
3679	3673	21	-55	258156	2352287	
3727	3719	12	-60	258151	2352278	#Drillbreak
3775	3766	2	-65	258146	2352268	108F
3871	3859	-21	-77	258134	2352245	108F
3965	3948	-46	-90	258121	2352220	110F
4062	4040	-72	-109	258102	2352194	110F
4221	4187	-119	-147	258064	2352147
4292	4252	-141	-165	258046	2352125	254F
4483	4423	-205	-220	257991	2352061	248F
4614	4540	-249	-260	257951	2352017	50#,28F
4664	4585	-265	-276	257935	2352001	300F
4675	4594	-268	-279	257932	2351998	130#,25F
4783	4690	-304	-315	257896	2351962	30#,15F
4872	4768	-334	-345	257866	2351932	30#,6F
4950	4836	-361	-372	257839	2351905	139#,7F
4992	4873	-375	-386	257825	2351891	330F
5349	5184	-506	-504	257707	2351760	
5353	5187	-508	-505	257706	2351758
5603	5406	-600	-583	257628	2351666	400F
5670	5465	-624	-604	257607	2351642	TD
