      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  NAVY I 52B-7  
                         
Sec Az  345    N15W 
Elev   4181 KB      
CoordsNorth  259149 East              2353091 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0  134     0     0        0   4181     0     0     0     0     0      0  259149  2353091                                                                                                                   
  181  0.80      37  134   181     1      181   4000    -1     1    -1     1    -1     -1  259148  2353092 
  227  1.00      46  134   227     2      227   3954    -1     1    -1     1    -2     -2  259148  2353092                                                                                                                   
  453  0.25      11  349   226    -2      453   3728     1     2     0     4     1     -1  259149  2353095                                                                                                                   
  530  1.00      59  301    77     1      530   3651     1     0     0     3     1      0  259149  2353094                                                                                                                   
  623  1.00      72  288    93     2      623   3558     1    -1     1     2     1      1  259150  2353093                                                                                                                   
  717  0.75      76  284    94     1      717   3464     0    -1     2     0     1      1  259151  2353091                                                                                                                   
  852  1.30      56  304   135     2      852   3329     1    -2     3    -2     2      3  259152  2353089                                                                                                                   
  882  0.75      59  301    30     1      882   3299     0     0     3    -2     0      3  259152  2353089                                                                                                                   
  972  2.25      32  328    90     2      972   3209     2    -2     4    -4     2      5  259153  2353087                                                                                                                   
 1035  3.75      26  334    63     3     1035   3146     3    -2     7    -6     3      9  259156  2353085                                                                                                                   
 1066  4.25      21  339    31     2     1066   3115     2    -1     9    -7     2     11  259158  2353084                                                                                                                   
 1088  5.00      21  339    22     2     1088   3093     2    -1    11    -7     2     12  259160  2353084                                                                                                                   
 1129  6.00      21  339    41     4     1128   3053     4    -1    15    -9     4     16  259164  2353082                                                                                                                   
 1160  6.75      21  339    31     3     1159   3022     3    -1    18   -10     3     20  259167  2353081                                                                                                                   
 1182  7.27      19  341    22     3     1181   3000     3    -1    20   -11     3     22  259169  2353080 
 1192  7.50      18  342    32     4     1191   2990     4    -1    22   -11     4     24  259171  2353080                                                                                                                   
 1269  8.75       9  351    76    11     1267   2914    11    -3    32   -14    11     35  259181  2353077                                                                                                                   
 1361  9.00       3  357    91    14     1358   2823    14    -1    46   -15    14     49  259195  2353076                                                        2823        1267  1269    32   -14    35  0.00 
 1396  9.56       6  354    35     6     1393   2788     6     0    52   -16     6     54  259201  2353075 
 1408  9.75       7  353    46     8     1405   2776     8    -1    54   -16     8     56  259203  2353075                                                                                                                   
 1438 10.00      11  349    30     5     1434   2747     5    -1    59   -17     5     61  259208  2353074                                                                                                                   
 1515 11.25      18  342    76    14     1510   2671    14    -4    73   -20    14     76  259222  2353071                                                                                                                   
 1540 11.26      18  342    25     5     1534   2647     5    -1    77   -22     5     80  259226  2353069 
 1608 11.30      17  343    91    18     1601   2580    17    -5    90   -26    18     94  259239  2353065                                                                                                                   
 1702 11.75      17  343    92    19     1693   2488    18    -5   108   -31    19    112  259257  2353060                                                                                                                   
 1795 12.25      16  344    91    19     1784   2397    19    -5   127   -37    19    132  259276  2353054                                                                                                                   
 1814 12.35      16  344    19     4     1803   2378     4    -1   131   -38     4    136  259280  2353053 
