      WELL DATA SUMMARY                                                                                                                                                                                                                          /ca11..aj12~a112~ 
                                                                                                                                                                                                                                                 /rva59..aj59~a59..aj59~ 
Well  NAVY I 54-7                                                                                                                                                                                                                                /ma59..ak200~a63~ 
                                                                                                                                                                                                                                                 /ca11..aj12~a60~  
Sec Az  133 S 47 E                                                                                                                                                                                                                               /ppr~gp{esc}{esc}{esc}  
Elev   4206 KB      
CoordsNorth  258026 East              2353378 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM   E-LAM  
_____________________________________________________________________________________________________________
                                                                                                                                                                                                                   
    0  0.00      88   88                    0   4206     0     0     0     0     0        0  258026  2353378                                                                                                       
  100  0.25      88   88   100     0      100   4106     0     0     0     0     0        0  258026  2353378                                                                                                       
  200  0.25      88   88   100     0      200   4006     0     0     0     1     0        0  258026  2353379                         
  206  0.25      87   91     6     0      206   4000     0     0     0     1     0        0  258026  2353379 
  300  0.25      57  123   100     0      300   3906     0     0     0     1     0        1  258026  2353379                         
  400  0.25      35  145   100     0      400   3806     0     0     0     1     0        1  258026  2353379                         
  500  0.25      41  139   100     0      500   3706     0     0    -1     2     0        2  258025  2353380                         
  600  0.50      39  141   100     1      600   3606    -1     0    -1     2     1        2  258025  2353380                         
  700  2.75      36  144   100     3      700   3506    -2     2    -3     4     3        5  258023  2353382                         
  800  4.25      46  134   100     6      800   3406    -5     4    -8     8     6       11  258018  2353386                         
  900  7.00      46  134   100    10      899   3307    -7     7   -15    15    10       21  258011  2353393                         
 1000  9.50      47  133    99    14      998   3208   -10    10   -25    25    14       35  258001  2353403                         
 1100 11.00      47  133    98    18     1097   3109   -12    13   -37    38    18       53  257989  2353416                         
 1200 12.25      49  131    98    20     1195   3011   -13    15   -50    53    20       73  257976  2353431                         
 1212 12.52      49  131    12     3     1206   3000    -2     2   -52    55     3       76  257974  2353433 
 1300 14.50      50  130    97    23     1292   2914   -15    18   -65    71    23       96  257961  2353449                         
 1400 15.75      48  132    97    26     1388   2818   -17    20   -83    91    26      123  257943  2353469                         
 1403 15.75      48  132     3           1391   2815     0     0   -83    91     0      123  257943  2353469 
 1500 15.75      48  132    96    27     1485   2721   -18    20  -101   111    27      150  257925  2353489                         
 1575 15.75      48  132    72           1557   2649     0     0  -101   111     0      150  257925  2353489 
 1600 15.75      48  132    96    27     1581   2625   -18    20  -119   131    27      177  257907  2353509                         
 1605 16.00      48  132     5     1     1586   2620    -1     1  -120   132     1      178  257906  2353510                         
 1727 15.00      46  134   118    33     1703   2503   -22    24  -142   156    33      211  257884  2353534                         
 1841 13.50      43  137   110    28     1814   2392   -20    20  -162   175    28      239  257864  2353553                         
 1975 15.25      49  131   130    33     1944   2262   -23    24  -185   199    33      272  257841  2353577                         
 2096 16.45      48  132   116    33     2060   2146   -22    25  -207   224    33      305  257819  2353602                         
 2219 17.50      48  132   118    36     2178   2028   -24    27  -231   251    36      341  257795  2353629                         
 2249 17.49      47  133    29     9     2206   2000    -6     7  -237   257     9      350  257789  2353635 
 2343 17.45      45  135   118    37     2296   1910   -26    27  -257   278    37      378  257769  2353656                         
 2465 18.75      45  135   116    38     2412   1794   -27    27  -284   305    38      416  257742  2353683                         
 2590 18.75      48  132   118    40     2530   1676   -28    29  -311   334    40      456  257715  2353712                         
 2713 18.50      46  134   117    39     2647   1559   -27    29  -338   362    39      496  257688  2353740                         
 2865 18.50      44  136   144    48     2791   1415   -34    34  -372   397    48      544  257654  2353775                         
 2885 18.50      44  136    19     6     2810   1396    -5     4  -377   401     6      550  257649  2353779                         
 2959 18.75      44  136    70    24     2880   1326   -17    16  -394   417    24      574  257632  2353795                         
 3082 18.75      49  131   116    40     2997   1209   -27    29  -421   446    40      613  257605  2353824                         
 3205 19.00      44  136   116    40     3113   1093   -27    29  -448   475    40      653  257578  2353853                         
 3304 19.20      44  136    94    32     3206   1000   -23    23  -472   497    32      685  257554  2353875 
 3326 19.25      44  136   114    40     3227    979   -29    28  -477   502    40      693  257549  2353880                         
 3449 19.25      44  136   116    41     3343    863   -29    28  -506   531    40      733  257520  2353909                         
 3571 18.75      44  136   115    40     3459    747   -29    28  -534   558    40      773  257492  2353936                         
 3697 19.25      44  136   119    41     3578    628   -30    28  -564   587    41      814  257462  2353965                         
 3819 17.50      40  140   116    38     3694    512   -29    26  -593   612    38      852  257433  2353990                         
 3940 17.50      36  144   115    36     3809    397   -29    22  -621   635    36      888  257405  2354013                         
 4061 17.75      39  141   115    37     3924    282   -29    22  -650   657    36      924  257376  2354035                         
 4174 18.00      39  141   108    35     4032    174   -27    22  -677   679    34      958  257349  2354057                         
 4309 17.75      36  144   128    41     4160     46   -33    25  -710   704    41      999  257316  2354082                         
 4357 17.75      36  144    46    15     4206      0   -12     9  -722   713    14     1014  257304  2354091 
 4428 17.75      36  144   113    36     4274    -68   -29    21  -740   726    36     1035  257286  2354104                         
 4552 17.75      32  148   118    38     4392   -186   -31    21  -771   747    37     1072  257255  2354125                         
 4676 17.00      32  148   118    37     4510   -304   -31    20  -802   766    36     1108  257224  2354144                         
 4765 17.00      32  148    85    26     4595   -389   -22    14  -824   780    25     1133  257202  2354158                         
