Name,Northing,Easting,Elevation,Temp
1,258315,2354007,4189,0
2,258316,2354007,4000,0
3,258320,2354006,3724,0
4,258321,2354006,3689,0
5,258323,2354005,3621,0
6,258324,2354005,3585,0
7,258326,2354004,3554,0
8,258327,2354004,3523,0
9,258328,2354004,3492,0
10,258329,2354004,3461,0
11,258329,2354005,3431,0
12,258330,2354006,3399,0
13,258330,2354007,3367,0
14,258330,2354008,3336,0
15,258329,2354009,3306,0
16,258327,2354013,3207,0
17,258326,2354015,3189,0
18,258325,2354016,3166,0
19,258324,2354018,3134,0
20,258322,2354021,3103,0
21,258320,2354024,3071,0
22,258318,2354028,3039,0
23,258315,2354032,3009,0
24,258315,2354033,3000,0
25,258307,2354044,2922,0
26,258303,2354049,2893,0
27,258299,2354054,2862,0
28,258295,2354060,2832,0
29,258290,2354066,2802,0
30,258285,2354072,2772,0
31,258279,2354079,2743,0
32,258274,2354086,2713,0
33,258271,2354090,2700,0
34,258266,2354096,2676,0
35,258260,2354104,2650,0
36,258242,2354129,2568,0
37,258230,2354148,2513,0
38,258210,2354177,2430,0
39,258191,2354209,2345,0
40,258166,2354248,2237,0
41,258163,2354253,2224,0
42,258138,2354293,2118,0
43,258118,2354330,2023,0
44,258113,2354339,2000,0
45,258097,2354370,1923,0
46,258076,2354408,1828,0
47,258066,2354427,1781,0
48,258054,2354449,1727,0
49,258029,2354493,1617,0
50,258028,2354495,1611,0
51,258014,2354517,1554,0
52,258000,2354539,1498,0
53,257998,2354543,1488,0
54,257985,2354564,1435,0
