      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  NAVY I  66A-7 
                         
Sec Az  320    N40W 
Elev   4382 KB      
CoordsNorth  256344 East              2353554 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0  154     0     0        0   4382     0     0     0     0     0      0  256344  2353554                                                                                                                   
  226  0.25      26  154   226     0      226   4156     0     0     0     0     0      0  256344  2353554                                                                                                                   
  382  0.71      54  103   156     1      382   4000    -1     1    -1     1    -1     -2  256343  2353555 
  480  1.00      71   71   254     3      480   3902    -1     3    -2     3    -2     -3  256342  2353557                                                                                                                   
  746  1.25      72   72   266     5      746   3636     2     5     0     8    -2     -5  256344  2353562                                                                                                                   
  965  1.00      28   28   219     4      965   3417     3     3     3    11     0     -5  256347  2353565                                                                                                                   
 1012  1.75      36   36    47     1     1012   3370     1     1     4    12     0     -5  256348  2353566                                                                                                                   
 1042  2.25      26   26    30     1     1042   3340     1     1     5    12     0     -4  256349  2353566                                                                                                                   
 1073  2.75      13   13    31     1     1073   3309     1     0     6    13     1     -3  256350  2353567                                                                                                                   
 1105  3.25       4    4    32     2     1105   3277     2     0     8    13     1     -2  256352  2353567                                                                                                                   
 1120  3.75       4  180    15     1     1120   3262     0     1     8    14    -1     -3  256352  2353568 
 1135  4.25       4  356    30    -2     1135   3247     2     0    10    13     2     -1  256354  2353567                                                                                                                   
 1165  5.00       9  351    30     2     1165   3217     2     0    12    13     2      1  256356  2353567                                                                                                                   
 1197  5.25      14  346    32     3     1196   3186     3    -1    15    12     3      4  256359  2353566                                                                                                                   
 1228  6.25      19  341    31     3     1227   3155     3    -1    18    11     3      7  256362  2353565                                                                                                                   
 1367  6.00      29  331   138    15     1366   3016    14    -6    31     5    14     21  256375  2353559                                                                                                                   
 1384  6.27      31  329    17     2     1382   3000     2    -1    33     4     2     23  256377  2353558 
 1476  7.75      39  321   108    13     1474   2908    11    -7    42    -2    13     34  256386  2353552                                                                                                                   
 1508  8.75      44  316    32     5     1505   2877     3    -3    46    -5     5     38  256390  2353549                                                                                                                   
 1539  9.50      44  316    31     5     1536   2846     4    -3    49    -9     5     43  256393  2353545                                                        2846        1505  1508    46    -5    38  0.00 
 1569 10.25      43  317    30     5     1566   2816     4    -4    53   -12     5     48  256397  2353542                                                                                                                   
 1631 12.25      43  317    61    12     1626   2756     9    -8    62   -20    12     60  256406  2353534                                                                                                                   
 1693 13.75      43  317    60    14     1687   2695    10   -10    72   -30    14     74  256416  2353524                                                                                                                   
 1787 16.75      44  316    91    25     1778   2604    18   -17    90   -47    25     99  256434  2353507                                                                                                                   
 1830 18.12      45  315    41    13     1819   2563     9    -9    99   -56    13    112  256443  2353498 
 1881 19.75      46  314    89    29     1867   2515    21   -21   111   -68    29    128  256455  2353486                                                                                                                   
 1973 22.25      48  312    86    33     1953   2429    22   -24   133   -92    33    161  256477  2353462                                                                                                                   
 2005 23.25      48  312    30    12     1982   2400     8    -9   141  -101    12    173  256485  2353453                                                                                                                   
 2130 22.50      41  319   115    49     2097   2285    35   -34   176  -135    48    222  256520  2353419                                                                                                                   
 2161 22.50      39  321    29    12     2126   2256     9    -8   185  -143    12    234  256529  2353411                                                                                                                   
 2193 22.50      40  320    30    12     2156   2226     9    -8   195  -151    12    246  256539  2353403                                                                                                                   
 2285 23.00      40  320    85    36     2240   2142    27   -23   222  -173    36    281  256566  2353381                                                                                                                   
 2379 23.25      40  320    86    37     2327   2055    28   -24   250  -197    37    318  256594  2353357                                                                                                                   
 2439 23.41      39  321    55    24     2382   2000    18   -15   268  -212    24    342  256612  2353342 
 2473 23.50      39  321    86    37     2413   1969    29   -24   279  -221    37    356  256623  2353333                                                                                                                   
 2566 23.00      38  322    85    37     2499   1883    29   -23   308  -244    37    392  256652  2353310                                                                                                                   
 2628 22.75      36  324    57    24     2556   1826    19   -15   327  -258    24    416  256671  2353296                                                                                                                   
 2719 23.25      35  325    84    36     2639   1743    29   -21   356  -279    35    452  256700  2353275                                                                                                                   
 2813 25.00      35  325    86    38     2725   1657    31   -22   387  -301    38    490  256731  2353253                                                                                                                   
 2905 25.75      33  327    83    39     2808   1574    33   -22   420  -323    39    529  256764  2353231                                                                                                                   
 2999 26.50      37  323    84    41     2893   1489    34   -24   454  -347    41    571  256798  2353207                                                                                                                   
 3090 26.75      40  320    81    41     2974   1408    32   -25   486  -372    41    611  256830  2353182                                                             /ma111..ak200~a115~           CCCCCC{GOTO}a1~/fcceinsert1~  
 3138 26.81      40  320    43    22     3017   1365    17   -14   502  -386    22    633  256846  2353168 
 3207 26.90      40  320    62    31     3079   1303    24   -20   526  -406    31    664  256870  2353148 
 3223 26.92      40  320    14     7     3093   1289     6    -5   532  -411     7    671  256876  2353143 
 3281 27.00      40  320   170    86     3144   1238    66   -55   552  -428    86    698  256896  2353126                                                                                                                   
 3469 26.00      31  329   168    84     3313   1069    68   -49   620  -476    84    781  256964  2353078                                                                                                                   
 3546 25.02      31  329    69    33     3382   1000    28   -17   649  -493    33    814  256993  2353061 
 3574 24.66      30  330    95    45     3408    974    39   -23   659  -499    44    826  257003  2353055 
 3626 24.00      30  330   142    66     3455    927    57   -34   677  -510    65    847  257021  2353044                                                                                                                   
 3658 24.00      30  330    29    13     3484    898    11    -7   689  -517    13    860  257033  2353037                                                                                                                   
