Point,Northing,Easting,Elev_ft,Temp,Type
1,256699,2354308,4316,0,Production
2,256696,2354305,4000,0,Production
3,256693,2354301,3846,0,Production
4,256691,2354299,3782,0,Production
5,256690,2354298,3748,0,Production
6,256689,2354297,3717,0,Production
7,256689,2354294,3656,0,Production
8,256690,2354294,3624,0,Production
9,256691,2354293,3593,0,Production
10,256693,2354293,3562,0,Production
11,256696,2354293,3531,0,Production
12,256699,2354293,3500,0,Production
13,256703,2354294,3469,0,Production
14,256708,2354294,3438,0,Production
15,256712,2354295,3408,0,Production
16,256718,2354297,3376,0,Production
17,256723,2354298,3349,0,Production
18,256749,2354309,3213,0,Production
19,256755,2354312,3183,0,Production
20,256761,2354315,3154,0,Production
21,256768,2354318,3121,0,Production
22,256781,2354324,3064,0,Production
23,256797,2354331,3000,0,Production
24,256804,2354334,2975,0,Production
25,256830,2354347,2888,0,Production
26,256837,2354350,2865,0,Production
27,256858,2354361,2800,0,Production
28,256888,2354378,2713,0,Production
29,256897,2354383,2689,0,Production
30,256921,2354397,2627,0,Production
31,256948,2354413,2561,0,Production
32,256976,2354429,2495,0,Production
33,257014,2354451,2409,0,Production
34,257022,2354456,2390,0,Production
35,257045,2354470,2338,0,Production
36,257107,2354510,2189,0,Production
37,257183,2354561,2000,463,Production
38,257198,2354571,1960,0,Production
39,257203,2354575,1946,0,Production
40,257208,2354578,1935,0,Production
41,257237,2354598,1859,0,Production
42,257256,2354611,1810,0,Production
