SSD,N-LAM,E-LAM
4367,264072,2353628
4257,264072,2353628
4157,264073,2353628
4059,264077,2353628
3961,264083,2353628
3864,264092,2353627
3867,264101,2353627
3767,264112,2353624
3682,264124,2353621
3583,264139,2353613
3491,264155,2353601
3380,264174,2353583
3368,264194,2353564
3280,264215,2353541
3186,264236,2353514
3156,264257,2353484
3093,264278,2353447
3004,264301,2353403
2918,264324,2353351
2869,264346,2353297
2814,264368,2353239
2671,264386,2353172
2501,264397,2353089
2471,264395,2353086
2440,264404,2352999
2410,264409,2352906
2375,264411,2352809
2355,264409,2352707
2371,264410,2352611
2313,264401,2352598
2297,264400,2352500
2197,264381,2352380
2101,264352,2352252
2004,264311,2352118
1921,264259,2351981
1877,264201,2351841
1829,264138,2351699
1742,264064,2351552
1682,263981,2351403
1630,263973,2351400
1547,263879,2351247
1395,263761,2351084
1382,263641,2350920
1300,263517,2350750
1190,263393,2350569
1123,263394,2350563
1092,263271,2350380
1010,263151,2350185
910,263036,2349980
884,262922,2349774
817,262813,2349561
726,262709,2349341
623,262610,2349115
533,262517,2348882
428,262428,2348641
386,262340,2348397
346,262255,2348148
269,262173,2347890
166,262093,2347619
93,262015,2347337
-9,261937,2347038
-69,261857,2346730
-108,261775,2346414
-173,261688,2346087
-243,261592,2345746
-342,261481,2345388
-444,261466,2345372
-446,261355,2345014
