Name,Northing,Easting,Elevation,Temp
1,252008,2355501,4050,0
2,252008,2355501,4000,0
3,252009,2355501,3911,0
4,252011,2355505,3747,0
5,252011,2355508,3660,0
6,252012,2355511,3560,0
7,252012,2355511,3550,0
8,252012,2355514,3450,0
9,252013,2355517,3325,0
10,252014,2355520,3199,0
11,252013,2355524,3075,0
12,252013,2355524,3050,0
13,252013,2355525,3000,0
14,252013,2355526,2950,0
15,252011,2355528,2825,0
16,252011,2355529,2698,0
17,252009,2355530,2550,0
18,252012,2355529,2535,0
19,252012,2355527,2455,0
20,252010,2355526,2327,0
21,252008,2355523,2172,0
22,252007,2355519,2050,0
23,252007,2355518,2000,0
24,252009,2355510,1795,0
25,252011,2355505,1662,0
26,252012,2355503,1631,0
27,252011,2355500,1569,0
28,252011,2355498,1551,0
29,252011,2355498,1538,0
30,252010,2355495,1507,0
31,252008,2355493,1475,0
32,252007,2355491,1445,0
33,252002,2355485,1377,0
34,251995,2355474,1284,0
35,251991,2355469,1249,0
36,251979,2355457,1162,0
37,251968,2355448,1103,0
38,251959,2355441,1058,0
39,251954,2355437,1033,0
40,251947,2355432,1000,0
41,251934,2355422,943,0
42,251920,2355413,883,0
43,251911,2355406,846,0
44,251902,2355398,803,0
45,251896,2355392,774,0
46,251881,2355373,687,0
47,251867,2355352,601,0
48,251863,2355346,577,0
49,251850,2355324,501,0
50,251833,2355297,411,0
51,251816,2355268,327,0
52,251797,2355238,242,0
53,251776,2355204,154,0
54,251766,2355188,113,0
55,251755,2355172,73,0
56,251735,2355143,0,520
57,251732,2355138,-12,0
58,251717,2355118,-65,0
59,251702,2355098,-122,0
60,251695,2355088,-150,0
61,251687,2355079,-180,0
62,251678,2355068,-215,0
63,251645,2355028,-345,0
64,251625,2355005,-422,0
65,251601,2354979,-508,0
66,251577,2354954,-595,0
67,251545,2354920,-711,0
68,251521,2354896,-796,0
69,251517,2354892,-809,0
70,251497,2354871,-882,0
71,251465,2354839,-995,0
72,251463,2354838,-1000,534
73,251431,2354807,-1113,0
74,251397,2354774,-1226,0
75,251383,2354760,-1272,0
76,251371,2354748,-1313,0
77,251344,2354722,-1399,0
78,251309,2354689,-1511,0
79,251300,2354681,-1541,0
80,251254,2354640,-1688,0
81,251240,2354628,-1733,0
82,251219,2354609,-1804,0
83,251203,2354594,-1858,0
84,251186,2354577,-1918,0
85,251163,2354556,-2000,541
86,251129,2354525,-2120,0
87,251106,2354506,-2199,0
88,251078,2354483,-2293,0
89,251026,2354441,-2468,0
90,250976,2354400,-2639,0
91,250971,2354396,-2657,0
92,250968,2354394,-2666,0
93,250944,2354373,-2750,0
94,250925,2354358,-2815,0
95,250869,2354312,-3000,0
96,250864,2354308,-3018,0
97,250830,2354280,-3133,0
98,250787,2354244,-3281,0
99,250721,2354179,-3522,0
100,250701,2354157,-3600,0
101,250665,2354117,-3735,0
