Name,Northing,Easting,Elevation,Temp
1,254769,2363709,3746,0
2,254768,2363710,3487,0
3,254767,2363712,3276,0
4,254764,2363715,3093,0
5,254763,2363716,3000,0
6,254762,2363716,2969,0
7,254759,2363717,2846,0
8,254756,2363719,2721,0
9,254753,2363721,2618,0
10,254753,2363721,2599,0
11,254752,2363721,2579,0
12,254749,2363722,2474,0
13,254745,2363720,2320,0
14,254743,2363718,2199,0
15,254742,2363715,2076,0
16,254741,2363714,2030,0
17,254741,2363713,2000,0
18,254742,2363712,1952,0
19,254743,2363711,1906,0
20,254745,2363709,1794,0
21,254745,2363709,1783,0
22,254750,2363706,1583,0
23,254752,2363706,1487,0
24,254753,2363706,1455,0
25,254756,2363707,1330,0
26,254758,2363708,1175,0
27,254758,2363711,1049,0
28,254757,2363711,1000,0
29,254755,2363713,927,0
30,254752,2363715,806,0
31,254749,2363717,683,0
32,254746,2363720,557,0
33,254743,2363723,436,0
34,254738,2363727,277,0
35,254732,2363730,78,0
36,254729,2363730,0,0
37,254727,2363731,-47,0
38,254722,2363732,-202,0
39,254723,2363731,-172,0
40,254719,2363732,-298,0
41,254714,2363732,-422,0
42,254708,2363731,-547,0
43,254704,2363730,-624,0
44,254704,2363730,-627,0
45,254702,2363730,-655,0
46,254700,2363729,-685,0
47,254698,2363728,-721,0
48,254695,2363726,-748,0
49,254693,2363725,-778,0
50,254690,2363723,-809,0
51,254688,2363721,-840,0
52,254685,2363719,-872,0
53,254683,2363716,-903,0
54,254681,2363713,-934,0
55,254679,2363710,-965,0
56,254678,2363707,-995,0
57,254677,2363707,-1000,0
58,254676,2363704,-1026,0
59,254676,2363701,-1058,0
60,254675,2363697,-1089,0
61,254675,2363694,-1120,0
62,254675,2363688,-1171,0
63,254677,2363681,-1233,0
64,254677,2363680,-1239,0
65,254678,2363673,-1295,0
66,254679,2363668,-1336,0
67,254680,2363664,-1367,0
68,254684,2363654,-1452,0
69,254690,2363638,-1592,0
70,254694,2363624,-1718,0
71,254697,2363615,-1811,0
72,254700,2363608,-1883,0
73,254704,2363598,-1978,0
74,254704,2363595,-2000,0
75,254707,2363586,-2071,0
76,254709,2363581,-2116,0
77,254712,2363575,-2164,0
78,254716,2363563,-2257,0
79,254721,2363551,-2350,0
80,254722,2363548,-2378,0
81,254725,2363539,-2445,0
82,254729,2363527,-2537,0
83,254734,2363510,-2659,0
84,254740,2363492,-2782,0
85,254745,2363473,-2906,0
86,254749,2363457,-3000,0
87,254748,2363452,-3011,0
88,254750,2363434,-3105,0
89,254752,2363415,-3197,0
90,254754,2363396,-3289,0
91,254756,2363378,-3379,0
92,254762,2363351,-3538,0
93,254769,2363332,-3663,0
94,254773,2363322,-3730,0
95,254777,2363314,-3789,0
96,254787,2363293,-3938,0
97,254791,2363284,-4000,0
98,254798,2363270,-4102,0
99,254805,2363257,-4182,0
100,254846,2363125,-4686,0
101,254847,2363116,-4709,0
