Name,Northing,Easting,Elevation,Temp
1,254773,2363587,3752,0
2,254773,2363587,3518,0
3,254770,2363589,3267,0
4,254769,2363590,3182,0
5,254767,2363591,3089,0
6,254765,2363593,3000,0
7,254765,2363593,2999,0
8,254762,2363595,2873,0
9,254760,2363596,2817,0
10,254759,2363596,2796,0
11,254757,2363597,2724,0
12,254753,2363597,2601,0
13,254750,2363596,2483,0
14,254747,2363595,2387,0
15,254744,2363594,2267,0
16,254744,2363594,2259,0
17,254741,2363592,2114,0
18,254738,2363590,2000,0
19,254737,2363590,1990,0
20,254737,2363589,1965,0
21,254735,2363588,1867,0
22,254733,2363585,1743,0
23,254732,2363583,1665,0
24,254731,2363581,1593,0
25,254729,2363577,1436,0
26,254728,2363575,1373,0
27,254726,2363573,1279,0
28,254725,2363572,1235,0
29,254722,2363569,1081,0
30,254720,2363567,1000,0
31,254719,2363565,927,0
32,254717,2363559,737,0
33,254716,2363557,626,0
34,254715,2363555,566,0
35,254715,2363554,535,0
36,254715,2363552,504,0
37,254714,2363550,472,0
38,254714,2363548,441,0
39,254714,2363546,410,0
40,254715,2363541,343,0
41,254715,2363535,281,0
42,254715,2363529,219,0
43,254715,2363522,158,0
44,254714,2363514,96,0
45,254713,2363506,34,0
46,254712,2363501,0,560
47,254712,2363499,-14,0
48,254711,2363494,-44,0
49,254711,2363489,-74,0
50,254712,2363484,-104,0
51,254712,2363479,-134,0
52,254712,2363473,-165,0
53,254712,2363460,-231,0
54,254712,2363448,-291,0
55,254713,2363434,-351,0
56,254714,2363410,-440,0
57,254715,2363391,-499,0
58,254716,2363370,-560,0
59,254716,2363360,-589,0
60,254716,2363350,-616,0
61,254718,2363326,-681,0
62,254719,2363305,-737,0
63,254719,2363283,-796,0
64,254722,2363239,-916,0
65,254725,2363208,-1000,580
66,254726,2363196,-1032,0
67,254731,2363154,-1148,0
68,254734,2363133,-1204,0
69,254738,2363112,-1262,0
70,254746,2363067,-1376,0
71,254756,2363011,-1516,0
72,254764,2362966,-1630,0
73,254772,2362923,-1746,0
74,254772,2362923,-1746,0
75,254776,2362903,-1805,0
76,254778,2362883,-1864,0
77,254778,2362864,-1922,0
78,254777,2362841,-1989,0
79,254777,2362838,-2000,570
80,254776,2362821,-2048,0
81,254773,2362788,-2137,0
82,254771,2362765,-2194,0
83,254768,2362731,-2277,0
84,254765,2362693,-2363,0
85,254763,2362654,-2448,0
86,254762,2362628,-2506,0
87,254760,2362589,-2592,0
88,254758,2362550,-2675,0
89,254756,2362511,-2761,0
90,254753,2362460,-2872,0
91,254751,2362435,-2928,0
92,254750,2362411,-2986,0
93,254750,2362405,-3000,633
94,254748,2362383,-3051,0
95,254748,2362370,-3083,0
96,254745,2362338,-3159,0
97,254743,2362315,-3217,0
98,254739,2362268,-3333,0
99,254737,2362223,-3443,0
100,254735,2362189,-3531,0
101,254731,2362155,-3618,0
102,254726,2362112,-3736,0
103,254726,2362109,-3743,0
104,254725,2362091,-3796,0
105,254724,2362083,-3822,0
106,254721,2362058,-3894,0
107,254717,2362029,-3985,0
108,254717,2362024,-4000,615
109,254711,2361979,-4140,0
110,254705,2361941,-4262,0
111,254702,2361923,-4321,0
112,254701,2361916,-4345,0
113,254701,2361913,-4352,0
114,254695,2361881,-4456,0
115,254668,2361706,-5000,575
