Name,Northing,Easting,Elevation,Temp
1,253434,2353565,4121,0
2,253434,2353565,4000,0
3,253434,2353565,3648,0
4,253434,2353565,3648,0
5,253434,2353565,3621,0
6,253435,2353564,3596,0
7,253435,2353563,3565,0
8,253438,2353560,3471,0
9,253442,2353556,3377,0
10,253447,2353551,3285,0
11,253452,2353545,3192,0
12,253456,2353541,3122,0
13,253458,2353539,3098,0
14,253463,2353533,3005,0
15,253463,2353533,3000,0
16,253468,2353528,2912,0
17,253473,2353523,2818,0
18,253476,2353520,2754,0
19,253477,2353518,2722,0
20,253478,2353517,2707,0
21,253482,2353512,2624,0
22,253485,2353509,2563,0
23,253491,2353500,2408,0
24,253495,2353495,2332,0
25,253496,2353492,2301,0
26,253498,2353490,2272,0
27,253500,2353487,2239,0
28,253502,2353486,2207,0
29,253503,2353485,2176,0
30,253505,2353484,2145,0
31,253506,2353484,2125,0
32,253507,2353483,2113,0
33,253507,2353483,2113,0
34,253511,2353484,2037,0
35,253512,2353486,2005,0
36,253512,2353486,2000,465
37,253513,2353486,1988,0
38,253515,2353488,1956,0
39,253516,2353490,1926,0
40,253518,2353492,1896,0
41,253519,2353495,1864,0
42,253525,2353507,1763,0
43,253526,2353510,1732,0
44,253532,2353523,1629,0
45,253532,2353523,1628,0
46,253536,2353531,1568,0
47,253542,2353544,1478,0
48,253553,2353563,1355,0
49,253565,2353584,1231,0
50,253576,2353601,1139,0
51,253577,2353602,1136,0
52,253589,2353620,1041,0
53,253593,2353626,1012,0
54,253594,2353628,1000,505
55,253601,2353638,951,0
56,253618,2353664,815,0
57,253625,2353675,756,0
58,253638,2353694,657,0
59,253639,2353696,649,0
60,253657,2353722,505,0
61,253676,2353749,351,0
62,253696,2353778,191,0
63,253699,2353783,161,0
64,253715,2353805,38,0
65,253720,2353811,0,0
66,253731,2353825,-85,0
67,253753,2353855,-259,0
68,253762,2353867,-328,0
69,253772,2353880,-407,0
70,253814,2353934,-721,0
71,253827,2353950,-817,0
72,253838,2353964,-1000,442
