Point,Northing,Easting,Elevation
1,253521,2353476,4122
2,253520,2353476,4000
3,253520,2353476,3957
4,253519,2353476,3881
5,253515,2353475,3673
6,253514,2353475,3622
7,253512,2353475,3547
8,253508,2353474,3404
9,253505,2353473,3278
10,253503,2353469,3122
11,253502,2353468,3058
12,253503,2353468,3025
13,253503,2353468,3000
14,253503,2353468,2998
15,253504,2353468,2966
16,253505,2353468,2936
17,253506,2353469,2904
18,253507,2353469,2878
19,253510,2353469,2835
20,253517,2353469,2749
21,253522,2353470,2686
22,253525,2353470,2655
23,253528,2353470,2623
24,253529,2353470,2614
25,253531,2353470,2590
26,253535,2353470,2559
27,253549,2353469,2459
28,253557,2353468,2401
29,253574,2353467,2288
30,253590,2353466,2190
31,253600,2353466,2128
32,253604,2353465,2099
33,253619,2353464,2006
34,253620,2353463,2000
35,253634,2353462,1912
36,253649,2353461,1820
37,253664,2353459,1729
38,253678,2353457,1639
39,253679,2353457,1635
40,253693,2353454,1545
41,253712,2353451,1427
42,253727,2353448,1330
43,253736,2353447,1266
44,253750,2353444,1173
45,253755,2353443,1141
46,253764,2353441,1084
47,253776,2353437,1000
48,253787,2353434,928
49,253808,2353427,787
50,253828,2353420,647
51,253837,2353417,586
52,253858,2353409,433
53,253874,2353402,312
54,253886,2353398,218
55,253894,2353396,152
56,253898,2353395,126
57,253910,2353392,33
58,253914,2353391,0
59,253923,2353390,-60
60,253937,2353388,-153
61,253949,2353385,-225
62,253957,2353382,-273
63,253968,2353380,-342
64,253976,2353377,-395
65,253986,2353375,-456
66,254002,2353370,-550
67,254016,2353366,-642
68,254031,2353362,-735
69,254046,2353357,-836
70,254053,2353354,-889
71,254063,2353351,-951
72,254070,2353348,-1000
73,254081,2353344,-1074
74,254099,2353337,-1197
75,254112,2353332,-1288
76,254118,2353330,-1330
77,254131,2353325,-1424
78,254147,2353318,-1547
79,254159,2353314,-1641
80,254178,2353304,-1792
81,254182,2353302,-1825
82,254188,2353297,-1887
83,254191,2353295,-1916
84,254200,2353289,-2000
85,254201,2353288,-2009
86,254216,2353278,-2141
87,254218,2353276,-2163
88,254235,2353263,-2321
89,254243,2353256,-2395
90,254264,2353238,-2600
91,254287,2353218,-2819
92,254293,2353212,-2883
93,254305,2353202,-3000
94,254330,2353189,-3204
95,254363,2353177,-3443
96,254378,2353172,-3544
97,254407,2353165,-3730
98,254452,2353157,-3976
99,254457,2353156,-4000
100,254537,2353139,-4344
101,254592,2353126,-4570
102,254600,2353123,-4604
