  																
		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
		WELL DATA SUMMARY														
		 														
	Well	NAVY II 63B-18 Deepening														
	 	 	 	 												
	Sec Azim	0	NORTH													
	Elev	4122	KB													
 	Coords:	North	253521	East			2353476									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 																
 	0	0	4	184				4122	0	0	0	0	0	0	253521	2353476
	122	1	4	184	122	1	122	4000	-1	0	-1	0	-1	-1	253520	2353476
 	165	1	4	184	165	1	165	3957	-1	0	-1	0	-1	-1	253520	2353476
	241	1	7	187	76	1	241	3881	-1	0	-2	0	-1	-2	253519	2353476
	449	1	10	190	208	4	449	3673	-4	-1	-6	-1	-4	-6	253515	2353475
	500	1	12	192	51	1	500	3622	-1	0	-7	-1	-1	-7	253514	2353475
	575	2	16	196	126	3	575	3547	-3	-1	-9	-1	-3	-9	253512	2353475
	718	2	10	170	143	4	718	3404	-4	0	-13	-2	-4	-13	253508	2353474
	844	2	69	249	126	3	844	3278	-3	-2	-16	-3	-3	-16	253505	2353473
	1000	2	49	229	156	4	1000	3122	-2	-4	-18	-7	-2	-18	253503	2353469
	1064	1	68	248	64	1	1064	3058	-1	-1	-19	-8	-1	-19	253502	2353468
	1097	1	21	339	33	0	1097	3025	0	0	-18	-8	0	-18	253503	2353468
	1122	1	2	358	25	0	1122	3000	0	0	-18	-8	0	-18	253503	2353468
	1124	1	0	360	27	0	1124	2998	0	0	-18	-8	0	-18	253503	2353468
	1156	2	14	14	32	-1	1156	2966	1	0	-17	-8	1	-17	253504	2353468
	1186	2	15	15	30	1	1186	2936	1	0	-16	-8	1	-16	253505	2353468
 	1218	3	9	9	32	1	1218	2904	1	0	-15	-7	1	-15	253506	2353469
 	1244	4	4	4	26	1	1244	2878	1	0	-14	-7	1	-14	253507	2353469
 	1287	4	5	5	43	3	1287	2835	3	0	-11	-7	3	-11	253510	2353469
	1374	5	3	3	87	6	1373	2749	6	0	-4	-7	6	-4	253517	2353469
	1437	5	4	4	63	5	1436	2686	5	0	1	-6	5	1	253522	2353470
	1468	5	6	6	31	3	1467	2655	3	0	4	-6	3	4	253525	2353470
	1500	6	8	8	32	3	1499	2623	3	0	7	-6	3	7	253528	2353470
	1509	6	9	9	41	4	1508	2614	4	1	8	-6	4	8	253529	2353470
	1533	7	7	353	24	-3	1532	2590	3	0	10	-6	3	10	253531	2353470
	1565	8	8	352	32	4	1563	2559	4	-1	14	-6	4	14	253535	2353470
	1666	8	2	358	100	14	1663	2459	14	-1	28	-7	14	28	253549	2353469
	1724	9	5	355	57	8	1721	2401	8	-1	36	-8	8	36	253557	2353468
	1838	9	3	357	113	17	1834	2288	17	-1	53	-9	17	53	253574	2353467
	1938	9	3	357	99	15	1932	2190	15	-1	69	-10	15	69	253590	2353466
	2000	9	5	355	61	10	1994	2128	10	-1	79	-10	10	79	253600	2353466
	2030	9	6	354	91	15	2023	2099	15	-1	83	-11	15	83	253604	2353465
	2124	9	6	354	93	15	2116	2006	15	-2	98	-12	15	98	253619	2353464
	2130	9	6	354	6	1	2122	2000	1	0	99	-13	1	99	253620	2353463
	2219	9	5	355	94	15	2210	1912	15	-1	113	-14	15	113	253634	2353462
	2312	9	7	353	92	15	2302	1820	15	-2	128	-15	15	128	253649	2353461
