      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 64-16 
                         
Sec Az  280 N 80 W  
Elev   3663 KB      
CoordsNorth  252978 East              2364253 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      26   26                        3663     0     0     0     0     0        0  252978  2364253 
  155  1.00      26   26   155     1      155   3508     1     1     1     1     0        0  252979  2364254 
  283  1.00      34   34   128     2      283   3380     2     1     3     2    -1       -1  252981  2364255 
  448  1.75      57   57   165     4      448   3215     3     3     6     5    -2       -3  252984  2364258 
  500  1.85      56   56    52     2      500   3163     1     1     7     6    -1       -5  252985  2364259 
  581  2.00      55   55   133     4      581   3082     2     4     8     8    -3       -7  252986  2364261 
  611  1.25      88   88    30     1      611   3052     0     1     9     9    -1       -7  252987  2364262 
  663  0.83      64   64    52     1      663   3000     0     1     9    10    -1       -8  252987  2364263 
  673  0.75      59   59    62     1      673   2990     0     1     9    10    -1       -8  252987  2364263 
  737  1.75      59   59    64     1      737   2926     1     1    10    11    -1       -9  252988  2364264 
  814  1.00      88   88    77     2      814   2849     1     2    10    13    -2      -11  252988  2364266 
  878  1.50      85   85    64     1      878   2785     0     1    10    14    -1      -12  252988  2364267 
  980  1.25      87   87   102     2      980   2683     0     2    10    17    -2      -15  252988  2364270 
 1000  1.30      86   90    20     0     1000   2663     0     0    10    17     0      -15  252988  2364270 
 1074  1.50      81   99    94     2     1074   2589     0     2    10    19    -2      -17  252988  2364272 
 1157  1.50      71  109    83     2     1157   2506    -1     2    10    21    -2      -19  252988  2364274 
 1246  0.75      61  119    89     2     1246   2417    -1     2     9    23    -2      -21  252987  2364276 
 1354  1.25      85   95   108     2     1354   2309    -1     2     9    25    -2      -23  252987  2364278 
 1432  1.00      70  110    78     2     1432   2231     0     1     8    26    -2      -24  252986  2364279 
 1500  0.63      57  123    68     1     1500   2163     0     1     8    27    -1      -25  252986  2364280 
 1524  0.50      52  128    92     1     1524   2139    -1     1     8    27    -1      -25  252986  2364280 
 1617  0.75      80  100    93     1     1617   2046     0     1     7    28    -1      -26  252985  2364281 
 1663  0.89      58  122    46     1     1663   2000     0     1     7    29    -1      -27  252985  2364282 
 1701  1.00      40  140    84     1     1701   1962    -1     1     7    29    -1      -28  252985  2364282 
 1829  1.25      29  209   128     3     1829   1834    -3     0     4    29    -1      -28  252982  2364282 
 1860  1.25      59  239    31     1     1860   1803     0     0     4    29     0      -28  252982  2364282 
 1892  2.00      74  254    32     1     1892   1771     0    -1     3    28     1      -27  252981  2364281 
 1923  2.50      80  260    31     1     1923   1740     0    -1     3    27     1      -26  252981  2364280 
 1954  3.00      89  271    31     1     1954   1709     0    -1     3    25     1      -25  252981  2364278 
 2000  3.80      85  266    46     3     1999   1664     0    -3     3    23     3      -22  252981  2364276 
 2040  4.50      82  262    86     6     2039   1624     0    -6     2    20     5      -19  252980  2364273 
 2108  5.25      89  271    68     6     2107   1556     0    -6     2    14     6      -13  252980  2364267 
 2171  5.25      85  265    63     6     2170   1493     0    -6     2     8     6       -8  252980  2364261 
