      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 65A-18
                         
Sec Az  210 S 30 W  
Elev   4139 KB      
CoordsNorth  251985 East              2353499 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      72   72                        4139     0     0     0     0     0        0  251985  2353499 
  139  0.98      72   72   139     1      139   4000     0     1     0     1    -1       -1  251985  2353500 
  142  1.00      72   72   142     1      142   3997     0     1     0     1    -1       -1  251985  2353500 
  294  2.00      72   72   152     4      294   3845     1     4     2     5    -3       -4  251987  2353504 
  450  2.25      72   72   156     6      450   3689     2     6     3    10    -4       -8  251988  2353509 
  500  2.02      70   70    50     2      500   3639     1     2     4    12    -1      -10  251989  2353511 
  561  1.75      67   67   111     4      561   3578     1     4     5    14    -3      -11  251990  2353513 
  713  1.50      65   65   152     4      713   3426     2     4     7    18    -3      -15  251992  2353517 
  808  1.75      58   58    95     3      808   3331     1     2     8    20    -2      -17  251993  2353519 
  902  1.75      62   62    94     3      902   3237     1     2     9    23    -2      -19  251994  2353522 
 1000  1.87      58   58    98     3     1000   3139     2     3    11    26    -3      -22  251996  2353525 
 1140  2.03      53   53   140     5     1139   3000     3     4    13    29    -4      -26  251998  2353528 
 1112  2.00      54   54   210     7     1112   3027     4     6    13    29    -6      -26  251998  2353528 
 1236  2.00      59   59   124     4     1235   2904     2     4    15    32    -4      -29  252000  2353531 
 1303  1.50      88   88    67     2     1302   2837     1     2    16    34    -1      -31  252001  2353533 
 1335  1.00      56  124    32     1     1334   2805     0     1    16    35     0      -31  252001  2353534 
 1366  1.25       9  171    31     1     1365   2774    -1     0    15    35     0      -31  252000  2353534 
 1398  2.00       4  184    32     1     1397   2742    -1     0    14    35     1      -30  251999  2353534 
 1429  2.75      10  190    31     1     1428   2711    -1     0    13    35     1      -29  251998  2353534 
 1460  3.50      12  192    31     2     1459   2680    -2     0    11    35     2      -27  251996  2353534 
 1491  4.00      15  195    31     2     1490   2649    -2     0     9    34     2      -25  251994  2353533 
 1500  4.07      18  198     9     1     1499   2640    -1     0     9    34     1      -25  251994  2353533 
 1522  4.25      26  206    31     2     1521   2618    -2    -1     7    34     2      -23  251992  2353533 
 1554  5.00      31  211    32     3     1553   2586    -2    -1     5    32     3      -20  251990  2353531 
 1674  6.25      26  206   119    12     1672   2467   -10    -6    -5    27    12       -9  251980  2353526 
 1767  6.50      31  211    92    10     1765   2374    -9    -5   -14    22    10        2  251971  2353521 
 1923  7.50      41  221   155    19     1920   2219   -15   -11   -30    11    19       21  251955  2353510 
 2000  8.70      41  221    76    11     1996   2143    -8    -7   -38     4    11       31  251947  2353503 
 2019  9.00      41  221    95    14     2015   2124   -10    -9   -40     2    14       34  251945  2353501 
 2112  9.50      40  220    92    15     2107   2032   -11   -10   -52    -8    15       49  251933  2353491 
 2145 10.03      40  220    33     6     2139   2000    -4    -4   -56   -12     6       54  251929  2353487 
 2206 11.00      39  219    92    17     2199   1940   -13   -11   -64   -19    16       65  251921  2353480 
