Point,NORTHING,EASTING,Elev_ft,Elev_m
1,250538,2359340,3870,1180
2,250538,2359340,3740,1140
3,250538,2359339,3620,1103
4,250537,2359339,3530,1076
5,250536,2359340,3382,1031
6,250534,2359340,3268,996
7,250533,2359339,3140,957
8,250531,2359339,3012,918
9,250531,2359339,3000,914
10,250532,2359340,2887,880
11,250532,2359339,2760,841
12,250532,2359337,2651,808
13,250532,2359337,2619,798
14,250533,2359336,2585,788
15,250534,2359335,2555,779
16,250535,2359335,2525,770
17,250537,2359334,2493,760
18,250540,2359334,2453,748
19,250550,2359334,2328,710
20,250564,2359334,2159,658
21,250572,2359335,2043,623
22,250574,2359336,2000,610
23,250579,2359338,1916,584
24,250586,2359342,1792,546
25,250596,2359346,1620,494
26,250609,2359347,1358,414
27,250615,2359344,1226,374
28,250617,2359343,1194,364
29,250619,2359342,1163,354
30,250620,2359341,1143,348
31,250622,2359339,1112,339
32,250622,2359337,1080,329
33,250623,2359335,1049,320
34,250623,2359333,1017,310
35,250623,2359331,1000,305
36,250623,2359330,988,301
37,250624,2359328,958,292
38,250624,2359326,927,283
39,250623,2359323,895,273
40,250622,2359320,863,263
41,250620,2359317,832,254
42,250619,2359313,801,244
43,250618,2359310,771,235
44,250616,2359306,740,226
45,250615,2359302,708,216
46,250613,2359297,679,207
47,250611,2359292,648,198
48,250609,2359287,617,188
49,250606,2359273,545,166
50,250605,2359267,515,157
51,250603,2359261,487,148
52,250602,2359254,458,140
53,250600,2359247,428,130
54,250599,2359239,398,121
55,250597,2359231,368,112
56,250596,2359223,338,103
57,250595,2359215,308,94
58,250593,2359203,269,82
59,250590,2359185,210,64
60,250585,2359158,121,37
61,250582,2359140,61,19
62,250578,2359121,0,0
63,250574,2359100,-70,-21
64,250567,2359064,-177,-54
65,250561,2359035,-264,-80
66,250554,2359005,-353,-108
67,250548,2358977,-440,-134
68,250540,2358950,-530,-162
69,250533,2358931,-600,-183
70,250531,2358926,-621,-189
71,250528,2358919,-650,-198
72,250523,2358907,-700,-213
73,250520,2358899,-729,-222
74,250517,2358890,-760,-232
75,250513,2358882,-790,-241
76,250510,2358873,-820,-250
77,250506,2358864,-850,-259
78,250503,2358855,-879,-268
79,250500,2358846,-910,-277
80,250497,2358837,-940,-287
81,250496,2358833,-955,-291
82,250494,2358820,-1000,-305
83,250493,2358813,-1026,-313
84,250492,2358804,-1056,-322
85,250486,2358778,-1148,-350
86,250483,2358771,-1179,-359
87,250479,2358748,-1265,-386
88,250477,2358721,-1362,-415
89,250478,2358712,-1392,-424
90,250478,2358703,-1420,-433
91,250478,2358684,-1479,-451
92,250479,2358665,-1536,-468
93,250479,2358646,-1595,-486
94,250478,2358607,-1714,-522
95,250477,2358573,-1814,-553
96,250477,2358544,-1903,-580
97,250476,2358515,-1989,-606
98,250476,2358512,-2000,-610
99,250475,2358484,-2078,-633
100,250474,2358454,-2166,-660
101,250474,2358423,-2254,-687
102,250474,2358393,-2344,-714
103,250474,2358363,-2434,-742
104,250474,2358335,-2521,-768
105,250474,2358305,-2613,-796
106,250474,2358278,-2702,-824
107,250473,2358259,-2768,-844
108,250472,2358233,-2856,-871
109,250470,2358207,-2948,-899
110,250469,2358192,-3000,-914
111,250468,2358181,-3038,-926
112,250465,2358156,-3129,-954
113,250464,2358134,-3211,-979
114,250461,2358108,-3301,-1006
115,250459,2358084,-3390,-1033
116,250458,2358079,-3404,-1038
117,250454,2358050,-3507,-1069
118,250449,2358023,-3596,-1096
119,250445,2358006,-3656,-1114
120,250436,2357974,-3764,-1147
121,250429,2357947,-3853,-1174
122,250421,2357922,-3933,-1199
123,250414,2357902,-4000,-1219
124,250412,2357895,-4022,-1226
125,250401,2357865,-4121,-1256
126,250390,2357838,-4210,-1283
127,250379,2357812,-4297,-1310
128,250368,2357784,-4386,-1337
129,250361,2357765,-4448,-1356
130,250358,2357758,-4471,-1363
131,250357,2357756,-4475,-1364
132,250346,2357730,-4564,-1391
133,250342,2357719,-4600,-1402
134,250293,2357598,-5000,-1524
135,250252,2357495,-5342,-1628
136,250237,2357458,-5465,-1666
