Point,Northing,Easting,Elevation,Temp,Type
1,253118,2354463,4101,0,Production
2,253118,2354462,3899,0,Production
3,253117,2354460,3749,0,Production
4,253116,2354459,3642,0,Production
5,253116,2354458,3601,0,Production
6,253116,2354456,3508,0,Production
7,253116,2354454,3415,0,Production
8,253115,2354453,3320,0,Production
9,253115,2354450,3197,0,Production
10,253114,2354448,3101,0,Production
11,253113,2354447,3000,0,Production
12,253113,2354446,2948,0,Production
13,253113,2354443,2824,0,Production
14,253112,2354441,2699,0,Production
15,253113,2354438,2601,0,Production
16,253113,2354434,2453,0,Production
17,253113,2354431,2330,0,Production
18,253113,2354428,2208,0,Production
19,253113,2354426,2142,0,Production
20,253112,2354424,2101,0,Production
21,253113,2354421,2000,0,Production
22,253113,2354420,1977,0,Production
23,253112,2354420,1945,0,Production
24,253113,2354419,1883,0,Production
25,253112,2354420,1852,0,Production
26,253112,2354421,1820,0,Production
27,253112,2354424,1788,0,Production
28,253112,2354426,1757,0,Production
29,253112,2354432,1695,0,Production
30,253113,2354440,1602,0,Production
31,253122,2354496,1106,0,Production
32,253123,2354503,1049,0,Production
33,253124,2354509,1000,0,Production
34,253126,2354514,958,0,Production
35,253128,2354530,820,0,Production
36,253130,2354554,609,0,Production
37,253130,2354558,573,0,Production
38,253130,2354561,549,0,Production
