      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 76A-18
                         
Sec Az   40 N 40 E  
Elev   4249 KB      
CoordsNorth  251410 East              2354237 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0  198                        4249     0     0     0     0     0        0  251410  2354237 
  164  1.25      18  198   164     2      164   4085    -2    -1    -2    -1    -2       -2  251408  2354236 
  249  1.44      65  245    85     2      249   4000    -1    -1    -3    -2    -2       -4  251407  2354235 
  275  1.50      79  259   111     3      275   3974    -2    -2    -3    -3    -3       -4  251407  2354234 
  485  1.75      64  244   210     6      485   3764    -2    -6    -5    -8    -5       -9  251405  2354229 
  500  1.80      66  246    15     0      500   3749     0     0    -6    -9     0      -10  251404  2354228 
  632  2.25      83  263   147     5      632   3617    -1    -5    -7   -13    -4      -14  251403  2354224 
  770  2.25      83  263   138     5      770   3479    -1    -5    -7   -18    -4      -18  251403  2354219 
  875  2.00      60  240   105     4      875   3374    -1    -4    -9   -22    -3      -21  251401  2354215 
 1000  2.25      61  241   125     5     1000   3249    -2    -4   -11   -26    -4      -25  251399  2354211 
 1157  1.75      70  250   157     5     1156   3093    -2    -5   -13   -31    -5      -30  251397  2354206 
 1188  1.50      70  250    31     1     1187   3062     0    -1   -14   -32    -1      -31  251396  2354205 
 1220  1.00      54  234    32     1     1219   3030     0    -1   -14   -33    -1      -32  251396  2354204 
 1250  0.76      77  257    30     0     1249   3000     0     0   -14   -33     0      -32  251396  2354204 
 1251  0.75      78  258    31     0     1250   2999     0     0   -14   -33     0      -32  251396  2354204 
 1282  0.25      74  254    31     0     1281   2968     0     0   -14   -33     0      -32  251396  2354204 
 1313  0.25      49   49    31     0     1312   2937     0     0   -14   -33     0      -32  251396  2354204 
 1344  0.75      44   44    31     0     1343   2906     0     0   -14   -33     0      -32  251396  2354204 
 1375  1.00      43   43    31     0     1374   2875     0     0   -14   -33     0      -32  251396  2354204 
 1405  1.25      29   29    30     1     1404   2845     0     0   -13   -32     1      -31  251397  2354205 
 1436  1.75      25   25    31     1     1435   2814     1     0   -13   -32     1      -30  251397  2354205 
 1467  2.00      25   25    31     1     1466   2783     1     0   -12   -32     1      -29  251398  2354205 
 1499  2.25      33   33    32     1     1498   2751     1     1   -11   -31     1      -28  251399  2354206 
 1500  2.25      33   33     1     0     1499   2750     0     0   -11   -31     0      -28  251399  2354206 
 1530  2.25      32   32    31     1     1529   2720     1     1   -10   -30     1      -27  251400  2354207 
 1561  2.75      37   37    31     1     1560   2689     1     1    -8   -30     1      -26  251402  2354207 
 1620  3.50      50   50    59     3     1619   2630     2     2    -6   -27     3      -22  251404  2354210 
 1755  2.75      42   42   135     7     1754   2495     5     5    -1   -22     7      -15  251409  2354215 
 1879  2.25      28   28   124     5     1878   2371     4     3     3   -19     5      -10  251413  2354218 
 2000  2.98       6    6   121     6     1999   2250     5     2     9   -17     5       -5  251419  2354220 
 2003  3.00       5    5   124     6     2002   2247     5     2     9   -17     5       -4  251419  2354220 
