Point,Northing,Easting,Elevation
1,251456,2354179,4249
2,251455,2354179,4028
3,251455,2354178,4000
4,251454,2354177,3878
5,251454,2354178,3749
6,251454,2354179,3598
7,251452,2354178,3437
8,251452,2354176,3281
9,251451,2354173,3123
10,251450,2354169,3000
11,251448,2354163,2836
12,251445,2354156,2678
13,251442,2354147,2522
14,251438,2354140,2363
15,251431,2354134,2203
16,251425,2354128,2054
17,251423,2354126,2000
18,251419,2354122,1896
19,251414,2354118,1770
20,251412,2354116,1700
21,251411,2354115,1668
22,251409,2354114,1625
23,251408,2354113,1593
24,251406,2354112,1501
25,251405,2354111,1401
26,251403,2354108,1241
27,251402,2354107,1166
28,251401,2354107,1113
29,251398,2354108,1003
30,251397,2354108,978
31,251394,2354110,877
32,251388,2354113,737
33,251382,2354115,586
34,251374,2354117,429
35,251367,2354120,269
36,251359,2354122,109
37,251357,2354122,52
38,251354,2354123,0
39,251353,2354123,-18
40,251350,2354123,-98
41,251343,2354122,-235
42,251341,2354121,-282
43,251339,2354120,-314
44,251337,2354119,-346
45,251334,2354118,-378
46,251331,2354118,-410
47,251327,2354117,-442
48,251324,2354117,-465
49,251323,2354117,-474
50,251319,2354117,-505
51,251314,2354117,-537
52,251308,2354117,-568
53,251303,2354118,-601
54,251295,2354119,-642
55,251291,2354119,-660
56,251285,2354119,-689
57,251273,2354120,-737
58,251257,2354121,-797
59,251237,2354122,-865
60,251208,2354123,-953
61,251191,2354123,-1000
62,251171,2354123,-1056
63,251138,2354123,-1148
64,251129,2354123,-1172
65,251095,2354123,-1268
66,251074,2354123,-1329
67,251054,2354123,-1389
68,251023,2354121,-1479
69,250991,2354119,-1570
70,250937,2354113,-1718
71,250892,2354107,-1838
72,250857,2354103,-1927
73,250833,2354099,-1987
74,250828,2354098,-2000
75,250763,2354085,-2155
76,250684,2354066,-2327
77,250669,2354063,-2356
78,250642,2354056,-2411
79,250613,2354049,-2470
80,250571,2354039,-2558
81,250505,2354021,-2700
82,250468,2354008,-2784
83,250404,2353982,-2925
84,250370,2353966,-3000
85,250316,2353942,-3119
86,250247,2353915,-3264
87,250209,2353900,-3341
88,250165,2353882,-3436
89,250116,2353859,-3548
90,250100,2353850,-3587
91,250067,2353833,-3664
92,250050,2353824,-3703
93,250013,2353803,-3792
94,249993,2353792,-3838
95,249929,2353757,-3988
