      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 81A-18
                         
Sec Az  185 S 5 W   
Elev   4326 KB      
CoordsNorth  254759 East              2355098 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      80  260                        4326     0     0     0     0     0        0  254759  2355098 
  132  0.45      80  260   132     1      132   4194     0    -1     0    -1     0        0  254759  2355097 
  150  0.51      80  260    18     0      150   4176     0     0     0    -1     0        0  254759  2355097 
  156  0.53      80  260     6     0      156   4170     0     0     0    -1     0        0  254759  2355097 
  162  0.55      80  260     6     0      162   4164     0     0     0    -1     0        0  254759  2355097 
  203  0.69      80  260    41     0      203   4123     0     0     0    -1     0        0  254759  2355097 
  240  0.82      80  260    37     0      240   4086     0     0     0    -2     0        0  254759  2355096 
  259  0.88      80  260    19     0      259   4067     0     0     0    -2     0        1  254759  2355096 
  293  1.00      80  260   293     3      293   4033     0    -3     0    -3     1        1  254759  2355095 
  326  1.06      67  232    33     1      326   4000     0    -1    -1    -3     0        1  254758  2355095 
  420  1.25      29  151   127     2      420   3906    -2    -1    -3    -4     2        3  254756  2355094 
  475  1.25      31  149    55     1      475   3851    -1     1    -4    -3     1        4  254755  2355095 
  500  1.37      29  151    25     1      500   3826     0     0    -4    -3     0        4  254755  2355095 
  577  1.75      24  156   102     3      577   3749    -2     1    -6    -2     2        6  254753  2355096 
  702  1.75       4  176   125     4      702   3624    -4     1   -10    -1     4       10  254749  2355097 
  858  1.25      14  166   156     4      858   3468    -4     1   -14     0     4       14  254745  2355098 
 1000  1.94      18  162   142     4     1000   3326    -4     1   -18     1     4       17  254741  2355099 
 1012  2.00      18  162   154     4     1012   3314    -4     1   -18     1     4       18  254741  2355099 
 1167  1.25      24  156   155     4     1167   3159    -4     2   -22     3     4       22  254737  2355101 
 1272  2.50      24  156   105     3     1272   3054    -3     1   -25     4     3       25  254734  2355102 
 1304  3.00      18  162    32     2     1304   3022    -1     1   -27     5     1       26  254732  2355103 
 1326  3.52      10  170    22     1     1326   3000    -1     0   -28     5     1       27  254731  2355103 
 1336  3.75       7  173    32     2     1336   2990    -2     0   -29     5     2       28  254730  2355103 
 1367  4.25       5  175    31     2     1366   2960    -2     0   -31     5     2       30  254728  2355103 
 1398  4.75       1  179    31     2     1397   2929    -2     0   -33     5     2       33  254726  2355103 
 1427  5.25       5  185    29     3     1426   2900    -3     0   -36     5     3       35  254723  2355103 
 1500  7.15       7  187    73     8     1499   2827    -8    -1   -43     4     8       43  254716  2355102 
 1571  9.00       9  189   143    18     1569   2757   -18    -2   -53     3    18       53  254706  2355101 
 1631 10.25       9  189    59    10     1628   2698   -10    -2   -63     1    10       63  254696  2355099 
 1693 12.00       9  189    61    12     1689   2637   -12    -2   -75     0    12       75  254684  2355098 
 1755 13.00      10  190    61    13     1750   2576   -13    -2   -88    -3    13       88  254671  2355095 
 1818 14.50      12  192    61    15     1811   2515   -15    -3  -103    -5    15      103  254656  2355093 
 1912 16.75      11  191    91    25     1901   2425   -25    -5  -128   -11    25      128  254631  2355087 
