Point,Northing,Easting,Elev_ft,Temp,Type
1,254759,2355098,4296,0,Production
2,254759,2355097,4126,0,Production
3,254759,2355095,4033,0,Production
4,254758,2355095,4000,0,Production
5,254757,2355094,3926,0,Production
6,254756,2355094,3906,0,Production
7,254755,2355095,3851,0,Production
8,254753,2355096,3749,0,Production
9,254752,2355097,3726,0,Production
10,254749,2355097,3626,0,Production
11,254746,2355098,3526,0,Production
12,254745,2355098,3468,0,Production
13,254744,2355098,3426,0,Production
14,254741,2355099,3326,0,Production
15,254738,2355100,3226,0,Production
16,254737,2355101,3159,0,Production
17,254736,2355101,3126,0,Production
18,254734,2355102,3054,0,Production
19,254732,2355102,3026,0,Production
20,254732,2355103,3022,0,Production
21,254731,2355103,3000,0,Production
22,254730,2355103,2990,0,Production
23,254728,2355103,2960,0,Production
24,254726,2355103,2929,0,Production
25,254723,2355103,2900,0,Production
26,254716,2355102,2827,0,Production
27,254706,2355101,2757,0,Production
28,254699,2355102,2699,0,Production
29,254693,2355101,2667,0,Production
30,254691,2355104,2637,0,Production
31,254690,2355104,2629,0,Production
32,254685,2355104,2605,0,Production
33,254684,2355108,2574,0,Production
34,254678,2355108,2544,0,Production
35,254678,2355113,2513,0,Production
36,254672,2355114,2481,0,Production
37,254672,2355120,2450,0,Production
38,254668,2355121,2419,0,Production
39,254668,2355128,2388,0,Production
40,254664,2355130,2358,0,Production
41,254666,2355137,2327,0,Production
42,254662,2355140,2295,0,Production
43,254664,2355147,2265,0,Production
44,254661,2355150,2233,0,Production
45,254662,2355176,2120,0,Production
46,254661,2355186,2058,0,Production
47,254663,2355200,2000,0,Production
48,254664,2355213,1967,0,Production
49,254666,2355236,1879,0,Production
50,254670,2355260,1820,0,Production
51,254670,2355291,1729,0,Production
52,254679,2355339,1616,0,Production
53,254680,2355383,1503,0,Production
54,254694,2355475,1265,0,Production
55,254704,2355570,1000,0,Production
56,254705,2355640,803,0,Production
57,254719,2355732,535,0,Production
