	WELL DATA SUMMARY									

Well  Navy II 81A-18 RD (Re-drill)										
Sec Az 185 S 5 W										
Elev 4326 KB										
Coors North 254759  East 2355098										

MD	Drift	Drift D.	Azim	TVD	SSD	N-S	E-W	Sec	N-LAM	E-LAM
0	0.00	80	260		4326	0	0	0	254759	2355098
100	0.34	80	260	100	4226	0	0	0	254759	2355098
200	0.68	80	260	200	4126	0	-1	0	254759	2355097
293	1.00	80	260	293	4033	0	-3	1	254759	2355095
300	1.01	77	254	300	4026	0	-3	1	254759	2355095
326	1.06	67	232	326	4000	-1	-3	1	254758	2355095
400	1.21	37	168	400	3926	-2	-4	2	254757	2355094
420	1.25	29	151	420	3906	-3	-4	3	254756	2355094
475	1.25	31	149	475	3851	-4	-3	4	254755	2355095
500	1.37	29	151	500	3826	-4	-3	4	254755	2355095
577	1.75	24	156	577	3749	-6	-2	6	254753	2355096
600	1.75	20	160	600	3726	-7	-1	7	254752	2355097
700	1.75	4	176	700	3626	-10	-1	10	254749	2355097
702	1.75	4	176	702	3624	-10	-1	10	254749	2355097
800	1.44	10	170	800	3526	-13	0	13	254746	2355098
858	1.25	14	166	858	3468	-14	0	14	254745	2355098
900	1.45	15	165	900	3426	-15	0	15	254744	2355098
1000	1.94	18	162	1000	3326	-18	1	17	254741	2355099
1012	2.00	18	162	1012	3314	-18	1	18	254741	2355099
1100	1.57	21	159	1100	3226	-21	2	20	254738	2355100
1167	1.25	24	156	1167	3159	-22	3	22	254737	2355101
1200	1.64	24	156	1200	3126	-23	3	23	254736	2355101
1272	2.50	24	156	1272	3054	-25	4	25	254734	2355102
1300	2.94	19	161	1300	3026	-27	4	26	254732	2355102
1304	3.00	18	162	1304	3022	-27	5	26	254732	2355103
1326	3.52	10	170	1326	3000	-28	5	27	254731	2355103
1336	3.75	7	173	1336	2990	-29	5	28	254730	2355103
1367	4.25	5	175	1366	2960	-31	5	30	254728	2355103
1398	4.75	1	179	1397	2929	-33	5	33	254726	2355103
1400	4.78	1	179	1399	2927	-33	5	33	254726	2355103
1427	5.25	5	185	1426	2900	-36	5	35	254723	2355103
1500	7.15	7	187	1499	2827	-43	4	43	254716	2355102
1571	9.00	9	189	1569	2757	-53	3	53	254706	2355101
1629	7.50	174	174	1627	2699	-60	4	59	254699	2355102
1662	7.25	168	168	1659	2667	-66	3	66	254693	2355101
1692	7.25	160	160	1689	2637	-68	6	67	254691	2355104
1700	7.25	159	159	1697	2629	-69	6	68	254690	2355104
1724	7.25	156	156	1721	2605	-74	6	73	254685	2355104
1755	7.25	147	147	1752	2574	-75	10	74	254684	2355108
1786	7.75	142	142	1782	2544	-81	10	79	254678	2355108
1817	7.75	134	134	1813	2513	-81	15	80	254678	2355113
1849	8.00	128	128	1845	2481	-87	16	85	254672	2355114
1880	8.25	123	123	1876	2450	-37	22	84	254672	2355120
1912	8.00	116	116	1907	2419	-91	23	89	254668	2355121
1943	8.25	109	109	1938	2388	-91	30	88	254668	2355128
1974	8.50	108	108	1968	2358	-95	32	92	254664	2355130
2005	9.00	100	100	1999	2327	-93	39	89	254666	2355137
2037	10.00	98	98	2031	2295	-97	42	93	254662	2355140
2068	10.50	98	98	2061	2265	-95	49	90	254664	2355147
2100	10.00	94	94	2093	2233	-98	52	93	254661	2355150
2215	12.00	90	90	2206	2120	-97	78	89	254662	2355176
2279	13.00	85	85	2268	2058	-98	88	90	254661	2355186
2339	14.60	84	84	2326	2000	-96	102	87	254663	2355200
2373	15.50	84	84	2359	1967	-95	115	84	254664	2355213
2465	18.25	85	85	2447	1879	-93	138	81	254666	2355236
2527	20.25	83	83	2506	1820	-89	162	75	254670	2355260
2625	22.25	85	85	2597	1729	-89	193	71	254670	2355291
2746	22.00	84	84	2710	1616	-80	241	59	254679	2355339
2869	22.00	83	83	2823	1503	-79	285	54	254680	2355383
3123	20.50	82	83	3061	1265	-65	377	32	254694	2355475
3405	19.35	84	85	3326	1000	-55	472	13	254704	2355570
3615	18.50	86	86	3523	803	-54	542	7	254705	2355640
3897	18.50	86	86	3791	535	-40	634	-15	254719	2355732
