      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  NAVY II 83A-16
                         
Sec Az  285 N75W    
Elev   3645 KB      
CoordsNorth  253526 EAST              2365457 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00       0  220     0     0        0   3645     0     0     0     0     0      0  253526  2365457                                                                                                                   
  146  0.25      40  220   146     0      146   3499     0     0     0     0     0      0  253526  2365457                                                                                                                   
  310  0.25      90  270   164     1      310   3335     0    -1    -1    -1     1      1  253525  2365456                                                                                                                   
  463  0.25      33  213   153     1      463   3182     0    -1    -1    -1     0      1  253525  2365456                                                                                                                   
  610  0.50     180  180   147     1      610   3035    -1     0    -2    -2     0      1  253524  2365455                                                                                                                   
  644  0.57     135  176    34     0      644   3001     0     0    -2    -2     0      1  253524  2365455 
  733  0.75      16  164   123     1      733   2912    -1     0    -3    -2    -1      1  253523  2365455                                                                                                                   
  859  0.50       1  179   126     1      859   2786    -1     0    -4    -1    -1      0  253522  2365456                                                                                                                   
  985  0.50     180  180   126     1      985   2660    -1     0    -6    -1     0      0  253520  2365456                                                                                                                   
 1105  1.00      62  242   120     2     1105   2540    -1    -1    -7    -2     0      0  253519  2365455                                                                                                                   
 1197  1.00      79  259    92     2     1197   2448    -1    -2    -7    -4     1      2  253519  2365453                                                                                                                   
 1319  0.75      64  296   122     2     1319   2326     0    -2    -7    -5     2      3  253519  2365452                                                                                                                   
 1443  1.25      89  269   124     2     1443   2202     0    -2    -7    -8     2      6  253519  2365449                                                                                                                   
 1568  1.50      89  269   125     3     1568   2077     0    -3    -7   -11     3      8  253519  2365446                                                                                                                   
 1644  1.80      86  266    76     2     1644   2001     0    -2    -7   -13     2     11  253519  2365444 
 1695  2.00      84  264   127     4     1695   1950     0    -4    -7   -14     4     12  253519  2365443                                                                                                                   
 1807  2.00      83  263   112     4     1807   1838     0    -4    -7   -18     4     16  253519  2365439                                                                                                                   
 1930  2.75      66  246   123     5     1930   1715    -1    -5    -9   -23     4     20  253517  2365434                                                                                                                   
 2054  2.25      80  260   124     5     2054   1591    -2    -5   -10   -28     5     25  253516  2365429                                                        1591        1930  1930    -9   -23    20  0.00 
 2178  2.25      72  252   124     5     2177   1468    -1    -5   -12   -33     4     29  253514  2365424                                                                                                                   
 2239  3.00      79  259    61     3     2238   1407    -1    -3   -12   -36     2     31  253514  2365421                                                                                                                   
 2274  2.75      75  255    35     2     2273   1372     0    -2   -13   -38     2     33  253513  2365419                                                                                                                   
 2305  2.75      83  263    31     1     2304   1341     0    -1   -13   -39     1     34  253513  2365418                                                                                                                   
 2336  2.75      82  262    31     1     2335   1310     0    -1   -13   -41     1     36  253513  2365416                                                                                                                   
 2461  3.50      89  269   125     7     2460   1185    -1    -7   -14   -47     6     42  253512  2365410                                                                                                                   
 2492  3.75      87  273    31     2     2491   1154     0    -2   -14   -49     2     44  253512  2365408                                                                                                                   
 2526  4.00      84  276    34     2     2525   1120     0    -2   -13   -52     2     46  253513  2365405                                                                                                                   
