X,Y,Z
431095.15,3986780.91,1110.0816
431095.14,3986780.6,1065.8856
431095.13,3986779.99,1014.3744
431095.42,3986779.07,966.8256
431095.71,3986778.76,929.64
431096.02,3986778.76,914.4
431096.02,3986778.76,900.9888
431096.63,3986779.05,872.6424
431096.94,3986779.35,843.9912
431096.94,3986779.35,816.2544
431097.56,3986779.64,788.2128
431098.17,3986779.63,759.8664
431098.78,3986779.61,731.52
431099.38,3986778.99,703.1736
431099.36,3986778.38,664.7688
431099.64,3986777.16,626.6688
431099.93,3986776.54,609.6
431099.92,3986775.93,588.5688
431099.9,3986774.71,551.3832
431099.55,3986772.89,513.588
431099.53,3986771.98,493.1664
431099.52,3986771.07,474.2688
431099.49,3986769.85,454.7616
431099.17,3986769.24,445.3128
431098.84,3986767.73,426.4152
431097.89,3986766.22,407.2128
431097.26,3986765.02,388.62
431095.37,3986762.31,359.9688
431094.11,3986760.21,341.6808
431092.85,3986758.1,324.3072
431091.57,3986755.38,304.8
431090.3,3986752.97,288.6456
431089.98,3986752.06,283.1592
431088.7,3986749.35,267.0048
431086.8,3986745.73,246.5832
431084.6,3986742.42,228.2952
431082.09,3986739.12,209.3976
431078.98,3986736.14,190.8048
431075.57,3986733.47,172.212
431071.86,3986730.8,153.6192
431068.17,3986729.05,135.0264
431066.32,3986728.17,125.8824
431062.03,3986727.04,107.2896
431058.05,3986725.9,89.3064
431055.6,3986725.35,80.1624
431053.46,3986725.09,71.0184
431051.01,3986724.83,61.2648
431048.88,3986724.57,52.1208
431046.43,3986724.32,43.2816
431042.16,3986724.1,26.5176
431034.53,3986723.34,0
431034.53,3986723.34,-0.6096
431025.97,3986722.3,-28.0416
431017.4,3986720.35,-54.864
431014.95,3986719.79,-62.1792
431010.96,3986718.65,-74.3712
431007.6,3986718.11,-83.5152
431002.41,3986717.61,-98.7552
430992.94,3986716.89,-124.3584
430978.92,3986716.57,-158.8008
430963.98,3986716.27,-194.4624
430949.66,3986716.26,-229.5144
430935.03,3986716.26,-265.4808
430921,3986715.94,-300.5328
430919.17,3986715.98,-304.8
430906.97,3986715.62,-334.9752
430892.04,3986715.63,-371.2464
430881.37,3986715.24,-396.5448
430867.35,3986715.23,-431.292
430851.8,3986714.94,-470.0016
430823.14,3986714.62,-541.6296
430808.82,3986714.61,-577.9008
430796.92,3986713.94,-609.6
430794.18,3986714,-616.6104
430780.13,3986712.77,-653.1864
430766.4,3986711.83,-689.4576
430755.71,3986710.83,-717.804
430741.97,3986709.6,-753.7704
430727.63,3986708.67,-790.0416
430719.99,3986707.92,-807.72
430712.97,3986707.15,-824.1792
430705.03,3986706.4,-841.8576
430694.04,3986705.41,-867.156
430693.42,3986705.12,-868.68
430681.81,3986703.83,-895.5024
430673.26,3986703.09,-914.4
430670.21,3986702.55,-922.02
430659.21,3986701.25,-947.6232
430647.9,3986699.66,-974.7504
430636.89,3986698.06,-1001.5728
430625.27,3986696.16,-1030.8336
430615.49,3986694.54,-1055.8272
430604.79,3986692.93,-1082.6496
430590.72,3986690.48,-1118.3112
430583.37,3986689.11,-1136.2944
430578.79,3986688.29,-1148.4864
430564.4,3986685.24,-1184.148
430550.01,3986682.18,-1219.2
430550.01,3986682.18,-1219.5048
430533.79,3986678.86,-1256.9952
430521.85,3986676.36,-1282.9032
430516.95,3986675.25,-1293.5712
430510.52,3986673.55,-1307.2872
430498.26,3986670.45,-1333.8048
430485.4,3986667.37,-1360.932
430473.45,3986664.57,-1387.1448
430448.02,3986658.08,-1444.752
430438.53,3986655.84,-1466.3928
430427.5,3986653.02,-1493.2152
430414.64,3986649.94,-1524
430409.12,3986648.53,-1538.3256
430383.7,3986642.35,-1601.1144
430366.54,3986638.13,-1643.1768
430333.46,3986629.98,-1721.8152
430323.66,3986627.75,-1745.2848
430307.12,3986623.52,-1780.3368
430291.19,3986619.58,-1812.9504
430283.53,3986617.91,-1828.8
430282.61,3986617.62,-1830.9336
430266.68,3986613.69,-1865.6808
430255.04,3986610.88,-1892.1984
430243.4,3986607.77,-1918.716
