Point,Northing,Easting,Elev_ft,Elev_m
1,260433,2349410,4134,1260
2,260431,2349411,2014,614
3,260430,2349411,2000,610
4,260425,2349413,1950,594
5,260416,2349415,1873,571
6,260407,2349417,1814,553
7,260396,2349421,1747,532
8,260381,2349428,1658,505
9,260378,2349430,1639,500
10,260370,2349434,1596,486
11,260352,2349445,1511,461
12,260332,2349458,1421,433
13,260317,2349468,1361,415
14,260301,2349479,1302,397
15,260277,2349496,1214,370
16,260261,2349507,1159,353
17,260245,2349518,1101,336
18,260226,2349532,1036,316
19,260218,2349539,1008,307
20,260215,2349541,1000,305
21,260176,2349573,869,265
22,260148,2349597,782,238
23,260119,2349623,696,212
24,260118,2349623,694,212
25,260089,2349651,614,187
26,260011,2349723,424,129
27,259967,2349764,329,100
28,259941,2349788,275,84
29,259937,2349792,266,81
30,259935,2349794,262,80
31,259871,2349854,142,43
32,259799,2349921,17,5
33,259790,2349930,0,0
34,259710,2350004,-132,-40
35,259639,2350065,-241,-73
36,259636,2350067,-246,-75
